DateTime,AddedIPs,RemovedIPs
1504811269,6,7
1504814855,15,5
1504818463,13,3
1504822055,4,4
1504825642,3,4
1504829271,1,10
1504832865,5,11
1504836459,17,5
1504840070,3,6
1504843676,4,0
1504847261,8,2
1504850855,10,7
1504854448,12,2
1504858049,5,1
1504861660,0,1
1504865242,2,2
1504868872,1,2
1504872452,1,5
1504876047,4,2
1504879693,1,5
1504883263,1,0
1504886855,5,1
1504890475,0,7
1504894070,2,1
1504897659,5,0
1504901262,2,14
1504904861,1,0
1504908461,5,2
1504912075,9,6
1504915705,2,7
1504919244,10,0
1504922875,0,2
1504926457,0,2
1504930065,0,1
1504933667,1,34
1504937228,37,1
1504940867,3,0
1504948056,1,1
1504951648,3,3
1504955248,4,0
1504958850,1,1
1504962455,0,1
1504966059,0,3
1504969653,1,3
1504973250,1,1
1504976846,1,3
1504980454,2,16
1504984049,5,1
1504987656,2,6
1504991254,6,3
1504994841,14,0
1504998436,4,0
1505002096,0,1
1505005657,0,1
1505009250,0,8
1505012823,6,7
1505016445,3,1
1505020034,2,0
1505023649,2,0
1505027241,3,3
1505030836,2,1
1505034472,1,1
1505038038,6,2
1505041641,3,1
1505045246,1,1
1505048822,1,0
1505052456,0,4
1505056044,1,0
1505059668,1,2
1505063248,0,2
1505066829,2,0
1505070453,1,3
1505074044,2,0
1505077637,2,0
1505081217,1,2
1505084832,1,1
1505088493,1,2
1505092066,0,6
1505095661,4,1
1505099262,1,2
1505102838,1,0
1505106465,2,0
1505110042,3,0
1505113647,1,3
1505117266,1,3
1505120838,3,1
1505124455,3,3
1505128066,2,1
1505131654,1,1
1505135259,1,2
1505138851,1,2
1505142461,0,11
1505146041,12,1
1505149642,2,3
1505153240,1,0
1505156876,1,2
1505160453,3,2
1505164079,1,2
1505167654,3,6
1505171245,9,1
1505174886,1,0
1505178443,1,0
1505182039,1,1
1505185646,2,4
1505189257,0,2
1505192850,0,1
1505196440,2,1
1505200041,1,1
1505207282,0,1
1505210872,3,5
1505214458,4,7
1505218045,6,0
1505221645,2,0
1505225249,1,2
1505228846,1,3
1505232439,3,0
1505236065,0,3
1505239656,2,1
1505243250,1,1
1505246843,1,0
1505250457,2,0
1505254043,1,1
1505257648,1,2
1505261280,1,1
1505264843,1,2
1505268436,0,3
1505272030,1,2
1505275627,3,2
1505279260,0,3
1505282849,1,1
1505286429,4,1
1505290048,1,7
1505293631,4,0
1505297244,3,0
1505300831,3,3
1505304459,0,1
1505308030,1,3
1505311639,2,17
1505315214,18,5
1505322435,4,0
1505326028,3,1
1505333250,0,1
1505336849,0,1
1505340439,0,1
1505344053,2,23
1505347694,7,1
1505351254,2,6
1505354851,0,6
1505358445,0,12
1505362067,13,5
1505365642,10,6
1505369251,2,4
1505372837,23,1
1505376451,1,2
1505380029,6,1
1505387225,4,3
1505390834,5,1
1505394437,1,2
1505398049,2,0
1505401644,0,1
1505405217,2,9
1505408854,1,2
1505412424,6,1
1505416019,2,0
1505419637,1,3
1505423261,0,1
1505426844,0,1
1505430451,0,7
1505434085,3,30
1505437631,27,3
1505441244,2,1
1505444834,9,0
1505448432,4,2
1505452036,1,1
1505455616,1,1
1505459236,1,0
1505462855,1,2
1505466435,3,0
1505470037,0,2
1505473627,2,1
1505477256,1,0
1505480846,0,2
1505484461,0,4
1505488023,4,6
1505491634,4,2
1505495240,1,1
1505498836,4,0
1505502429,2,1
1505506049,0,5
1505509636,3,0
1505513226,3,1
1505516825,0,1
1505524029,0,3
1505527645,6,6
1505531223,6,1
1505534820,1,0
1505538428,1,0
1505542024,1,4
1505545644,0,2
1505549227,1,2
1505552833,0,3
1505556406,3,10
1505560012,6,0
1505563628,2,4
1505570830,11,1
1505574414,1,5
1505578046,0,1
1505581643,2,0
1505585241,4,5
1505588829,2,0
1505596020,2,1
1505599628,2,3
1505603232,1,7
1505606872,4,1
1505610458,0,7
1505614017,6,2
1505617646,6,0
1505621207,2,0
1505628442,3,7
1505632039,0,6
1505635640,8,8
1505639225,1,3
1505642834,0,11
1505646424,20,0
1505650040,4,2
1505657210,3,0
1505660845,0,6
1505664433,5,3
1505671646,0,14
1505675240,0,4
1505678827,1,21
1505682439,4,3
1505686017,27,1
1505689615,6,0
1505696847,9,0
1505700455,1,1
1505704053,1,2
1505707639,1,0
1505711236,1,3
1505714844,2,2
1505718460,1,1
1505722045,1,1
1505725647,1,1
1505729251,0,2
1505732856,0,1
1505736472,0,1
1505740038,3,0
1505743651,2,0
1505747236,2,0
1505750836,2,1
1505754455,3,2
1505758067,2,2
1505761659,0,3
1505765245,2,2
1505768869,0,3
1505772443,3,1
1505776043,0,2
1505779698,2,1
1505783242,1,0
1505790460,1,2
1505794060,1,2
1505797634,3,2
1505801254,1,1
1505804841,1,1
1505808465,2,1
1505815643,1,1
1505819246,2,0
1505822852,1,1
1505826448,0,2
1505830037,3,0
1505833644,0,2
1505837272,0,2
1505840862,0,2
1505844463,0,9
1505847952,0,107
1505945254,86,0
1505948808,18,0
1505952474,16,0
1505956068,3,0
1505959617,0,4
1505963224,1,0
1505966801,1,0
1505970407,1,5
1505974021,4,0
1505977602,0,3
1505981230,1,3
1505984851,2,1
1505988444,0,1
1505992009,2,0
1505995620,1,4
1505999234,4,5
1506002851,3,0
1506006405,1,1
1506013641,0,5
1506017229,4,1
1506020831,1,3
1506028020,2,1
1506031644,3,0
1506035221,3,1
1506042425,3,1
1506046034,1,0
1506049642,1,6
1506053211,3,1
1506056819,2,1
1506060443,0,5
1506064058,0,1
1506067609,5,4
1506071257,0,9
1506074818,10,0
1506082000,3,3
1506085626,2,0
1506089219,1,1
1506092818,1,1
1506096421,0,2
1506100026,3,2
1506103643,3,2
1506107213,3,0
1506110821,0,1
1506114401,1,2
1506118008,1,3
1506121626,1,0
1506125271,0,2
1506128838,1,2
1506132410,1,2
1506136041,0,1
1506139625,0,3
1506143222,0,7
1506146822,10,8
1506150431,0,2
1506154057,3,0
1506157628,1,0
1506161230,7,6
1506164820,4,1
1506168420,5,2
1506172030,1,0
1506175635,2,4
1506179219,6,3
1506182831,2,7
1506186419,4,1
1506190058,0,1
1506193640,1,21
1506197210,16,2
1506200819,9,0
1506204416,3,0
1506208039,1,0
1506211652,1,2
1506215229,3,6
1506218833,1,2
1506222426,1,0
1506226049,0,2
1506229636,1,1
1506233207,4,3
1506236810,4,2
1506244018,2,1
1506247624,2,3
1506251238,2,4
1506254819,3,0
1506258418,0,2
1506262013,2,2
1506265622,2,2
1506269246,1,2
1506272814,3,0
1506276443,0,1
1506280024,0,6
1506283609,9,1
1506287249,0,5
1506290830,3,0
1506294436,0,1
1506298069,0,10
1506301646,4,1
1506305246,1,16
1506308852,0,3
1506312430,20,0
1506316052,0,5
1506319656,2,0
1506323218,7,0
1506326838,1,6
1506330442,4,0
1506334051,3,1
1506337655,0,18
1506341230,0,4
1506344840,2,17
1506348444,7,15
1506352032,4,1
1506355641,9,6
1506359238,27,1
1506362836,13,0
1506366421,4,0
1506370067,0,1
1506373635,3,3
1506377242,1,3
1506380843,3,6
1506384462,7,0
1506388037,0,2
1506391665,1,0
1506395240,0,3
1506398821,5,3
1506402455,0,5
1506406047,1,2
1506409639,3,0
1506413244,1,26
1506416833,24,6
1506420443,7,1
1506424022,4,0
1506431249,1,3
1506434843,0,2
1506438455,0,6
1506442051,2,0
1506445637,7,3
1506452826,2,1
1506456441,1,1
1506460047,5,3
1506463635,1,2
1506467240,1,32
1506470878,4,2
1506474442,6,13
1506478046,36,0
1506481651,0,2
1506485231,0,1
1506488848,1,2
1506492428,4,9
1506496054,2,2
1506503262,7,0
1506506838,1,19
1506510416,20,3
1506514044,3,0
1506517667,1,1
1506524847,0,21
1506528422,17,4
1506532048,1,1
1506535640,3,2
1506539248,2,1
1506542844,2,26
1506546449,26,1
1506550036,4,1
1506553645,1,0
1506557277,2,2
1506560881,0,32
1506564465,0,5
1506568053,36,1
1506571668,0,2
1506575241,5,1
1506582449,2,2
1506586063,0,2
1506589674,0,4
1506593251,7,2
1506596868,0,7
1506600471,2,0
1506604056,5,0
1506607652,3,2
1506611251,1,0
1506614845,4,1
1506618459,0,6
1506622055,5,2
1506625652,2,1
1506629283,0,2
1506632849,3,0
1506647237,2,4
1506650844,1,2
1506654474,1,1
1506658063,1,4
1506661639,5,6
1506665262,5,1
1506668851,1,0
1506672448,1,1
1506679653,2,0
1506683279,2,0
1506686887,0,1
1506690448,2,3
1506694042,3,0
1506697658,0,2
1506701251,0,1
1506704873,1,3
1506708470,3,6
1506712046,5,3
1506715653,3,1
1506719242,1,1
1506722863,5,0
1506726464,1,1
1506730100,0,1
1506733662,0,1
1506737262,0,3
1506740848,2,0
1506744453,1,1
1506751656,1,2
1506755245,3,1
1506758858,0,1
1506762462,2,0
1506766044,1,2
1506769643,1,0
1506773261,0,1
1506776864,1,2
1506780453,2,2
1506784064,0,2
1506787635,1,0
1506791252,1,0
1506794855,2,4
1506798442,2,0
1506802063,2,1
1506805657,4,2
