DateTime,AddedIPs,RemovedIPs
1504912557,19,10
1504916201,19,12
1504919732,20,2
1504923365,1,7
1504926949,11,30
1504930554,8,6
1504934187,8,35
1504937689,34,1
1504941335,15,5
1504944963,9,0
1504948532,3,3
1504952145,5,8
1504955733,6,7
1504959316,4,11
1504962936,11,3
1504966536,3,13
1504970126,4,13
1504973708,4,9
1504977331,9,9
1504980926,5,26
1504984556,23,4
1504988136,12,13
1504991742,6,6
1504995326,22,2
1504998938,5,2
1505002597,21,11
1505006146,7,3
1505009713,6,16
1505013297,12,32
1505016943,8,8
1505020487,7,6
1505024121,4,5
1505027724,8,5
1505031309,5,17
1505034941,11,19
1505038540,20,6
1505042125,16,4
1505045719,9,3
1505049299,11,4
1505052950,4,10
1505056562,1,11
1505060140,3,7
1505063732,7,12
1505067286,9,2
1505070927,2,9
1505074534,17,7
1505078119,9,5
1505081668,3,12
1505085329,12,2
1505088987,25,10
1505092543,3,14
1505096120,6,9
1505099777,11,31
1505103316,6,7
1505106958,16,1
1505110511,9,1
1505114161,3,7
1505117751,2,17
1505121310,16,10
1505124953,7,11
1505128568,7,4
1505132151,5,6
1505135737,9,31
1505139323,12,8
1505142953,12,12
1505146512,13,5
1505150142,4,17
1505153715,14,9
1505157350,14,14
1505160930,6,8
1505164556,11,5
1505168112,17,18
1505171742,21,3
1505175413,23,3
1505178939,9,1
1505182514,3,4
1505186139,6,19
1505189735,4,7
1505193347,3,11
1505196920,8,4
1505200555,3,7
1505204146,9,5
1505207748,6,5
1505211352,4,13
1505214956,9,18
1505218518,9,29
1505222139,24,14
1505225738,22,5
1505229332,19,5
1505232949,9,3
1505236536,2,7
1505240137,2,13
1505243779,8,11
1505247330,11,3
1505250948,9,1
1505254546,3,2
1505258154,3,7
1505261799,22,5
1505265373,13,7
1505268943,2,8
1505272562,5,20
1505276158,8,5
1505279780,3,8
1505283381,3,6
1505286968,7,6
1505290560,9,11
1505294137,7,5
1505297725,7,1
1505301321,7,13
1505304973,6,14
1505308524,7,19
1505312142,12,26
1505315695,28,15
1505319387,12,5
1505322913,16,4
1505326545,11,8
1505330141,6,4
1505333759,10,5
1505337336,1,8
1505340931,2,4
1505344539,8,25
1505348200,30,3
1505351763,2,7
1505355322,3,10
1505358935,3,47
1505362543,19,22
1505366120,19,10
1505369745,6,13
1505373313,37,11
1505376974,9,8
1505380517,12,8
1505384139,9,2
1505387712,10,9
1505391345,9,11
1505394896,6,11
1505398527,7,3
1505402143,7,26
1505405724,8,13
1505409372,15,7
1505412927,20,5
1505416502,8,5
1505420114,5,5
1505423758,2,5
1505427328,3,6
1505430935,8,8
1505434588,16,34
1505438124,32,7
1505441781,4,5
1505445340,13,17
1505448906,6,5
1505452543,6,4
1505456106,8,8
1505459724,3,6
1505463374,10,7
1505466953,7,4
1505470545,6,13
1505474114,12,4
1505477750,6,1
1505481336,5,5
1505484968,1,8
1505488528,5,11
1505492161,5,16
1505495727,12,5
1505499340,16,1
1505502915,6,8
1505506535,4,7
1505510139,6,3
1505513733,6,7
1505517301,5,5
1505520981,23,2
1505524537,2,12
1505528129,9,5
1505531728,9,24
1505535308,7,5
1505538905,4,15
1505542562,9,9
1505546174,3,7
1505549707,5,10
1505553334,3,8
1505556908,17,22
1505560510,22,2
1505564115,7,16
1505567755,5,6
1505571332,15,15
1505574911,6,17
1505578554,6,7
1505582143,24,7
1505585724,9,6
1505589309,11,2
1505592948,4,2
1505596510,6,16
1505600119,11,4
1505603704,5,14
1505607418,31,6
1505610975,3,18
1505614541,18,5
1505618161,15,21
1505621725,7,7
1505625354,7,1
1505628943,7,14
1505632531,5,9
1505636160,9,10
1505639720,4,11
1505643368,4,14
1505646914,23,3
1505650570,7,6
1505654127,4,9
1505657773,8,6
1505661359,3,14
1505664970,14,7
1505668601,7,2
1505672180,4,16
1505675784,3,5
1505679331,9,23
1505682927,7,7
1505686548,32,9
1505690129,6,4
1505693759,34,23
1505697316,10,8
1505700971,12,18
1505704550,17,16
1505708124,12,7
1505711745,15,5
1505715362,7,2
1505718964,4,4
1505722539,5,7
1505726144,7,7
1505729752,4,7
1505733368,3,7
1505737007,4,4
1505740560,8,10
1505744160,11,13
1505747768,9,11
1505751370,12,2
1505754950,9,7
1505758566,8,6
1505762160,5,4
1505765728,4,6
1505769355,6,8
1505772919,5,6
1505776558,2,19
1505780191,36,8
1505783741,5,10
1505787376,13,8
1505790956,13,18
1505794553,5,10
1505798126,6,3
1505801741,6,7
1505805338,2,9
1505808966,5,8
1505812538,7,13
1505816128,3,11
1505819728,22,5
1505823372,9,6
1505826951,9,7
1505830870,15,2
1505834444,2,7
1505838354,0,7
1505841937,0,7
1505845538,0,26
1505945721,35,147
1505949238,78,0
1505952940,72,0
1505956541,9,0
1505960079,14,8
1505963715,7,39
1505967250,17,12
1505970847,8,9
1505974482,11,3
1505978051,12,7
1505981696,3,9
1505985282,10,5
1505988883,3,6
1505992463,11,17
1505996074,17,7
1505999694,7,12
1506003310,6,2
1506006859,5,14
1506010497,2,23
1506014068,6,13
1506017661,16,10
1506021260,19,9
1506024885,2,2
1506028472,7,4
1506032108,8,14
1506035662,18,21
1506039290,30,3
1506042848,11,7
1506046472,20,3
1506050096,5,42
1506053644,18,5
1506057269,6,7
1506060882,4,37
1506064491,5,5
1506068023,30,26
1506071705,4,12
1506075243,30,7
1506078872,3,4
1506082416,10,16
1506086059,10,0
1506089635,14,13
1506093257,5,4
1506096851,3,3
1506100487,7,9
1506104163,6,23
1506107678,15,9
1506111311,16,8
1506114885,11,9
1506118483,16,9
1506122118,6,9
1506125767,17,7
1506129334,13,4
1506132909,5,14
1506136523,6,26
1506140113,5,6
1506143700,2,22
1506147311,11,18
1506150921,10,10
1506154537,28,4
1506158120,2,6
1506161705,13,10
1506165284,11,6
1506168902,12,7
1506172527,5,7
1506176099,5,13
1506179722,17,11
1506183311,3,13
1506186911,13,5
1506190536,4,4
1506194127,10,29
1506197711,27,9
1506201310,11,11
1506204902,11,5
1506208513,4,3
1506212141,23,11
1506215739,10,8
1506219337,6,6
1506222907,5,20
1506226502,0,11
1506230102,4,4
1506233689,9,11
1506237291,7,7
1506240905,5,1
1506244520,5,6
1506248131,12,8
1506251730,11,7
1506255303,7,2
1506258900,7,4
1506262494,4,16
1506266110,9,14
1506269719,15,5
1506273300,5,3
1506276943,2,5
1506280494,6,9
1506284107,13,8
1506287715,10,11
1506291312,9,5
1506294900,4,3
1506298577,24,15
1506302147,5,13
1506305746,3,17
1506309370,9,26
1506312953,24,6
1506316545,6,13
1506320160,5,6
1506323722,15,13
1506327376,8,13
1506330945,11,5
1506334556,12,5
1506338158,11,20
1506341741,8,6
1506345364,8,21
1506348969,9,21
1506352559,13,22
1506356132,16,18
1506359724,33,7
1506363340,19,3
1506366920,6,13
1506370573,18,3
1506374111,10,6
1506377734,6,3
1506381332,6,8
1506384961,17,12
1506388542,6,15
1506392155,8,4
1506395755,2,23
1506399304,11,7
1506402957,0,10
1506406517,9,4
1506410120,6,2
1506413734,2,25
1506417319,23,2
1506420922,7,2
1506424499,13,9
1506428135,6,16
1506431746,8,4
1506435333,6,5
1506438951,3,17
1506442529,6,8
1506446123,20,8
1506449765,7,6
1506453289,8,6
1506456940,10,3
1506460525,9,10
1506464128,2,7
1506467723,4,33
1506471365,18,9
1506474949,13,11
1506478540,36,4
1506482154,2,20
1506485703,2,3
1506489327,4,18
1506492899,10,14
1506496535,8,12
1506500136,10,5
1506503737,21,2
1506507316,6,18
1506510927,19,4
1506514528,5,5
1506518142,2,8
1506521722,3,10
1506525353,6,28
1506528913,22,12
1506532543,8,9
1506536132,9,7
1506539740,9,17
1506543343,3,34
1506546969,26,3
1506550520,17,9
1506554122,11,8
1506557767,39,2
1506561406,6,27
1506564974,7,19
1506568565,33,27
1506572184,5,9
1506575730,13,10
1506579347,7,14
1506582925,28,6
1506586575,6,7
1506590174,7,11
1506593749,10,4
1506597348,2,16
1506600963,5,5
1506604580,16,4
1506608150,8,8
1506611752,7,2
1506615338,8,2
1506618978,0,12
1506622545,11,11
1506626144,10,6
1506629784,1,8
1506633359,14,1
1506636972,6,3
1506640561,1,3
1506644243,19,3
1506647741,5,11
1506651338,7,2
1506654979,4,27
1506658577,4,10
1506662129,13,16
1506665748,5,6
1506669388,8,5
1506672951,8,6
1506676550,4,9
1506680150,6,2
1506683770,6,4
1506687410,11,5
1506690975,3,8
1506694549,8,4
1506698190,4,3
1506701771,3,17
1506705371,14,3
1506708968,5,8
1506712552,6,3
1506716153,10,3
1506719745,3,2
1506723380,8,8
1506726943,5,6
1506730663,26,7
1506734173,6,7
1506737767,1,10
1506741362,4,29
1506744980,18,11
1506748594,6,12
1506752155,9,9
1506755801,5,13
1506759412,17,15
1506762997,17,5
1506766571,16,6
1506770200,7,3
1506773804,10,6
1506777381,6,8
1506781002,5,14
1506784602,6,6
1506788164,9,4
1506791778,7,4
1506795375,7,4
1506798984,1,4
1506802583,2,6
1506806166,10,8
