DateTime,AddedIPs,RemovedIPs
1504343295,1,0
1504346886,1,1
1504350490,0,2
1504354084,1,0
1504357677,3,0
1504361293,0,2
1504364889,0,1
1504368486,0,2
1504372093,3,2
1504379314,1,1
1504386489,3,1
1504390127,0,3
1504393681,2,0
1504397315,2,0
1504400868,0,2
1504404466,2,0
1504408087,0,6
1504415264,1,0
1504418869,0,1
1504426062,0,2
1504429670,1,1
1504433271,0,1
1504436862,1,0
1504440482,0,1
1504444053,4,1
1504458455,0,4
1504462080,0,1
1504465676,4,0
1504469274,0,1
1504472871,1,0
1504480090,0,3
1504483703,1,0
1504487297,4,1
1504490868,1,0
1504498089,0,1
1504501671,0,1
1504505274,1,0
1504516060,1,0
1504519671,0,1
1504530486,0,1
1504544874,1,0
1504559293,1,0
1504570126,0,1
1504573681,1,0
1504577280,2,1
1504580884,1,1
1504584493,1,1
1504588106,1,4
1504591679,2,2
1504595267,4,2
1504598870,3,0
1504606087,0,1
1504609698,0,2
1504613291,0,3
1504616871,4,0
1504620484,0,1
1504624101,1,1
1504631312,2,5
1504634893,2,0
1504638456,2,1
1504645699,1,3
1504649292,8,0
1504652895,1,0
1504660084,1,1
1504663679,0,7
1504667294,0,5
1504670875,3,0
1504678069,1,0
1504681678,0,1
1504685291,0,1
1504688863,1,0
1504692457,0,1
1504696094,2,0
1504699677,0,1
1504706909,0,3
1504710478,2,1
1504714071,2,0
1504717684,1,0
1504728484,0,1
1504732102,0,1
1504735665,1,0
1504746489,0,1
1504753656,2,0
1504757261,0,1
1504768057,0,1
1504775275,1,0
1504786086,0,1
1504789683,0,2
1504793281,1,0
1504796892,0,4
1504804084,0,1
1504807690,2,1
1504818497,1,0
1504822089,0,3
1504825678,3,0
1504829311,2,0
1504832904,2,1
1504836497,1,0
1504840108,0,1
1504843710,0,1
1504847296,1,2
1504854487,2,1
1504858087,3,1
1504861698,1,0
1504868907,1,0
1504872488,1,1
1504876085,0,1
1504883299,1,0
1504886890,0,1
1504897694,0,3
1504901299,0,2
1504904894,1,0
1504908494,1,0
1504912110,1,1
1504915752,1,0
1504919290,2,0
1504922924,0,3
1504926498,5,1
1504930112,1,0
1504933713,2,2
1504937273,3,0
1504940900,3,1
1504944507,1,0
1504948100,0,1
1504951697,0,2
1504955292,1,3
1504958899,1,0
1504962497,3,2
1504966109,2,1
1504969690,1,0
1504973295,0,1
1504976893,0,2
1504980494,0,2
1504987690,0,3
1504991296,0,2
1504994889,7,2
1505005693,2,0
1505009284,0,7
1505012861,4,3
1505016485,3,0
1505020073,1,0
1505027277,0,1
1505030874,0,2
1505034505,0,4
1505038077,1,2
1505045285,5,0
1505048859,2,0
1505059701,0,2
1505063286,0,1
1505070496,0,2
1505074083,3,3
1505077675,3,0
1505084871,2,0
1505088527,0,1
1505092099,0,2
1505095695,0,3
1505099300,2,2
1505102877,2,0
1505106504,1,0
1505113682,0,1
1505117301,1,2
1505120878,1,1
1505124492,2,0
1505131688,0,1
1505135293,0,3
1505138888,1,1
1505142495,2,0
1505156914,1,1
1505160491,0,1
1505167692,4,0
1505171284,1,0
1505174923,1,0
1505182075,0,2
1505185685,0,1
1505189294,0,2
1505192888,1,0
1505196480,1,0
1505200079,0,1
1505207315,0,1
1505210906,0,1
1505214492,3,2
1505218079,1,1
1505221685,2,0
1505225286,3,1
1505228886,1,1
1505232478,0,1
1505239690,1,1
1505243290,0,2
1505246882,0,1
1505250496,4,0
1505261327,1,0
1505264890,5,4
1505275669,1,1
1505279308,0,3
1505290092,2,1
1505293676,3,0
1505304506,0,1
1505308066,1,7
1505311685,3,1
1505315262,3,1
1505318907,3,0
1505322477,2,1
1505326072,0,1
1505329696,1,1
1505336883,0,2
1505340486,1,0
1505344098,1,5
1505347729,3,1
1505354889,0,3
1505358480,3,3
1505372875,3,2
1505383678,1,0
1505387264,2,4
1505398089,0,1
1505401679,2,2
1505405254,1,0
1505412463,0,1
1505416059,1,3
1505419676,1,0
1505426878,4,1
1505430487,1,0
1505434121,0,2
1505441280,0,2
1505444874,2,0
1505448472,1,0
1505452068,2,0
1505455654,1,0
1505459273,0,1
1505462893,0,2
1505466474,0,2
1505470076,1,0
1505473666,3,0
1505484495,0,3
1505488062,0,3
1505491673,1,0
1505495275,1,0
1505498876,4,0
1505506084,0,1
1505509672,1,1
1505513262,0,4
1505524062,0,1
1505527684,1,0
1505531261,1,0
1505534859,1,0
1505542063,1,1
1505545684,0,1
1505549261,0,1
1505552869,0,1
1505556445,0,2
1505560051,5,0
1505567284,1,0
1505574450,0,3
1505581677,0,1
1505588870,3,0
1505592472,2,0
1505596059,1,0
1505599663,1,0
1505603270,0,2
1505606920,0,3
1505610503,1,3
1505614065,4,1
1505617692,1,0
1505621248,1,0
1505624891,1,1
1505628486,2,3
1505632092,1,2
1505635675,1,1
1505639272,1,1
1505642879,1,1
1505646464,3,0
1505650088,1,0
1505653677,1,0
1505657253,0,1
1505660891,0,1
1505664481,0,1
1505668101,1,0
1505671695,1,0
1505678871,2,0
1505682481,0,1
1505686058,4,1
1505693283,1,2
1505700493,0,6
1505704092,0,3
1505707678,4,1
1505722083,0,2
1505725687,1,0
1505732894,0,1
1505740076,0,2
1505743690,4,0
1505754495,2,0
1505758107,0,3
1505768905,1,3
1505772483,1,0
1505779735,2,0
1505783279,0,1
1505786912,1,1
1505794094,0,2
1505797674,1,0
1505801293,2,1
1505808499,1,0
1505812084,0,1
1505815677,0,2
1505819286,1,1
1505822889,1,1
1505826485,2,0
1505830075,1,0
1505833683,0,1
1505840893,0,2
1505848061,0,11
1505945291,4,0
1505948845,3,0
1505952516,7,0
1505959658,2,0
1505963265,1,2
1505966845,3,2
1505970446,2,0
1505974059,0,1
1505977642,3,0
1505981267,0,1
1505984893,1,2
1505988479,0,1
1505992050,3,5
1505995660,6,1
1505999274,2,1
1506006449,1,0
1506010083,0,7
1506013679,0,4
1506017270,3,0
1506020872,5,2
1506028058,0,2
1506031682,2,1
1506035262,4,3
1506038886,1,0
1506042465,1,1
1506046071,0,2
1506049680,0,7
1506053251,4,0
1506056853,0,1
1506067647,0,5
1506071294,1,0
1506074859,5,0
1506082037,1,0
1506085667,1,0
1506089256,0,1
1506100060,0,1
1506103680,1,2
1506107250,4,0
1506110859,2,0
1506118047,0,2
1506121660,0,3
1506125305,0,3
1506128875,3,0
1506139660,1,0
1506143256,1,2
1506150467,0,2
1506154095,1,1
1506157666,0,1
1506161270,3,0
1506168456,1,1
1506172067,1,0
1506175672,1,2
1506182866,0,2
1506186451,1,0
1506190093,2,1
1506197250,3,0
1506200859,0,1
1506204454,0,2
1506208074,1,0
1506211692,1,1
1506218873,1,0
1506226082,0,3
1506229669,1,0
1506233247,1,1
1506236849,0,2
1506247664,2,1
1506251274,1,0
1506254858,2,0
1506262051,0,2
1506265660,2,1
1506269283,0,2
1506272854,1,0
1506280060,0,2
1506283648,2,0
1506287286,2,2
1506290867,2,0
1506298113,3,2
1506301698,0,2
1506305293,0,1
1506308895,3,0
1506312475,1,3
1506323263,0,1
1506326884,1,1
1506330492,1,0
1506334099,1,0
1506337692,4,0
1506341277,2,1
1506348489,0,2
1506352077,3,4
1506355677,1,2
1506359294,0,2
1506362883,0,1
1506366471,1,1
1506370115,2,1
1506373679,2,0
1506377289,3,0
1506380888,2,0
1506384500,2,2
1506388077,1,2
1506391698,0,3
1506395274,0,4
1506398858,0,1
1506402488,0,2
1506424061,4,0
1506427681,1,0
1506431284,2,0
1506438492,0,4
1506442089,0,1
1506445675,4,1
1506449279,2,0
1506452862,1,0
1506460081,0,5
1506463669,0,2
1506467273,1,2
1506470914,2,0
1506474481,2,0
1506478086,1,0
1506488883,1,2
1506492466,0,1
1506496089,0,2
1506499676,2,0
1506503296,2,1
1506506874,2,0
1506514079,0,2
1506517701,0,2
1506524887,2,5
1506528459,2,0
1506532086,2,0
1506539288,2,2
1506542883,0,1
1506550071,2,0
1506553681,1,2
1506557325,1,0
1506564512,4,3
1506568104,0,1
1506571715,1,2
1506575290,5,0
1506578897,1,1
1506582492,2,0
1506586110,1,1
1506589717,0,4
1506593297,0,1
1506596911,0,1
1506600516,0,1
1506604102,2,0
1506607696,4,0
1506611298,1,0
1506614890,1,0
1506622103,1,3
1506625697,1,2
1506632897,4,0
1506636486,1,2
1506640099,0,1
1506643746,1,2
1506647283,1,3
1506650892,2,0
1506654519,0,1
1506658110,1,2
1506661681,4,2
1506665296,0,1
1506668896,2,1
1506672492,3,1
1506676099,1,3
1506679700,1,0
1506686936,0,4
1506690494,0,2
1506694084,2,0
1506701299,1,0
1506708514,0,1
1506715702,2,1
1506719291,1,0
1506722906,2,1
1506726509,3,0
1506730139,0,2
1506733701,0,2
1506737298,0,3
1506740886,0,7
1506744492,5,0
1506751695,1,0
1506758895,1,4
1506762502,4,0
1506766084,2,1
1506769682,2,0
1506773301,0,1
1506776898,0,2
1506780491,1,3
1506784099,0,2
1506787674,3,0
1506791292,3,0
1506802100,0,1
1506805695,1,2
