DateTime,AddedIPs,RemovedIPs
1500610207,0,2
1500613763,2,0
1500653367,0,2
1500656981,0,2
1500660584,2,0
1500664197,2,0
1500678584,0,1
1500682197,1,0
1500696572,1,0
1500710980,0,1
1500714596,1,0
1500728955,0,1
1500732581,1,0
1500743383,0,1
1500746979,1,0
1500754173,0,1
1500757784,1,0
1500768616,1,0
1500772157,0,1
1500829759,0,1
1500836970,1,0
1500854986,1,0
1500865768,0,1
1500869355,0,2
1500872952,2,0
1500941368,0,1
1500944960,1,0
1500959388,0,1
1500962957,1,0
1500970158,0,1
1500973783,1,0
1500988161,0,1
1500995391,1,0
1501027812,1,0
1501031347,0,1
1501038561,1,0
1501042164,0,1
1501045758,1,0
1501074551,1,0
1501081776,0,1
1501085360,1,1
1501088978,1,0
1501092560,0,1
1501117769,0,1
1501121384,0,1
1501124957,0,1
1501128592,0,1
1501132152,2,0
1501135749,1,0
1501150150,0,1
1501157347,1,0
1501160956,0,1
1501164551,1,0
1501178973,0,1
1501182562,1,0
1501196952,0,1
1501200585,1,0
1501204172,1,1
1501211365,1,1
1501214966,0,1
1501218552,0,1
1501222170,1,0
1501229358,1,0
1501254551,0,1
1501258150,1,0
1501261752,0,2
1501265365,1,0
1501276157,1,0
1501290593,0,1
1501294207,1,1
1501344573,0,1
1501348156,1,0
1501366194,0,0
1501384185,0,1
1501391369,1,0
1501409364,0,1
1501420184,1,0
1501463389,1,0
1501466981,0,1
1501470572,0,8
1501546154,8,0
1501549660,1,0
1501556878,0,9
1501614477,9,0
1501639787,0,2
1501643388,1,1
1501650587,1,0
1501668575,0,1
1501672176,1,0
1501701001,0,1
1501708177,1,1
1501711782,1,0
1501740557,0,1
1501744156,1,0
1501776551,0,1
1501780180,1,0
1501787363,0,1
1501798154,1,0
1501812576,0,1
1501834179,0,1
1501841360,1,0
1501873769,0,1
1501877355,1,0
1501895371,0,1
1501902579,1,2
1501913362,1,0
1501938566,0,1
1501942167,1,0
1501978191,1,0
1501985395,0,1
1501988954,0,1
1501992565,0,1
1501996170,1,0
1502006970,0,1
1502014179,1,0
1502017762,0,2
1502024952,2,0
