DateTime,AddedIPs,RemovedIPs
1499997876,1,0
1500001473,1,0
1500026686,0,1
1500030268,1,0
1500033884,0,1
1500041087,1,0
1500062686,0,1
1500066280,1,0
1500105882,0,1
1500113074,1,0
1500138287,0,1
1500141882,1,0
1500156282,0,1
1500159884,1,0
1500224670,0,1
1500235484,1,0
1500246267,0,1
1500249903,1,0
1500257062,0,1
1500260658,1,0
1500267870,0,1
1500271467,1,0
1500282275,0,1
1500285869,1,0
1500300257,0,1
1500307467,1,1
1500318268,1,0
1500321869,0,1
1500325473,1,0
1500347090,0,1
1500350695,1,0
1500354291,0,1
1500357901,1,0
1500375895,0,1
1500379512,1,0
1500393899,0,1
1500408293,0,1
1500411890,1,0
1500415502,1,0
1500426286,0,1
1500429897,1,0
1500444288,0,1
1500447892,1,0
1500455095,0,1
1500458692,1,1
1500462296,1,0
1500476682,0,1
1500480290,1,0
1500487495,0,2
1500491109,1,1
1500498277,1,0
1500501904,1,0
1500545089,0,1
1500552302,1,0
1500559492,0,1
1500563089,1,1
1500566708,1,0
1500581088,0,2
1500584688,1,0
1500591899,1,0
1500599089,0,1
1500613481,0,1
1500620696,1,1
1500624288,1,0
1500710689,0,2
1500714318,1,0
1500725084,1,1
1500728684,1,1
1500732296,1,0
1500739476,0,1
1500750294,1,0
1500761088,0,1
1500764698,1,0
1500793471,0,1
1500797073,1,0
1500815058,0,1
1500825860,1,0
1500836682,0,1
1500840259,1,0
1500865469,0,1
1500869076,1,0
1500926663,0,1
1500933863,0,2
1500941058,2,0
1500944671,1,1
1500948271,1,0
1500987866,0,2
1500991478,3,0
1501002289,0,1
1501005875,0,1
1501013088,1,0
1501016672,0,1
1501020283,3,0
1501034672,0,1
1501038277,1,0
1501041893,0,1
1501045460,1,1
1501056279,1,1
1501059883,1,0
1501063492,0,1
1501070691,1,0
1501088701,0,1
1501092277,1,0
1501117493,0,1
1501121095,1,0
1501128298,0,1
1501135471,0,1
1501142684,1,0
1501153466,0,1
1501157071,1,0
1501164275,0,1
1501167885,1,0
1501171468,0,1
1501193087,1,0
1501254263,0,1
1501265070,1,0
1501293902,0,1
1501297479,1,0
1501333507,0,1
1501337093,1,0
1501365900,0,0
1501376720,0,1
1501380295,1,0
1501383890,0,1
1501387482,1,1
1501391095,0,1
1501394695,0,1
1501398300,2,0
1501401887,1,0
1501437887,0,1
1501441490,0,1
1501445088,2,0
1501470282,0,39
1501545845,39,0
1501556594,0,39
1501614172,7,0
1501635903,28,0
1501639486,3,0
1501643083,0,1
1501646687,2,0
1501743864,0,1
1501751068,1,0
1501754672,0,1
1501761868,1,0
1501765459,0,1
1501769082,1,0
1501779874,0,1
1501787071,1,0
1501794265,0,1
1501797885,1,0
1501862675,0,1
1501866292,1,0
1501898683,0,1
1501905886,1,0
1501920292,0,1
1501923896,1,0
1501938284,0,1
1501945484,1,0
1501995887,0,1
1502078679,0,1
1502082278,1,0
1502093090,0,1
1502096685,1,0
1502100294,0,1
1502107534,1,0
1502114689,0,1
1502118280,1,0
1502147082,0,1
1502150725,1,0
1502165111,0,1
1502168704,1,0
1502215512,0,1
1502219114,1,0
1502233507,0,2
1502237132,2,0
1502258683,0,1
1502262293,1,0
1502273098,0,1
1502276697,1,0
1502283898,0,1
1502287508,1,0
1502305493,0,1
1502309088,1,0
1502337883,0,1
1502341497,1,0
1502352298,0,1
1502413512,0,1
1502417083,1,0
1502460305,0,1
1502463914,1,0
1502481896,0,1
1502485509,1,0
1502510707,0,1
1502514305,1,0
1502528708,1,0
1502553904,0,1
1502564702,1,0
1502604275,0,1
1502607877,1,0
1502687093,0,1
1502690675,1,1
1502694287,1,0
1502701477,0,1
1502705098,1,0
1502708673,0,1
1502726703,1,0
1502795080,0,1
1502816683,1,1
1502820288,1,0
1502838274,0,1
1502841908,1,0
1502856308,0,1
1502859882,1,0
1502863481,0,1
1502867076,1,0
1502899480,0,1
1502903088,1,0
1502917477,0,1
1502921088,1,0
1502931899,0,1
1502935471,1,0
1502942685,9,0
1502946284,1,0
1502949878,1,0
1502957084,0,1
1502960686,1,0
1502967878,0,1
1502978674,1,0
1503000285,0,1
1503003880,1,0
1503021921,0,1
1503036300,1,0
1503043515,0,1
1503050713,1,0
1503054317,0,1
1503057898,1,0
1503104705,0,1
1503115501,0,1
1503122708,0,1
1503126307,2,0
1503144299,0,1
1503147903,1,0
1503155098,1,0
1503183917,0,1
1503187543,1,1
1503194717,1,0
1503212708,0,1
1503227115,1,1
1503230715,1,0
1503237904,0,1
1503241509,0,1
1503248709,2,0
1503255914,0,1
1503259510,1,0
1503327910,0,1
1503335110,2,0
1503353105,0,1
1503356702,1,0
1503378318,0,1
1503381901,1,1
1503389105,1,1
1503428711,0,1
1503443116,1,0
1503464685,1,1
1503471892,1,0
1503486285,0,1
1503489888,1,0
1503493493,1,1
1503500694,1,0
1503515087,0,1
1503518683,1,0
1503533116,0,1
1503540304,1,0
1503565479,0,1
1503569080,1,0
1503590688,0,1
1503597873,1,0
1503615886,0,1
1503630284,1,1
1503637488,1,0
1503644698,0,1
1503648297,1,1
1503651892,1,0
1503673508,0,1
1503691487,0,1
1503695092,1,0
1503698694,1,0
1503720290,0,1
1503723893,1,0
1503752700,0,1
1503756305,1,0
1503777887,0,2
1503781483,1,0
1503785100,1,1
1503799487,1,0
1503813896,0,1
1503817482,0,2
1503821088,3,0
1503846282,0,1
1503857091,1,0
1503896678,0,1
1503900278,1,0
1503903895,0,1
1503911101,1,0
1503929089,0,1
1503932700,1,0
1503943478,0,1
1503950693,1,0
1503957888,0,1
1504091116,0,1
1504112708,1,0
1504177522,0,1
1504184718,1,0
1504213509,1,0
1504224349,0,1
1504303497,0,1
1504321512,1,0
1504332298,0,1
1504335922,1,0
1504339502,0,1
1504353908,2,0
1504379109,0,1
1504382713,1,0
1504407888,0,1
1504411490,1,0
1504454680,0,1
1504458270,0,1
1504461887,1,0
1504472677,0,2
1504476271,2,0
1504487101,0,1
1504508681,1,0
1504530308,0,1
1504533888,1,0
1504537486,0,1
1504551890,1,0
1504623901,0,1
1504634680,1,0
1504652706,1,0
1504670708,0,1
1504674302,1,0
1504681483,0,1
1504685089,0,1
1504688680,2,0
1504695899,0,1
1504699502,3,2
1504703091,0,1
1504706710,0,2
1504710296,0,1
1504731904,0,1
1504735497,1,0
1504749892,0,1
1504789488,0,1
1504793106,1,0
1504803889,0,1
1504807493,1,1
1504814694,1,0
1504839915,0,1
1504843514,0,1
1504847113,1,0
1504861519,1,0
1504883098,0,2
1504886713,2,0
1504915546,0,1
1504919112,1,0
1504926301,0,1
1504929906,1,1
1504933511,1,0
1504973101,0,1
1504980300,0,5
1504983902,6,0
1505019899,0,1
1505030702,1,0
1505063112,1,0
1505084694,0,1
1505099113,0,1
1505102707,1,0
1505117113,0,1
1505120703,1,0
1505153105,0,1
1505167512,1,0
1505181901,0,1
1505185515,1,0
1505196303,0,1
1505203512,1,0
1505214310,0,1
1505217905,1,1
1505221504,1,0
1505257500,0,1
1505261139,0,1
1505264704,1,0
1505279098,1,0
