DateTime,AddedIPs,RemovedIPs
1504397469,9,1
1504401033,0,1
1504404619,0,1
1504408252,1,11
1504429843,0,1
1504433429,1,0
1504483858,17,0
1504487468,1,0
1504494648,1,19
1504498254,1,0
1504501843,1,0
1504505443,0,1
1504509014,0,2
1504512638,1,0
1504516248,1,2
1504527047,1,0
1504534245,1,0
1504537826,1,0
1504541469,0,2
1504545020,1,0
1504548651,0,1
1504552243,1,0
1504563038,0,1
1504566684,0,1
1504570279,9,0
1504573843,0,1
1504577450,1,0
1504581052,0,19
1504584656,0,1
1504588256,2,0
1504595432,0,1
1504602679,1,0
1504606259,0,1
1504617036,1,1
1504624257,1,0
1504627866,1,0
1504631456,0,1
1504638622,1,1
1504642258,1,1
1504645845,0,1
1504653048,1,0
1504656697,18,1
1504663848,0,1
1504667454,0,9
1504671021,0,2
1504678217,0,1
1504681830,1,0
1504696252,0,1
1504699832,0,1
1504703453,1,0
1504717837,1,1
1504721446,1,0
1504732267,1,0
1504735815,0,1
1504743106,20,0
1504746649,0,1
1504750262,0,1
1504753828,0,18
1504775447,1,0
1504789839,0,1
1504822260,1,0
1504829482,22,0
1504836657,1,0
1504840271,0,8
1504843854,1,1
1504847461,1,0
1504851047,1,1
1504854638,0,1
1504861859,1,1
1504865440,1,0
1504869065,1,0
1504872656,0,1
1504876250,0,1
1504879889,1,0
1504883461,0,1
1504887051,0,1
1504890672,2,0
1504897860,1,1
1504905057,0,1
1504912268,1,0
1504915908,12,0
1504919457,0,1
1504923089,0,1
1504926675,0,15
1504930273,1,1
1504933892,1,0
1504944677,1,0
1504948257,1,0
1504951856,1,1
1504955456,0,1
1504959059,1,2
1504962663,1,0
1504966266,0,1
1504973444,1,1
1504980644,1,1
1504984265,1,0
1504987861,0,1
1504998646,1,1
1505002292,17,0
1505005863,1,1
1505009444,2,1
1505013029,1,20
1505016652,1,2
1505020228,1,1
1505023847,0,1
1505031036,1,1
1505034658,1,1
1505038241,1,1
1505041843,3,0
1505045441,1,1
1505049018,2,1
1505052658,1,2
1505056262,1,2
1505059865,0,1
1505063449,2,1
1505067022,1,2
1505070653,0,1
1505074245,2,0
1505077833,0,1
1505081404,0,2
1505085030,1,0
1505088681,17,0
1505092268,0,1
1505095837,1,0
1505099475,1,22
1505106665,1,1
1505110226,1,0
1505117452,0,1
1505128264,1,1
1505131848,1,0
1505135440,0,1
1505139046,1,0
1505142656,0,1
1505149843,0,1
1505157062,1,0
1505160644,0,1
1505164258,2,1
1505167840,1,0
1505171453,0,1
1505175097,12,1
1505178650,1,1
1505182224,1,0
1505185839,1,9
1505189454,1,1
1505193062,1,1
1505196629,1,1
1505203868,1,2
1505211066,0,1
1505214655,0,1
1505218240,1,0
1505221846,1,0
1505225444,1,1
1505232640,1,0
1505236253,1,1
1505239841,0,1
1505247053,1,1
1505250654,1,1
1505257861,1,1
1505261499,19,1
1505265084,1,0
1505268659,0,2
1505272254,0,15
1505275864,1,0
1505279482,1,0
1505283078,1,2
1505286650,1,0
1505290265,1,1
1505293832,0,1
1505301022,1,1
1505304682,1,0
1505315408,1,1
1505319077,1,1
1505322644,0,1
1505326234,1,1
1505329858,2,0
1505337052,0,1
1505340646,0,1
1505344254,1,1
1505347896,16,0
1505351456,0,1
1505355047,1,1
1505358652,0,22
1505362249,2,1
1505365833,3,1
1505369457,2,1
1505373042,1,2
1505376655,1,1
1505380226,1,3
1505383849,1,0
1505387431,1,1
1505391034,2,2
1505394632,2,1
1505398244,1,1
1505401834,1,3
1505405415,1,1
1505409064,0,1
1505412638,1,1
1505416214,1,1
1505419832,2,1
1505423459,0,1
1505427036,0,0
1505430647,1,1
1505434285,6,1
1505437829,2,1
1505441461,0,1
1505445043,1,10
1505448624,1,1
1505455820,2,1
1505459433,1,1
1505463065,1,1
1505466649,1,0
1505470252,1,3
1505473825,2,1
1505481040,1,1
1505484664,1,1
1505488235,0,2
1505491846,1,1
1505495444,1,0
1505499049,0,1
1505502637,2,1
1505506246,1,1
1505509832,1,0
1505513430,2,1
1505517021,1,3
1505520675,15,1
1505524236,3,1
1505527840,2,0
1505531430,1,20
1505535032,1,1
1505538632,1,2
1505542236,2,3
1505545858,1,0
1505549435,2,1
1505553042,1,2
1505556618,1,2
1505560215,3,0
1505563832,2,3
1505567452,1,2
1505571038,2,3
1505574603,0,1
1505578249,1,1
1505581842,2,3
1505585424,3,1
1505589027,2,1
1505592635,2,1
1505596221,2,2
1505599818,2,2
1505603419,1,2
1505607087,13,2
1505610680,2,1
1505614244,0,1
1505617863,1,16
1505621411,3,2
