DateTime,AddedIPs,RemovedIPs
1505913258,0,4
1505915079,2,1
1505917098,1,1
1505918904,1,1
1505922972,2,1
1505924875,0,2
1505926851,2,2
1505928828,2,1
1505930680,1,5
1505932624,1,1
1505934487,0,1
1505936437,1,3
1505938344,1,3
1505940264,4,1
1505942431,2,8
1505944361,11,1
1505949388,6,3
1505951303,4,1
1505953227,68,1
1505955162,20,0
1505957061,0,1
1505958986,4,8
1505960901,0,4
1505962869,2,5
1505964689,3,1
1505966655,2,406
1505968589,3,1007
1505970498,3,2
1505972412,0,2
1505974330,3,0
1505976258,1,4
1505978183,0,1
1505980109,7,0
1505982038,2,1
1505983941,5,1
1505985861,1,1
1505987789,0,2
1505989705,1,3
1505991648,4,1
1505993549,2,1
1505995470,1,2
1505997415,38,2
1505999298,4,0
1506001238,1,3
1506003152,2,0
1506005066,3,0
1506006993,2,3
1506008905,1,3
1506010844,5,1
1506012752,1,1
1506014681,2,21
1506016608,1,9
1506018505,1,14
1506021407,1,11
1506023315,1,21
1506025513,2,10
1506027388,1,2
1506029639,3,52
1506031478,1,25
1506035869,1,6
1506037719,1,4
1506039628,2,70
1506041529,2,21
1506043462,4,0
1506045391,2,4
1506047292,3,0
1506050185,3,1
1506052369,3,6
1506054248,27,2
1506056194,23,2
1506058100,6,2
1506059900,28,2
1506061946,10,2
1506063854,1,3
1506065771,0,2
1506067633,2,5
1506069607,4,3
1506071520,2,0
1506073449,1,1
1506075343,3,0
1506077293,2,3
1506079133,0,1
1506081139,3,2
1506082962,1,5
1506084965,2,2
1506086817,0,3
1506088829,3,2
1506091041,3,5
1506092909,1,45
1506094849,3,1
1506096742,2,4
1506098707,4,2
1506100582,2,1
1506102541,4,0
1506104433,1,2
1506106274,7,1
1506108260,2,2
1506110185,10,2
1506112099,4,3
1506113929,5,2
1506115947,3,0
1506117799,4,1
1506120023,4,1
1506122207,3,1
1506124099,4,0
1506126020,2,3
1506127926,3,4
1506129901,2,4
1506131795,2,1
1506133957,1,6
1506135863,1,4
1506137789,5,3
1506139706,7,4
1506141626,3,3
1506143563,4,4
1506145455,1,1
1506147627,0,4
1506149555,1,0
1506153391,3,1
1506155307,1,24
1506157262,2,19
1506159158,2,15
1506161075,4,21
1506162971,2,15
1506164912,1,5
1506166823,1,6
1506168757,1,2
1506170655,1,1
1506172831,37,1
1506174743,72,5
1506176667,5,3
1506178574,2,4
1506180500,3,1
1506183574,3,3
1506185502,4,4
1506187425,1,0
1506189375,3,5
1506191316,2,0
1506193234,1,2
1506195130,1,1
1506197053,3,3
1506198965,7,2
1506200923,3,1
1506202733,3,1
1506204756,2,1
1506206685,1,2
1506208570,0,2
1506210441,2,1
1506212435,0,2
1506214444,2,2
1506216265,3,1
1506218240,1,3
1506220092,0,3
1506222146,1,2
1506223953,4,3
1506225969,0,6
1506227785,0,3
1506229772,3,1
1506231877,2,1
1506233813,2,1
1506235693,2,1
1506237957,5,0
1506239776,1,1
1506241791,3,0
1506244579,12,2
1506246488,61,2
1506248407,62,0
1506250335,55,2
1506252250,21,1
1506254186,23,2
1506256090,38,1
1506258056,18,2
1506259939,21,108
1506261865,125,2
1506263767,11,5
1506265696,17,0
1506267622,18,2
1506269552,31,3
1506271450,42,4
1506273377,50,2
1506275303,61,2
1506277206,46,2
1506280282,52,2
1506282252,63,3
1506284137,24,2
1506286125,38,5
1506288077,65,0
1506289960,53,6
1506291930,48,2
1506293785,9,2
1506295800,0,4
1506297648,21,0
1506299622,8,2
1506301463,0,1
1506303586,1,1
1506305528,2,1
1506307450,3,3
1506309378,1,0
1506311567,5,1
1506313465,2,1
1506315407,1,1
1506317310,4,1
1506320186,5,3
1506322108,2,3
1506324018,5,1
1506325941,2,1
1506327882,0,3
1506329790,1,3
1506331708,4,37
1506333645,1,63
1506335542,1,54
1506337466,1,47
1506339400,2,14
1506341299,1,29
1506343246,0,42
1506345168,1,5
1506347059,0,75
1506350298,39,71
1506352115,3,15
1506354112,1,21
1506355946,0,29
1506358008,3,58
1506360021,3,50
1506362204,1,65
1506364137,2,41
1506366293,1,39
1506368179,1,45
1506370102,1,45
1506372024,0,32
1506373946,0,61
1506375865,1,48
1506377784,3,56
1506379714,0,19
1506381612,4,3
1506383540,5,2
1506385453,0,27
1506387388,0,3
1506389292,9,0
1506391226,2,3
1506393147,2,1
1506395071,1,1
1506396970,5,3
1506398900,5,2
1506400826,2,0
1506402761,2,3
1506404654,3,5
1506408493,2,3
1506410433,15,3
1506412351,4,5
1506414262,4,0
1506416173,4,2
1506418101,3,4
1506420076,4,0
1506421945,2,1
1506423858,1,2
1506425797,2,5
1506429653,2,1
1506431543,5,0
1506433465,7,2
1506436524,5,45
1506438677,2,6
1506440651,1,2
1506442492,2,2
1506444515,5,3
1506446676,1,3
1506448606,4,2
1506452462,0,3
1506454330,0,1
1506456276,2,1
1506458437,2,0
1506460373,4,0
1506462266,2,2
1506464506,3,3
1506466336,3,1
1506468249,2,4
1506470204,2,4
1506472093,4,1
1506474987,4,5
1506476911,1,2
1506478809,4,4
1506480728,2,0
1506482653,2,4
1506484590,1,3
1506486498,3,2
1506488442,1,2
1506490338,0,3
1506492266,1,1
1506494437,2,4
1506496552,2,6
1506498509,0,12
1506500723,5,5
1506502578,4,3
1506504541,2,5
1506506486,5,3
1506508452,2,2
1506510274,1,1
1506513485,5,2
1506515310,2,2
1506518204,3,5
1506520093,3,2
1506522024,3,3
1506523954,153,3
1506525860,316,2
1506528983,66,2
1506531156,3,3
1506533053,4,1
1506535043,3,1
1506536910,9,2
1506539770,3,1
1506541716,1,0
1506543620,2,3
1506545527,4,1
1506547460,3,0
1506549272,2,3
1506551308,3,2
1506553246,3,1
1506555139,2,3
1506557059,4,2
1506558977,3,1
1506560886,2,1
1506562817,2,2
1506564741,24,4
1506566663,2,2
1506568572,1,2
1506570510,3,1
1506572426,5,2
1506574353,6,3
1506576262,4,1
1506578190,0,2
1506580099,0,1
1506582980,1,2
1506585055,5,0
1506586877,0,3
1506588844,2,4
1506590705,10,2
1506593034,20,5
1506595012,0,3
1506597077,2,1
1506599301,1,5
1506601261,3,0
1506603147,4,4
1506605089,5,0
1506606986,2,3
1506608924,2,2
1506610861,1,167
1506612767,0,299
1506614670,2,7
1506616612,4,2
1506618498,1,2
1506620435,2,2
1506622530,1,3
1506624501,6,3
1506626442,4,11
1506628343,4,1
1506630260,6,3
1506632167,4,6
1506634100,4,1
1506636048,1,0
1506637849,2,2
1506642019,0,2
1506644036,3,4
1506645858,5,2
1506647871,3,4
1506649693,2,2
1506651803,3,25
1506653769,2,1
1506655581,3,2
1506657392,1,2
1506659377,1,3
1506662208,3,5
1506664401,25,1
1506666257,13,1
1506668238,16,0
1506670104,21,1
1506672112,15,3
1506673951,5,1
1506675925,1,1
1506677799,0,73
1506679821,4,17
1506681636,2,0
1506683584,0,4
1506685480,4,4
1506687427,0,2
1506689324,2,4
1506691283,1,5
1506693161,0,1
1506695162,3,3
1506696986,2,0
1506698980,3,2
1506700855,3,0
1506703118,1,1
1506704918,3,1
1506706875,0,3
1506708927,3,1
1506710900,4,5
1506712821,1,1
1506714739,0,4
1506716658,2,4
1506718576,1,6
1506720511,4,3
1506722673,3,3
1506726247,5,1
1506728201,2,1
1506730039,3,4
1506732036,3,3
1506734192,3,4
1506736094,0,1
1506737949,1,1
1506739928,1,0
1506741965,2,7
1506743790,1,4
1506745706,1,3
1506747648,2,2
1506749457,0,2
1506751466,2,28
1506753413,0,24
1506755310,0,9
1506757234,3,31
1506759154,3,10
1506761053,1,3
1506762988,1,1
1506764962,3,2
1506766832,0,2
1506768920,5,2
1506770907,1,4
1506772718,2,2
1506774759,3,2
1506776765,2,5
1506778568,2,1
1506780607,6,1
1506782408,4,0
1506784339,5,2
1506786258,4,1
1506788092,4,2
1506790101,4,1
1506791978,3,2
1506793955,2,1
1506796007,1,3
1506799239,10,4
1506801387,2,1
1506803702,3,2
1506805840,1,3
1506808020,0,2
1506809963,68,1
1506811853,3,3
1506813764,2,2
1506815692,1,3
1506817599,1,2
1506819527,1,0
1506821443,2,1
1506823381,1,0
1506825624,3,2
1506827562,2,3
1506829459,1,3
1506831405,2,1
1506833320,2,0
1506835243,3,0
1506837155,2,2
1506839064,3,0
1506840991,2,0
1506842918,2,1
1506844852,5,4
1506846762,1,2
1506848670,2,0
1506850608,50,1
1506852515,57,4
1506854422,62,2
1506856355,31,5
1506858257,16,3
1506860331,35,3
1506862326,34,1
1506864250,9,2
1506866185,45,2
1506868086,9,2
1506870019,12,2
1506871944,21,3
1506873869,16,1
1506875771,31,2
1506877696,42,2
1506879620,55,2
1506881471,52,3
1506883451,35,5
1506885379,38,1
1506887268,55,5
1506889206,34,2
1506891135,36,2
1506893059,59,0
1506896181,87,76
1506898353,35,2
1506900262,1,1
1506902178,8,1
1506904106,6,0
1506907020,10,1
1506908914,2,0
1506910838,4,1
1506912769,1,2
1506914672,5,2
1506916604,2,1
1506918522,5,1
1506921406,8,4
