DateTime,Entries,UniqueIPs
1506517228,13311,13427
1506518194,13312,13428
1506519149,13313,13429
1506519851,13320,13436
1506520573,13321,13438
1506521569,13322,13439
1506522249,13328,13445
1506522983,13318,13435
1506523945,13319,13436
1506524656,13323,13440
1506525386,13320,13437
1506526086,13308,13425
1506526825,13306,13423
1506527552,13309,13426
1506528256,13311,13428
1506528975,13311,13428
1506529687,13308,13425
1506530428,13306,13423
1506531396,13299,13416
1506532090,13307,13424
1506532828,13299,13416
1506533547,13303,13420
1506534256,13307,13424
1506534982,13307,13424
1506535856,13306,13423
1506536661,13300,13417
1506537386,13298,13415
1506538107,13298,13415
1506538821,13296,13413
1506539553,13290,13407
1506540260,13290,13407
1506540988,13290,13407
1506541707,13288,13405
1506542924,13283,13399
1506543610,13287,13403
1506544334,13289,13405
1506545311,13275,13391
1506546022,13272,13388
1506546744,13281,13397
1506547451,13278,13394
1506548181,13283,13399
1506549150,13277,13393
1506549856,13285,13401
1506550595,13275,13391
1506551299,13274,13390
1506552035,13277,13393
1506552981,13283,13399
1506553948,13281,13397
1506554894,13272,13388
1506555870,13279,13395
1506556841,13279,13395
1506557556,13277,13393
1506558258,13277,13393
1506558968,13272,13388
1506559697,13273,13389
1506560674,13271,13387
1506561640,13272,13388
1506562603,13269,13385
1506563545,13256,13372
1506564505,13266,13382
1506565217,13265,13381
1506565945,13272,13388
1506566655,13272,13388
1506567367,13269,13385
1506568095,13267,13383
1506568819,13267,13383
1506569542,13265,13381
1506570501,13260,13376
1506571224,13265,13381
1506571964,13258,13374
1506572651,13260,13376
1506574345,13256,13372
1506575055,13252,13368
1506575787,13254,13370
1506576487,13254,13370
1506577230,13252,13368
1506578182,13263,13379
1506578892,13263,13379
1506579618,13254,13370
1506580359,13257,13373
1506581053,13258,13374
1506582035,13259,13375
1506582731,13261,13377
1506583462,13265,13381
1506584174,13271,13387
1506584893,13276,13392
1506585873,13265,13381
1506586830,13267,13383
1506587546,13269,13385
1506588256,13272,13388
1506589246,13274,13390
1506589943,13278,13394
1506590654,13279,13395
1506591380,13282,13398
1506593325,13284,13399
1506594032,13276,13391
1506595001,13277,13392
1506595701,13279,13394
1506596431,13281,13396
1506597397,13279,13394
1506598087,13274,13389
1506598835,13266,13381
1506599538,13261,13376
1506600272,13265,13380
1506601251,13269,13384
1506601947,13264,13379
1506602667,13263,13378
1506603366,13262,13377
1506604093,13263,13378
1506605080,13263,13378
1506605779,13270,13385
1506606517,13263,13378
1506607210,13257,13371
1506607948,13255,13369
1506608915,13257,13371
1506609609,13258,13372
1506610337,13266,13380
1506611056,13263,13377
1506611783,13257,13371
1506612758,13243,13357
1506613450,13243,13357
1506614189,13234,13348
1506614903,13239,13353
1506615626,13244,13358
1506616602,13238,13352
1506617550,13241,13355
1506618258,13239,13353
1506618975,13241,13355
1506619945,13238,13352
1506620654,13235,13349
1506621370,13247,13361
1506622520,13251,13365
1506623301,13252,13366
1506624267,13257,13371
1506624978,13255,13369
1506625711,13251,13365
1506626433,13259,13373
1506627143,13256,13370
1506628107,13250,13364
1506628831,13256,13370
1506629556,13250,13364
1506630251,13256,13370
1506630972,13258,13372
1506631947,13252,13366
1506632656,13248,13362
1506633391,13243,13357
1506634091,13245,13359
1506634829,13240,13354
1506635794,13235,13349
1506636749,13242,13356
1506637840,13241,13355
1506638671,13248,13362
1506640384,13242,13356
1506641054,13245,13359
1506641772,13247,13361
1506642493,13252,13366
1506643225,13254,13368
1506643949,13252,13366
1506644917,13251,13365
1506645617,13248,13362
1506646357,13247,13361
1506647056,13246,13360
1506647778,13249,13363
1506648755,13255,13369
1506649453,13264,13378
1506650174,13260,13374
1506650888,13267,13381
1506651656,13266,13380
1506652600,13266,13380
1506653552,13263,13377
1506654506,13265,13379
1506655221,13259,13373
1506655953,13264,13378
1506656653,13260,13374
1506657382,13263,13377
1506658353,13261,13375
1506659049,13254,13368
1506659793,13255,13369
1506660500,13252,13366
1506661229,13248,13362
1506662198,13249,13363
1506663151,13245,13359
1506663873,13249,13363
1506664567,13253,13367
1506665310,13252,13366
1506666019,13254,13368
1506666740,13252,13366
1506667454,13255,13369
1506668193,13252,13366
1506669149,13253,13367
1506669858,13252,13366
1506670584,13250,13364
1506671299,13247,13361
1506672073,13246,13360
1506672731,13241,13355
1506673458,13234,13348
1506674168,13228,13342
1506674899,13229,13343
1506675885,13238,13352
1506676830,13238,13352
1506677790,13234,13348
1506678749,13234,13348
1506679724,13235,13349
1506680656,13234,13348
1506681626,13228,13342
1506682326,13232,13347
1506683070,13228,13343
1506683781,13233,13348
1506684503,13237,13352
1506685470,13236,13351
1506686167,13244,13359
1506686904,13224,13339
1506687640,13228,13343
1506688344,13224,13339
1506689299,13227,13342
1506690022,13227,13342
1506690754,13224,13339
1506691450,13218,13333
1506692187,13213,13328
1506693152,13214,13329
1506693855,13209,13324
1506694602,13213,13328
1506695547,13214,13329
1506696249,13221,13336
1506696977,13217,13332
1506697687,13214,13329
1506698428,13219,13334
1506699144,13227,13342
1506699868,13225,13340
1506700567,13219,13334
1506701556,13212,13327
1506702509,13209,13324
1506703470,13211,13326
1506704196,13212,13327
1506704909,13219,13334
1506705613,13216,13331
1506706360,13221,13336
1506707054,13229,13344
1506707790,13233,13348
1506708918,13224,13339
1506709708,13228,13343
1506710660,13229,13344
1506711630,13228,13343
1506712341,13228,13343
1506713054,13225,13340
1506713768,13231,13346
1506714501,13235,13350
1506715259,13242,13357
1506715950,13247,13362
1506716649,13245,13360
1506717386,13241,13356
1506718357,13239,13353
1506719055,13247,13361
1506719798,13246,13360
1506720503,13243,13357
1506721210,13241,13355
1506722193,13239,13353
1506723150,13237,13351
1506724159,13240,13354
1506726783,13236,13350
1506727451,13232,13346
1506728190,13230,13344
1506729156,13234,13348
1506729859,13232,13346
1506730604,13228,13342
1506731292,13225,13339
1506732025,13226,13340
1506732984,13229,13343
1506733949,13228,13342
1506734896,13222,13336
1506735619,13230,13344
1506736349,13226,13340
1506737056,13228,13342
1506737797,13225,13339
1506738750,13225,13339
1506739713,13228,13342
1506740663,13230,13344
1506741629,13232,13346
1506742366,13233,13347
1506743052,13232,13346
1506743782,13233,13347
1506744750,13240,13354
1506745449,13237,13351
1506746201,13239,13353
1506746901,13238,13352
1506747618,13236,13350
1506748605,13238,13352
1506749290,13237,13351
1506750032,13236,13350
1506750750,13240,13354
1506751458,13240,13355
1506752431,13242,13357
1506753147,13237,13352
1506753868,13244,13359
1506754578,13240,13356
1506755302,13244,13360
1506756256,13236,13352
1506756979,13239,13355
1506757717,13241,13357
1506758418,13241,13357
1506759145,13248,13364
1506760093,13247,13363
1506760819,13248,13364
1506761560,13249,13365
1506762256,13250,13366
1506762979,13258,13374
1506763952,13251,13367
1506764659,13254,13370
1506765376,13261,13377
1506766089,13257,13373
1506766823,13256,13372
1506767542,13259,13375
1506768258,13247,13363
1506769392,13257,13373
1506770173,13257,13373
1506770899,13254,13370
1506771876,13251,13367
1506772566,13251,13367
1506773294,13255,13370
1506774041,13257,13372
1506774745,13257,13372
1506775456,13262,13377
1506776167,13260,13375
1506777421,13267,13382
1506778088,13264,13379
1506778822,13262,13377
1506779791,13265,13380
1506781264,13265,13381
1506781935,13264,13380
1506782656,13270,13386
1506783639,13275,13391
1506784593,13280,13396
1506785297,13282,13398
1506786012,13286,13402
1506786991,13280,13396
1506787699,13277,13393
1506788431,13281,13397
1506789394,13273,13389
1506790093,13283,13399
1506790854,13281,13397
1506791552,13286,13402
1506792284,13286,13401
1506793227,13285,13400
1506793945,13283,13398
1506794673,13277,13392
1506795321,13271,13386
1506796366,13265,13380
1506797299,13269,13384
1506798035,13268,13383
1506798751,13264,13379
1506799453,13263,13378
1506801369,13276,13391
1506802154,13268,13383
1506802920,13265,13380
1506803563,13260,13374
1506804255,13266,13380
1506805244,13268,13382
1506806199,13267,13381
1506806869,13267,13381
1506807880,13268,13382
1506809817,13257,13371
1506810508,13258,13372
1506811207,13261,13375
1506812184,13258,13372
1506812902,13259,13373
1506813618,13262,13376
1506814347,13257,13371
1506815082,13260,13374
