DateTime,AddedIPs,RemovedIPs
1506322791,4,9
1506323730,0,769
1506324506,777,0
1506326461,5,19
1506328227,0,8
1506328973,0,16
1506329792,1,0
1506330642,3,31
1506331705,3,0
1506332546,1,15
1506333669,0,4
1506335415,0,697
1506336147,696,0
1506337261,0,696
1506338064,699,0
1506339048,0,5
1506339931,2,0
1506341055,0,6
1506341666,3,0
1506343231,25,15
1506344136,2,0
1506345004,1,4
1506345256,0,702
1506346237,700,0
1506348357,6,5
1506350079,4,10
1506351216,1,0
1506352203,20,12
1506354326,48,14
1506355154,10,3
1506356072,5,0
1506356977,9,0
1506357760,4,0
1506359432,15,4
1506360389,5,3
1506361237,5,4
1506362122,1,0
1506363032,1,6
1506365131,6,4
1506366633,7,3
1506367608,8,0
1506368434,13,19
1506369398,4,0
1506370231,2,3
1506371261,3,0
1506372316,0,787
1506373831,772,0
1506375749,28,13
1506377673,15,1
1506379137,3,4
1506380251,2,1
1506381062,23,5
1506382062,17,0
1506382948,3,2
1506384866,12,1
1506386731,62,2
1506389131,74,4
1506389976,1,7
1506390927,4,0
1506391832,6,3
1506392065,0,1
1506393044,3,4
1506394648,4,3
1506395729,4,2
1506396640,3,7
1506398167,4,1
1506399038,0,3
1506399264,1,0
1506400369,1,3
1506400948,1,3
1506402868,11,13
1506403682,0,971
1506405023,973,0
1506406236,2,1
1506407305,1,0
1506408334,0,7
1506409661,5,3
1506410684,3,0
1506410911,4,0
1506411749,3,7
1506413670,5,1
1506414894,5,3
1506416186,5,3
1506417034,4,4
1506418112,8,1
1506418945,6,11
1506419947,4,2
1506420795,2,0
1506421660,6,1
1506422745,1,7
1506424836,6,5
1506425774,3,26
1506428664,14,25
1506429647,21,13
1506430530,38,0
1506431443,3,5
1506432631,2,10
1506433531,9,1
1506436531,26,28
1506437724,9,8
1506438871,2,9
1506439832,3,14
1506440556,3,1
1506442546,7,9
1506443434,11,11
1506444931,8,3
1506445834,1,6
1506446639,2,1
1506447582,1,8
1506449368,4,6
1506450932,22,6
1506451856,18,6
1506453036,2,2
1506453881,0,1
1506454946,3,5
1506456523,7,5
1506457489,6,1
1506458419,0,1002
1506460234,995,0
1506461335,1,6
