DateTime,Entries,UniqueIPs
1506213778,9258,9258
1506214583,9261,9261
1506215441,9260,9260
1506216331,9261,9261
1506217536,9260,9260
1506218682,9254,9254
1506219266,9254,9254
1506220527,9256,9256
1506221783,9258,9258
1506222632,9259,9259
1506223835,9255,9255
1506226247,9261,9261
1506227729,9259,9259
1506228625,9260,9260
1506228984,9259,9259
1506229834,9255,9255
1506230062,9256,9256
1506232044,9249,9249
1506232588,9249,9249
1506233432,9247,9247
1506234646,9238,9238
1506235533,9233,9233
1506237013,8244,8244
1506238917,9232,9232
1506240869,9229,9229
1506242138,9226,9226
1506244468,9218,9218
1506246039,9219,9219
1506246983,9221,9221
1506247841,9222,9222
1506248698,8244,8244
1506249656,9227,9227
1506251440,9230,9230
1506251671,9228,9228
1506252665,9225,9225
1506254185,9224,9224
1506255301,9232,9232
1506256230,9249,9249
1506257131,9271,9271
1506258538,8244,8244
1506259704,9269,9269
1506262228,8244,8244
1506263129,9268,9268
1506264147,9261,9261
1506264986,9267,9267
1506265834,9271,9271
1506266674,9277,9277
1506267579,9277,9277
1506268537,9281,9281
1506269434,9284,9284
1506270496,9294,9294
1506272184,9296,9296
1506273032,9292,9292
1506274943,9291,9291
1506275936,9293,9293
1506276868,9294,9294
1506277838,9290,9290
1506278738,9289,9289
1506280463,9281,9281
1506281294,8244,8244
1506282367,9251,9251
1506283830,9211,9211
1506285874,9161,9161
1506286769,9161,9161
1506287731,9163,9163
1506288922,9153,9153
1506289990,9136,9136
1506291043,9114,9114
1506292528,9088,9088
1506294644,9068,9068
1506296543,9052,9052
1506298231,9024,9024
1506299658,9019,9019
1506300922,9021,9021
1506301835,9019,9019
1506303781,9019,9019
1506304748,9017,9017
1506305665,9018,9018
1506307223,9014,9014
1506309031,9017,9017
1506310957,9013,9013
1506312044,9014,9014
1506312934,9016,9016
1506313834,9018,9018
1506314567,9022,9022
1506316233,9022,9022
1506317431,9018,9018
1506318338,9019,9019
1506318993,9018,9018
1506319817,9016,9016
1506321037,9018,9018
1506322791,9013,9013
1506323730,8244,8244
1506324506,9021,9021
1506326461,9007,9007
1506328227,8999,8999
1506328973,8983,8983
1506329792,8984,8984
1506330642,8956,8956
1506331705,8959,8959
1506332546,8945,8945
1506333669,8941,8941
1506335415,8244,8244
1506336147,8940,8940
1506337261,8244,8244
1506338064,8943,8943
