DateTime,AddedIPs,RemovedIPs
1506121143,1,7
1506122142,2,0
1506122914,1,0
1506124745,0,2
1506125737,1,0
1506127244,1,1
1506128500,3,2
1506129343,1,0
1506130238,2,0
1506130961,1,1
1506131808,1,0
1506132637,0,1
1506133527,1,0
1506134553,1,0
1506137440,0,1
1506140728,1,0
1506141757,1,1
1506143334,2,0
1506144513,1,0
1506146187,0,2
1506147034,0,3
1506147278,1,0
1506148246,0,1
1506149136,1,0
1506152128,0,1
1506153385,1,0
1506154238,2,1
1506157013,0,1
1506157841,1,0
1506159330,0,6
1506160230,1,0
1506161209,0,1
1506161673,1,0
1506162677,0,1
1506164664,4,0
1506166539,3,1
1506168637,0,3
1506170738,0,1
1506172240,1,2
1506174986,1,1
1506176077,0,1
1506177048,0,1
1506177751,1,2
1506179436,2,2
1506180520,3,0
1506183043,4,8
1506184114,1,0
1506185803,1,3
1506186643,2,1
1506187820,1,1
1506190242,0,3
1506191452,1,1
1506192334,0,1
1506193836,3,1
1506194876,2,0
1506197661,1,3
1506199979,5,2
1506201937,1,0
1506202837,1,3
1506204044,1,0
1506204942,1,0
1506205915,0,1
1506206737,0,2
1506208473,1,0
1506209692,2,1
1506213031,0,1
1506213783,1,2
1506215446,1,1
1506216336,3,0
1506217540,0,5
1506220533,1,1
1506221787,2,0
1506223839,1,1
1506226251,2,1
1506227734,0,2
1506228988,1,0
1506229838,0,1
1506232052,1,1
1506233436,1,3
1506234650,2,2
1506235537,3,0
1506237025,2,1
1506238923,1,2
1506240874,2,1
1506242142,3,0
1506244472,0,2
1506246043,2,1
1506247846,1,1
1506248712,1,0
1506249660,0,2
1506251444,3,0
1506252683,2,0
1506254189,1,0
1506255344,0,1
1506257135,1,0
1506258562,1,2
1506263133,0,3
1506265838,2,0
1506267583,2,2
1506268541,1,0
1506269438,1,1
1506270509,1,0
1506272189,2,1
1506274947,4,2
1506276873,1,0
1506277843,0,1
1506278744,1,0
1506280467,0,2
1506281299,2,0
1506282371,2,1
1506283834,1,1
1506285879,2,4
1506286775,1,1
1506287735,1,0
1506288926,0,2
1506289994,2,0
1506291048,2,1
1506292533,3,3
1506294648,3,0
1506296547,0,2
1506298236,2,3
1506299673,2,4
1506300926,0,1
1506301839,2,1
1506303806,0,1
1506309035,1,0
1506310970,1,2
1506312047,1,1
1506313838,0,3
1506316237,1,0
1506317435,3,2
1506318342,1,0
1506319833,1,1
1506321042,1,1
1506323733,2,1
1506326472,1,1
1506327270,1,0
1506328238,0,1
1506328978,1,1
1506329806,1,0
1506330646,0,7
1506331710,2,0
1506332550,0,1
1506333691,0,4
1506334472,1,0
1506335424,2,3
1506339056,1,0
1506341068,0,1
1506343237,0,2
1506345025,1,0
1506346242,1,0
1506348361,0,1
1506350084,0,4
1506351220,1,0
1506352220,0,4
1506354330,2,1
1506355158,0,2
1506359436,0,2
1506361245,0,2
1506363036,1,0
1506364238,0,5
1506365136,2,0
1506366637,0,1
1506367612,3,0
1506368438,1,5
1506370236,0,1
1506372321,0,1
1506373835,1,2
1506375753,0,1
1506377678,1,1
1506379141,0,2
1506381303,2,0
1506382952,1,1
1506384870,2,0
1506386736,0,3
1506388239,1,0
1506389136,2,0
1506389983,0,2
1506391836,1,1
1506393048,1,1
1506394654,1,0
1506395734,1,1
1506396646,1,0
1506398171,0,1
1506399042,1,1
1506400953,0,1
1506402872,2,2
1506405027,0,2
1506406240,3,2
1506408338,1,1
1506410689,2,0
1506411753,0,5
1506413675,1,0
1506414899,1,2
1506418949,0,1
1506419954,0,1
1506420809,1,0
1506424052,1,3
1506427839,1,1
1506430579,2,0
1506432635,2,0
1506436538,1,1
1506437729,2,1
1506438875,3,2
1506439836,0,1
1506442553,0,1
1506443443,1,0
1506444935,0,4
1506445838,1,1
1506447586,1,1
1506449376,1,2
1506450937,1,1
1506453040,0,1
1506453885,1,0
1506454951,1,1
1506456528,0,4
1506458437,0,10
1506460239,2,3
1506461340,2,0
1506462332,0,3
1506463840,0,2
1506465766,1,1
1506469346,0,2
1506471041,1,1
1506472245,0,1
1506474657,6,0
1506475711,2,0
1506479307,1,0
1506480997,2,2
1506481841,0,1
1506485437,0,1
1506486641,1,3
1506487541,1,0
1506489337,1,1
1506490245,1,2
1506492866,0,1
1506493710,1,0
1506494717,2,2
1506495811,1,1
1506496478,2,1
1506497323,0,2
1506498928,0,1
1506499847,0,1
1506501042,0,3
1506503735,2,0
1506505555,2,2
1506509074,1,1
1506509787,1,0
1506510640,1,0
1506513386,1,0
1506516332,1,2
1506517850,1,0
1506518699,4,0
1506519640,1,0
1506520587,1,0
1506521440,0,1
1506523477,3,2
1506529841,2,1
1506532232,1,1
1506534347,1,1
1506536705,3,1
1506537520,0,3
1506538347,1,0
1506539385,1,0
1506541243,5,0
1506542148,1,0
1506543037,1,0
1506545018,1,0
1506546868,2,0
1506547848,2,1
1506550243,1,1
1506552345,2,1
1506553652,0,3
1506555642,2,0
1506556527,1,0
1506557373,1,0
1506558635,2,4
1506559350,2,0
1506561268,2,0
1506563140,0,2
1506564637,3,3
1506566443,1,0
1506568244,3,0
1506569308,2,0
1506570332,2,1
1506571840,1,1
1506572870,2,0
1506574779,0,1
1506575732,1,0
1506576509,1,0
1506577355,0,3
1506579283,1,0
1506580239,0,2
1506582641,2,0
1506583558,1,0
1506584566,0,2
1506586474,2,0
1506587317,1,0
1506591036,1,1
1506591939,1,0
1506593745,1,0
1506595245,0,1
1506596653,0,2
1506598558,0,1
1506600944,1,0
1506601709,1,0
1506602553,0,2
1506604479,3,0
1506608073,2,4
1506609770,0,1
1506610643,1,0
1506612645,0,1
1506614444,1,1
1506615258,3,0
1506616252,2,1
1506618214,2,1
1506620100,1,1
1506621036,1,0
1506622240,3,0
1506624150,4,2
1506625398,1,0
1506626437,1,0
1506627754,1,0
1506629440,0,1
1506631354,0,1
1506633027,2,0
1506634048,1,0
1506636931,3,0
1506637709,2,0
1506640242,1,0
1506642327,1,0
1506643845,4,1
1506644889,2,0
1506646594,2,0
1506647440,3,0
1506648602,4,1
1506650549,5,0
1506651634,4,1
1506652841,2,1
1506653734,1,0
1506654630,3,0
1506656730,2,0
1506659739,1,0
1506661838,3,0
1506663053,0,1
1506666512,1,0
1506667510,1,1
1506669039,4,2
1506670951,1,0
1506674103,3,15
1506676243,2,1
1506677430,1,0
1506678988,1,0
1506679880,2,0
1506683453,4,1
1506684636,0,1
1506687043,2,0
1506688846,1,0
1506690868,0,1
1506692559,3,0
1506694472,3,0
1506696071,1,0
1506697887,1,0
1506699045,0,18
1506700544,1,0
1506701461,1,1
1506702639,1,0
1506703563,0,1
1506705038,0,1
1506706844,2,1
1506708081,1,1
1506710735,0,6
1506712245,3,2
1506713435,1,1
1506716076,0,1
1506717043,0,4
1506717754,1,0
1506719437,2,0
1506721784,2,3
1506723043,1,0
1506726640,4,2
1506728555,0,5
1506730479,2,2
1506732336,0,1
1506733183,0,2
1506734068,0,1
1506735749,0,2
1506737672,1,3
1506738927,1,2
1506740128,0,1
1506741040,0,2
1506742233,2,2
1506746447,0,2
1506749131,1,0
1506750150,0,1
1506751051,1,0
1506752123,0,1
1506753030,0,1
1506755438,4,2
1506757532,0,1
1506758481,2,0
1506759337,2,0
1506760248,0,2
1506762640,0,1
1506763534,1,0
1506764915,0,1
1506766238,3,0
1506767300,1,0
