DateTime,Entries,UniqueIPs
1506023810,145,145
1506024647,144,144
1506025541,144,144
1506026555,145,145
1506028240,146,146
1506029331,145,145
1506030340,145,145
1506031852,147,147
1506033766,145,145
1506036041,141,141
1506037236,141,141
1506039277,140,140
1506040221,140,140
1506042648,140,140
1506044738,143,143
1506045400,144,144
1506046238,145,145
1506047445,144,144
1506048347,145,145
1506050429,146,146
1506053443,145,145
1506054357,146,146
1506055244,145,145
1506056197,146,146
1506057039,147,147
1506058833,145,145
1506059809,146,146
1506060647,145,145
1506061878,144,144
1506063394,145,145
1506064243,147,147
1506065275,149,149
1506067005,150,150
1506067842,149,149
1506069047,150,150
1506069941,150,150
1506071734,150,150
1506072928,150,150
1506074551,151,151
1506075272,153,153
1506076853,151,151
1506077729,152,152
1506079845,153,153
1506080732,152,152
1506083441,151,151
1506084339,152,152
1506084999,153,153
1506085836,152,152
1506087758,151,151
1506089433,153,153
1506091316,148,148
1506092140,150,150
1506093267,150,150
1506095143,145,145
1506097233,143,143
1506098555,141,141
1506101451,140,140
1506104913,141,141
1506105810,141,141
1506108651,138,138
1506109532,139,139
1506111038,141,141
1506113136,142,142
1506114597,142,142
1506114880,143,143
1506115835,143,143
1506117333,144,144
1506118244,144,144
1506119435,142,142
1506121143,136,136
1506122142,138,138
1506122914,139,139
1506124745,137,137
1506125737,138,138
1506127244,138,138
1506128500,139,139
1506129343,140,140
1506130238,142,142
1506130961,142,142
1506131808,143,143
1506132637,142,142
1506133527,143,143
1506134553,144,144
1506137440,143,143
1506140728,144,144
1506141757,144,144
1506143334,146,146
1506144513,147,147
1506146187,145,145
1506147034,142,142
1506147278,143,143
1506148246,142,142
1506149136,143,143
1506152128,142,142
1506153385,143,143
1506154238,144,144
1506157013,143,143
1506157841,144,144
1506159330,138,138
1506160230,139,139
1506161209,138,138
1506161673,139,139
1506162677,138,138
1506164664,142,142
1506166539,144,144
1506168637,141,141
1506170738,140,140
1506172240,139,139
1506174986,139,139
1506176077,138,138
1506177048,137,137
1506177751,136,136
1506179436,136,136
1506180520,139,139
1506183043,135,135
1506184114,136,136
1506185803,134,134
1506186643,135,135
1506187820,135,135
1506190242,132,132
1506191452,132,132
1506192334,131,131
1506193836,133,133
1506194876,135,135
1506197661,133,133
1506199979,136,136
1506201937,137,137
1506202837,135,135
1506204044,136,136
1506204942,137,137
1506205915,136,136
1506206737,134,134
1506208473,135,135
1506209692,136,136
1506213031,135,135
1506213783,134,134
1506215446,134,134
1506216336,137,137
1506217540,132,132
1506220533,132,132
1506221787,134,134
1506223839,134,134
1506226251,135,135
1506227734,133,133
1506228988,134,134
1506229838,133,133
1506232052,133,133
1506233436,131,131
1506234650,131,131
1506235537,134,134
1506237025,135,135
1506238923,134,134
1506240874,135,135
1506242142,138,138
1506244472,136,136
1506246043,137,137
1506247846,137,137
1506248712,138,138
1506249660,136,136
1506251444,139,139
1506252683,141,141
1506254189,142,142
1506255344,141,141
1506257135,142,142
1506258562,141,141
1506263133,138,138
1506265838,140,140
1506267583,140,140
1506268541,141,141
1506269438,141,141
1506270509,142,142
1506272189,143,143
1506274947,145,145
1506276873,146,146
1506277843,145,145
1506278744,146,146
1506280467,144,144
1506281299,146,146
1506282371,147,147
1506283834,147,147
1506285879,145,145
1506286775,145,145
1506287735,146,146
1506288926,144,144
1506289994,146,146
1506291048,147,147
1506292533,147,147
1506294648,150,150
1506296547,148,148
1506298236,147,147
1506299673,145,145
1506300926,144,144
1506301839,145,145
1506303806,144,144
1506309035,145,145
1506310970,144,144
1506312047,144,144
1506313838,141,141
1506316237,142,142
1506317435,143,143
1506318342,144,144
1506319833,144,144
1506321042,144,144
1506323733,145,145
1506326472,145,145
1506327270,146,146
1506328238,145,145
1506328978,145,145
1506329806,146,146
1506330646,139,139
1506331710,141,141
1506332550,140,140
1506333691,136,136
1506334472,137,137
1506335424,136,136
1506339056,137,137
1506341068,136,136
1506343237,134,134
1506345025,135,135
1506346242,136,136
1506348361,135,135
1506350084,131,131
1506351220,132,132
1506352220,128,128
1506354330,129,129
1506355158,127,127
1506359436,125,125
1506361245,123,123
1506363036,124,124
1506364238,119,119
1506365136,121,121
1506366637,120,120
1506367612,123,123
1506368438,119,119
1506370236,118,118
1506372321,117,117
1506373835,116,116
1506375753,115,115
1506377678,115,115
1506379141,113,113
1506381303,115,115
1506382952,115,115
1506384870,117,117
1506386736,114,114
1506388239,115,115
1506389136,117,117
1506389983,115,115
1506391836,115,115
1506393048,115,115
1506394654,116,116
1506395734,116,116
1506396646,117,117
1506398171,116,116
1506399042,116,116
1506400953,115,115
1506402872,115,115
1506405027,113,113
1506406240,114,114
1506408338,114,114
1506410689,116,116
1506411753,111,111
1506413675,112,112
1506414899,111,111
1506418949,110,110
1506419954,109,109
1506420809,110,110
1506424052,108,108
1506427839,108,108
1506430579,110,110
1506432635,112,112
1506436538,112,112
1506437729,113,113
1506438875,114,114
1506439836,113,113
1506442553,112,112
1506443443,113,113
1506444935,109,109
1506445838,109,109
1506447586,109,109
1506449376,108,108
1506450937,108,108
1506453040,107,107
1506453885,108,108
1506454951,108,108
1506456528,104,104
1506458437,94,94
1506460239,93,93
1506461340,95,95
1506462332,92,92
1506463840,90,90
1506465766,90,90
1506469346,88,88
1506471041,88,88
1506472245,87,87
1506474657,93,93
1506475711,95,95
1506479307,96,96
1506480997,96,96
1506481841,95,95
1506485437,94,94
1506486641,92,92
1506487541,93,93
1506489337,93,93
1506490245,92,92
1506492866,91,91
1506493710,92,92
1506494717,92,92
1506495811,92,92
1506496478,93,93
1506497323,91,91
1506498928,90,90
1506499847,89,89
1506501042,86,86
1506503735,88,88
1506505555,88,88
1506509074,88,88
1506509787,89,89
1506510640,90,90
1506513386,91,91
1506516332,90,90
1506517850,91,91
1506518699,95,95
1506519640,96,96
1506520587,97,97
1506521440,96,96
1506523477,97,97
1506529841,98,98
1506532232,98,98
1506534347,98,98
1506536705,100,100
1506537520,97,97
1506538347,98,98
1506539385,99,99
1506541243,104,104
1506542148,105,105
1506543037,106,106
1506545018,107,107
1506546868,109,109
1506547848,110,110
1506550243,110,110
1506552345,111,111
1506553652,108,108
1506555642,110,110
1506556527,111,111
1506557373,112,112
1506558635,110,110
1506559350,112,112
1506561268,114,114
1506563140,112,112
1506564637,112,112
1506566443,113,113
1506568244,116,116
1506569308,118,118
1506570332,119,119
1506571840,119,119
1506572870,121,121
1506574779,120,120
1506575732,121,121
1506576509,122,122
1506577355,119,119
1506579283,120,120
1506580239,118,118
1506582641,120,120
1506583558,121,121
1506584566,119,119
1506586474,121,121
1506587317,122,122
1506591036,122,122
1506591939,123,123
1506593745,124,124
1506595245,123,123
1506596653,121,121
1506598558,120,120
1506600944,121,121
1506601709,122,122
1506602553,120,120
1506604479,123,123
1506608073,121,121
1506609770,120,120
1506610643,121,121
1506612645,120,120
1506614444,120,120
1506615258,123,123
1506616252,124,124
1506618214,125,125
1506620100,125,125
1506621036,126,126
1506622240,129,129
1506624150,131,131
1506625398,132,132
1506626437,133,133
1506627754,134,134
1506629440,133,133
1506631354,132,132
1506633027,134,134
1506634048,135,135
1506636931,138,138
1506637709,140,140
1506640242,141,141
1506642327,142,142
1506643845,145,145
1506644889,147,147
1506646594,149,149
1506647440,152,152
1506648602,155,155
1506650549,160,160
1506651634,163,163
1506652841,164,164
1506653734,165,165
1506654630,168,168
1506656730,170,170
1506659739,171,171
1506661838,174,174
1506663053,173,173
1506666512,174,174
1506667510,174,174
1506669039,176,176
1506670951,177,177
1506674103,165,165
1506676243,166,166
1506677430,167,167
1506678988,168,168
1506679880,170,170
1506683453,173,173
1506684636,172,172
1506687043,174,174
1506688846,175,175
1506690868,174,174
1506692559,177,177
1506694472,180,180
1506696071,181,181
1506697887,182,182
1506699045,164,164
1506700544,165,165
1506701461,165,165
1506702639,166,166
1506703563,165,165
1506705038,164,164
1506706844,165,165
1506708081,165,165
1506710735,159,159
1506712245,160,160
1506713435,160,160
1506716076,159,159
1506717043,155,155
1506717754,156,156
1506719437,158,158
1506721784,157,157
1506723043,158,158
1506726640,160,160
1506728555,155,155
1506730479,155,155
1506732336,154,154
1506733183,152,152
1506734068,151,151
1506735749,149,149
1506737672,147,147
1506738927,146,146
1506740128,145,145
1506741040,143,143
1506742233,143,143
1506746447,141,141
1506749131,142,142
1506750150,141,141
1506751051,142,142
1506752123,141,141
1506753030,140,140
1506755438,142,142
1506757532,141,141
1506758481,143,143
1506759337,145,145
1506760248,143,143
