DateTime,AddedIPs,RemovedIPs
1506157846,3,3
1506159335,13,1
1506160235,25,1
1506161218,27,2
1506161680,3,1
1506162684,6,0
1506164668,2,1
1506166544,2,1
1506168642,4,3
1506170743,1,0
1506172245,1,1
1506173322,9,1
1506174991,7,2
1506176083,1,2
1506177054,1,4
1506177756,0,2
1506179441,0,14
1506180529,4,3
1506183048,17,18
1506184119,5,0
1506185808,3,4
1506186648,0,3
1506187827,1,4
1506190247,1,1
1506191459,6,3
1506192339,0,1
1506193841,3,2
1506194881,2,2
1506197665,13,14
1506199987,15,8
1506201046,5,2
1506201942,4,0
1506202841,4,0
1506204051,2,2
1506204947,6,0
1506205921,2,2
1506206743,4,1
1506208478,2,1
1506209697,2,6
1506210936,0,2
1506211851,1,4
1506213036,0,1
1506213801,0,2
1506214592,2,0
1506215451,1,0
1506217546,2,3
1506218693,1,5
1506219275,0,1
1506220538,1,1
1506221792,0,1
1506222641,0,1
1506223844,1,6
1506226256,9,4
1506227739,1,2
1506228635,1,1
1506229843,0,1
1506230071,1,0
1506232057,2,11
1506232597,1,1
1506233441,0,2
1506234656,0,1
1506235543,2,2
1506237030,2,3
1506238928,2,3
1506240881,1,4
1506242147,2,6
1506244477,0,8
1506246048,2,3
1506247853,3,3
1506248718,0,1
1506249673,1,0
1506251681,3,4
1506252695,1,4
1506254194,1,3
1506255354,11,2
1506256241,18,4
1506257140,22,1
1506258566,0,7
1506259712,1,1
1506262242,3,5
1506263138,7,1
1506264157,1,4
1506264996,7,2
1506265843,7,5
1506266684,6,1
1506267587,3,4
1506268545,2,0
1506269443,2,0
1506270514,13,4
1506272193,4,3
1506273040,2,4
1506274951,5,9
1506276005,1,2
1506276879,3,2
1506277849,2,5
1506278749,3,4
1506280473,2,12
1506281303,3,1
1506282376,2,33
1506283839,2,42
1506285884,1,52
1506286780,1,2
1506287741,1,0
1506288931,0,8
1506289999,4,21
1506291053,0,22
1506292538,1,30
1506294653,0,26
1506296551,2,17
1506298240,1,28
1506299680,1,8
1506300931,1,1
1506301844,1,1
1506303826,1,10
1506304843,0,1
1506307234,2,3
1506309040,2,0
1506310988,2,6
1506312056,2,1
1506312945,1,2
1506313844,3,2
1506314607,2,0
1506317440,1,5
1506319005,0,1
1506319842,0,3
1506321048,2,1
1506322800,1,8
1506323738,5,2
1506324517,1,0
1506326496,3,18
1506328245,0,7
1506328984,0,15
1506330652,1,28
1506331715,2,0
1506332556,0,15
1506334478,0,2
1506335431,1,3
1506338074,2,1
1506339063,0,3
1506341073,0,2
1506341676,2,0
1506343242,0,14
1506345032,0,1
1506346247,1,1
1506348378,4,2
1506350090,0,5
1506352225,17,10
1506353438,43,10
1506355163,7,0
1506356084,4,0
1506356990,8,0
1506357770,3,0
1506359440,11,1
1506360408,5,3
1506362131,1,4
1506363041,1,4
1506364248,2,3
1506365142,1,0
1506366642,1,1
1506367617,5,0
1506368442,10,17
1506369416,1,0
1506370240,1,1
1506372326,0,10
1506373840,2,5
1506375758,23,10
1506377684,12,0
1506379157,1,1
1506381308,28,2
1506382218,9,0
1506382957,1,0
1506384876,9,1
1506386742,60,0
1506388244,65,3
1506389142,5,1
1506389993,0,2
1506390937,1,0
1506391841,2,1
1506392075,0,1
1506393054,1,2
1506394658,1,3
1506395738,3,2
1506396651,1,3
1506398176,2,1
1506399047,0,1
1506400394,0,1
1506400958,0,1
1506402877,9,12
1506403700,3,0
1506405032,2,2
1506406245,0,1
1506408344,0,4
1506409671,2,2
1506410698,2,0
1506410921,0,1
1506411758,0,3
1506413681,2,1
1506414905,4,1
1506416195,3,1
1506417045,2,0
1506418122,4,1
1506418954,1,7
1506419958,2,1
1506420815,2,0
1506421670,5,1
1506422757,1,4
1506424058,2,2
1506426036,3,24
1506427848,2,17
1506428697,5,4
1506429657,19,7
1506430588,37,0
1506431454,2,3
1506432641,2,9
1506433543,9,1
1506436544,22,23
1506437734,8,7
1506438880,1,6
1506439841,2,12
1506440565,0,1
1506442563,5,5
1506443450,8,9
1506444940,2,1
1506445843,0,1
1506446669,1,1
1506447591,0,5
1506449382,2,3
1506450942,20,5
1506451870,17,5
1506453045,1,1
1506453890,0,2
1506454955,0,1
1506456533,2,2
1506457504,0,1
1506458444,0,2
1506460244,0,2
1506461388,0,9
1506462337,0,2
1506463846,0,2
1506465772,0,9
1506467655,2,1
1506468530,0,1
1506469350,0,3
1506470191,0,1
1506471046,0,1
1506471273,3,0
1506472251,16,3
1506474662,27,2
1506475715,6,0
1506476749,8,0
1506478308,2,8
1506479312,1,1
1506481006,1,5
1506481846,0,2
1506483351,3,6
1506485442,1,6
1506486652,2,4
1506487547,11,0
1506489342,37,3
1506490251,21,8
1506491153,16,0
1506492872,30,4
1506493715,0,2
1506494723,0,6
1506495822,0,3
1506496483,2,1
1506497328,2,1
1506498933,0,4
1506501050,0,2
1506501943,1,2
1506502892,1,2
1506505560,2,3
1506507275,1,0
1506508244,0,1
1506509079,4,0
1506509791,3,0
1506510644,1,0
1506511845,3,1
1506513390,2,0
1506514240,0,1
1506515454,3,1
1506516337,0,1
1506517859,2,3
1506519644,2,1
1506520592,2,0
1506521445,0,4
1506523482,1,23
1506524550,0,1
1506525642,0,11
1506526116,0,3
1506526959,0,9
1506528092,0,10
1506528961,0,1
1506529847,2,8
1506533331,1,0
1506534353,1,1
1506536711,2,2
1506537525,0,3
1506539389,2,4
1506541252,0,1
1506543042,0,1
1506543920,3,1
1506545024,3,4
1506546872,1,13
1506547852,1,0
1506548742,8,1
1506550248,12,4
1506551319,5,0
1506552350,11,21
1506553656,12,9
1506555647,8,27
1506556532,1,0
1506557378,0,45
1506558642,1,9
1506559355,6,0
1506561273,4,2
1506563150,0,2
1506566449,1,4
1506568250,1,2
1506569313,1,0
1506571845,0,1
1506573766,0,6
1506574784,1,0
1506575738,2,1
1506577359,0,1
1506579288,3,1
1506580247,0,1
1506581424,1,0
1506584572,0,3
1506586479,1,6
1506587323,0,1
1506589179,2,7
1506589980,2,0
1506591042,2,4
1506591944,1,2
1506593753,3,1
1506595252,3,1
1506596659,0,9
1506597647,3,0
1506598565,1,2
1506600090,1,37
1506600951,3,1
1506601714,0,2
1506602558,1,4
1506604484,3,12
1506605423,2,10
1506606292,6,5
1506608079,2,8
1506609776,6,2
1506610653,1,0
1506611449,0,1
1506612650,2,12
1506613571,4,1
1506614455,2,1
1506615264,9,0
1506616260,7,4
1506617139,2,0
1506618223,9,1
1506619059,3,1
1506620106,7,18
1506621041,3,8
1506622245,25,12
1506624155,36,0
1506625409,5,0
1506626442,11,0
1506627759,0,2
1506628598,3,0
1506629445,10,1
1506631360,21,2
1506633031,29,1
1506634052,16,0
1506635127,4,1
1506635952,3,1
1506636938,9,3
1506637715,11,0
1506638576,10,0
1506640247,6,0
1506641449,0,17
1506642333,0,11
1506643850,4,8
1506644894,4,1
1506645757,2,10
1506646604,2,0
1506647446,4,2
1506648618,22,0
1506650557,29,5
1506651639,4,1
1506652846,4,2
1506653739,1,0
1506654635,5,2
1506655863,13,4
1506656735,16,0
1506657398,8,0
1506658248,2,14
1506659745,3,35
1506660639,2,12
1506661843,0,24
1506663060,4,13
1506663761,5,0
1506665676,25,0
1506666517,6,0
1506667552,11,3
1506669044,11,0
1506670956,21,1
1506672064,9,0
1506673065,12,0
1506674113,0,1
1506674920,3,2
1506676248,6,3
1506677491,5,0
1506678342,6,1
1506678993,6,0
1506679917,7,2
1506681072,9,2
1506683460,7,4
1506684642,3,3
1506687048,1,0
1506687908,2,0
1506688851,5,3
1506690873,10,4
1506692564,23,0
1506694477,53,0
1506696076,27,0
1506697051,9,2
1506697892,7,0
1506699050,19,1
1506700549,23,0
1506701483,1,1
1506702645,3,2
1506703568,3,1
1506705932,5,0
1506706849,6,2
1506708088,10,0
1506708947,2,0
1506710741,5,3
1506712250,1,0
1506713440,0,5
1506716082,7,5
1506717049,1,3
1506717760,5,2
1506719441,19,11
1506720524,2,0
1506721789,0,9
1506723048,0,27
1506726645,2,9
1506727711,0,4
1506728560,2,6
1506730485,1,3
1506731313,3,0
1506733188,4,1
1506734073,3,0
1506734933,1,0
1506735755,2,1
1506738932,1,2
1506740132,2,0
1506741045,1,0
1506742238,0,1
1506744639,1,0
1506747392,9,0
1506748233,7,1
1506749135,1,0
1506750155,1,1
1506752139,2,0
1506753036,1,0
1506753756,1,0
1506755443,7,1
1506757537,2,3
1506758491,0,2
1506759343,1,0
1506760254,0,2
1506760965,0,1
1506762645,2,1
1506763542,2,0
1506764922,1,6
1506766244,1,0
1506767305,15,0
1506768341,2,0
1506769847,5,7
1506770770,2,2
1506771761,0,2
1506773445,15,4
1506774661,10,6
1506777045,13,2
1506778260,0,7
1506779732,1,1
1506780880,1,2
1506783399,1,1
1506784248,0,2
1506786335,1,10
1506787494,0,8
1506789267,0,8
1506791443,1,5
1506792512,0,1
1506793352,0,31
1506795152,4,5
1506796251,1,6
1506798643,1,7
1506801032,4,10
1506803313,2,17
1506805484,37,16
