DateTime,Entries,UniqueIPs
1506269443,819,819
1506270514,828,828
1506272193,829,829
1506273040,827,827
1506274951,823,823
1506276005,822,822
1506276879,823,823
1506277849,820,820
1506278749,819,819
1506280473,809,809
1506281303,811,811
1506282376,780,780
1506283839,740,740
1506285884,689,689
1506286780,688,688
1506287741,689,689
1506288931,681,681
1506289999,664,664
1506291053,642,642
1506292538,613,613
1506294653,587,587
1506296551,572,572
1506298240,545,545
1506299680,538,538
1506300931,538,538
1506301844,538,538
1506303826,529,529
1506304843,528,528
1506307234,527,527
1506309040,529,529
1506310988,525,525
1506312056,526,526
1506312945,525,525
1506313844,526,526
1506314607,528,528
1506317440,524,524
1506319005,523,523
1506319842,520,520
1506321048,521,521
1506322800,514,514
1506323738,517,517
1506324517,518,518
1506326496,503,503
1506328245,496,496
1506328984,481,481
1506330652,454,454
1506331715,456,456
1506332556,441,441
1506334478,439,439
1506335431,437,437
1506338074,438,438
1506339063,435,435
1506341073,433,433
1506341676,435,435
1506343242,421,421
1506345032,420,420
1506346247,420,420
1506348378,422,422
1506350090,417,417
1506352225,424,424
1506353438,457,457
1506355163,464,464
1506356084,468,468
1506356990,476,476
1506357770,479,479
1506359440,489,489
1506360408,491,491
1506362131,488,488
1506363041,485,485
1506364248,484,484
1506365142,485,485
1506366642,485,485
1506367617,490,490
1506368442,483,483
1506369416,484,484
1506370240,484,484
1506372326,474,474
1506373840,471,471
1506375758,484,484
1506377684,496,496
1506379157,496,496
1506381308,522,522
1506382218,531,531
1506382957,532,532
1506384876,540,540
1506386742,600,600
1506388244,662,662
1506389142,666,666
1506389993,664,664
1506390937,665,665
1506391841,666,666
1506392075,665,665
1506393054,664,664
1506394658,662,662
1506395738,663,663
1506396651,661,661
1506398176,662,662
1506399047,661,661
1506400394,660,660
1506400958,659,659
1506402877,656,656
1506403700,659,659
1506405032,659,659
1506406245,658,658
1506408344,654,654
1506409671,654,654
1506410698,656,656
1506410921,655,655
1506411758,652,652
1506413681,653,653
1506414905,656,656
1506416195,658,658
1506417045,660,660
1506418122,663,663
1506418954,657,657
1506419958,658,658
1506420815,660,660
1506421670,664,664
1506422757,661,661
1506424058,661,661
1506426036,640,640
1506427848,625,625
1506428697,626,626
1506429657,638,638
1506430588,675,675
1506431454,674,674
1506432641,667,667
1506433543,675,675
1506436544,674,674
1506437734,675,675
1506438880,670,670
1506439841,660,660
1506440565,659,659
1506442563,659,659
1506443450,658,658
1506444940,659,659
1506445843,658,658
1506446669,658,658
1506447591,653,653
1506449382,652,652
1506450942,667,667
1506451870,679,679
1506453045,679,679
1506453890,677,677
1506454955,676,676
1506456533,676,676
1506457504,675,675
1506458444,673,673
1506460244,671,671
1506461388,662,662
1506462337,660,660
1506463846,658,658
1506465772,649,649
1506467655,650,650
1506468530,649,649
1506469350,646,646
1506470191,645,645
1506471046,644,644
1506471273,647,647
1506472251,660,660
1506474662,685,685
1506475715,691,691
1506476749,699,699
1506478308,693,693
1506479312,693,693
1506481006,689,689
1506481846,687,687
1506483351,684,684
1506485442,679,679
1506486652,677,677
1506487547,688,688
1506489342,722,722
1506490251,735,735
1506491153,751,751
1506492872,777,777
1506493715,775,775
1506494723,769,769
1506495822,766,766
1506496483,767,767
1506497328,768,768
1506498933,764,764
1506501050,762,762
1506501943,761,761
1506502892,760,760
1506505560,759,759
1506507275,760,760
