DateTime,AddedIPs,RemovedIPs
1506229806,23,455
1506230046,7,0
1506232018,64,964
1506232566,28,0
1506233406,13,495
1506235507,68,810
1506237007,90,444
1506238899,88,804
1506240847,78,39
1506242107,49,66
1506244446,74,591
1506246006,48,815
1506246966,39,0
1506247807,31,638
1506248698,0,30236
1506249621,29205,0
1506251408,88,881
1506251647,7,0
1506252620,41,1068
1506254167,78,318
1506255281,43,783
1506256208,54,1052
1506257107,52,325
1506258534,67,829
1506259686,49,0
1506262207,139,2014
1506263106,42,0
1506264128,48,1124
1506264966,29,0
1506265806,81,644
1506266643,38,0
1506267544,29,1060
1506268520,46,0
1506269406,36,1467
1506270477,63,0
1506271507,34,2620
1506272167,29,0
1506273007,30,735
1506274926,96,420
1506275881,47,0
1506276847,41,318
1506277806,25,453
1506278707,33,205
1506280446,78,312
1506281287,35,1
1506282343,37,601
1506283806,50,457
1506285843,85,624
1506286732,38,193
1506287707,34,6
1506288906,36,75
1506289974,38,54
1506291007,56,54
1506292508,75,114
1506294607,85,92
1506296526,74,122
1506298206,62,110
1506299618,56,84
1506300906,41,41
1506301808,42,64
1506303737,73,138
1506304684,42,1
1506305647,41,56
1506307206,75,140
1506309007,60,78
1506310927,73,104
1506311958,30,53
1506312907,38,12
1506313808,45,88
1506314535,29,28
1506316207,78,72
1506318307,99,108
1506318966,31,0
1506319789,33,49
1506321014,88,73
1506322775,602,90
1506323706,389,9
1506324486,311,0
1506325512,432,120
1506326407,657,74
1506327247,733,1
1506328042,761,0
1506328939,850,118
1506329768,839,1
1506330606,895,101
1506331687,632,2
1506332527,395,134
1506333646,519,78
1506334446,390,0
1506335409,381,96
1506336128,607,0
1506337248,873,132
1506338047,540,2
1506339016,533,106
1506339906,585,0
1506341647,429,113
1506343206,235,149
1506344106,119,1
1506344974,109,62
1506345246,33,0
1506346208,117,94
1506348340,295,102
1506350056,190,108
1506351193,134,0
1506352186,91,111
1506354306,155,116
1506355139,51,50
1506356047,138,5
1506356958,153,1
1506357727,127,1
1506359407,270,148
1506360362,106,0
1506361206,103,132
1506362106,92,1
1506363006,111,59
1506365106,240,75
1506365767,91,0
1506366608,87,83
1506367587,112,1
1506368406,99,116
1506369371,109,0
1506370206,68,53
1506371244,105,0
1506372306,114,86
1506373806,161,105
1506375727,209,118
1506377647,179,47
1506379118,134,104
1506380167,70,1
1506381035,88,88
1506382045,108,0
1506382927,58,139
1506384847,129,61
1506386707,199,116
1506388208,186,48
1506389106,101,0
1506389948,89,103
1506390907,113,0
1506391806,102,58
1506392047,19,0
1506393009,96,101
1506394618,146,29
1506396608,173,177
1506398152,150,20
1506399006,79,54
1506399247,35,0
1506400339,145,64
1506400927,54,17
1506402846,251,63
1506403682,0,26844
1506405006,26963,0
1506406207,112,47
1506407287,77,0
1506408308,77,142
1506409645,74,70
1506410666,64,2
1506410887,9,0
1506411728,40,97
1506413648,113,45
1506414870,59,61
1506416167,73,21
1506417006,118,65
1506418087,161,1
1506418927,144,110
1506419881,115,3
1506420760,73,70
1506421636,65,1
1506422708,89,129
1506423998,115,56
1506424807,64,3
1506425747,64,105
1506428628,271,107
1506429615,88,150
1506430507,174,1
1506431411,135,78
1506432608,199,100
1506433507,161,1
1506434819,202,138
1506436507,252,104
1506437706,182,23
1506438847,158,65
1506439807,101,107
1506440527,59,0
1506442508,228,79
1506443408,217,93
1506444907,283,39
1506445806,98,69
1506446622,63,0
1506447566,107,69
1506447727,11,0
1506449337,133,94
1506450908,126,85
1506451838,83,20
1506453006,60,48
1506453862,262,2
1506454927,500,67
1506456506,247,81
1506457471,142,0
1506458413,90,85
1506460206,228,67
1506461319,194,1
1506462307,123,83
1506463806,163,75
1506465728,235,98
1506467644,0,31187
1506468500,31469,0
1506469326,61,91
1506470166,71,0
1506471006,64,58
1506471246,16,0
1506472208,132,85
1506474628,899,68
1506475687,158,1
1506476707,164,91
1506478239,371,52
1506479287,202,2
1506480970,309,90
1506481807,121,43
1506483307,430,82
1506485406,801,93
1506487507,578,106
1506489307,419,67
1506490208,528,99
1506491106,524,168
1506492847,531,338
1506493687,256,0
1506494705,0,36570
1506495787,36337,0
1506496447,202,2
1506497295,279,1
