DateTime,AddedIPs,RemovedIPs
1506307226,1,7
1506309034,12,8
1506310966,5,9
1506312937,6,6
1506313837,6,8
1506314586,5,3
1506316236,9,4
1506317434,7,4
1506318341,3,2
1506319000,4,0
1506319827,4,4
1506321041,6,5
1506322794,10,5
1506324511,6,2
1506326464,5,8
1506327269,6,0
1506328237,3,2
1506328977,1,1
1506329800,1,1
1506330645,4,3
1506331709,8,3
1506332549,0,15
1506333686,5,3
1506335421,1,13
1506336150,1,0
1506337270,9,33
1506338068,1,0
1506339055,1,3
1506339934,5,0
1506341067,4,6
1506341670,2,0
1506343235,4,6
1506344141,2,0
1506345024,0,1
1506346240,1,3
1506348360,6,1
1506350082,5,6
1506351219,1,0
1506352219,0,3
1506354329,4,5
1506355157,1,3
1506356078,3,0
1506356981,3,1
1506359435,2,9
1506360401,1,1
1506361243,0,4
1506362124,2,0
1506363035,5,3
1506364232,1,3
1506365135,0,1
1506366636,3,4
1506367611,1,1
1506368437,4,1
1506369405,5,0
1506370234,0,7
1506371264,1,0
1506372320,3,6
1506373834,4,2
1506375752,4,6
1506377677,6,2
1506379140,2,3
1506381302,3,3
1506382203,3,6
1506382951,0,1
1506384869,7,3
1506386735,9,9
1506388237,4,4
1506389135,3,0
1506389982,4,8
1506390931,3,1
1506391835,0,8
1506392069,2,0
1506393047,4,5
1506394653,10,6
1506395733,4,7
1506396645,4,3
1506398170,7,0
1506399041,3,2
1506399270,2,0
1506400375,4,6
1506400951,2,0
1506402871,9,7
1506403694,3,0
1506405026,5,7
1506406239,6,3
1506407308,4,1
1506408337,2,8
1506409664,4,3
1506410688,3,1
1506410915,1,0
1506411752,3,9
1506413674,7,1
1506414898,7,6
1506416189,4,2
1506417037,2,1
1506418115,8,0
1506418948,2,3
1506419953,3,3
1506420808,5,1
1506421663,3,0
1506424046,6,7
1506424836,3,1
1506425781,2,7
1506428675,7,8
1506429651,2,7
1506430565,1,0
1506431447,4,4
1506432634,3,3
1506433536,3,0
1506436537,2,8
1506437728,3,1
1506438874,4,2
1506439835,5,4
1506440559,2,0
1506442550,8,5
1506443441,2,1
1506444934,5,2
1506445837,1,3
1506446642,3,0
1506447585,0,2
1506447746,1,0
1506449375,7,4
1506450935,5,2
1506451860,2,1
1506453039,2,0
1506453884,0,1
1506454949,2,4
1506456527,3,1
1506457495,4,0
1506458433,1,2
1506460238,4,2
1506461339,3,0
1506462331,1,4
1506463839,1,5
1506465764,4,6
1506467649,1,6
1506468525,2,0
1506469345,2,5
1506470185,1,0
1506471040,4,6
1506471266,1,0
1506472244,3,4
1506474656,10,5
1506475709,6,0
1506476740,6,6
1506478302,4,6
1506479306,4,1
1506480995,8,7
1506481840,6,5
1506483345,3,5
1506485435,7,11
1506486639,2,10
1506487540,1,1
1506489336,4,5
1506490244,3,10
