DateTime,Entries,UniqueIPs
1506339906,31111,31111
1506341647,31427,31427
1506343206,31513,31513
1506344106,31631,31631
1506344974,31678,31678
1506345246,31711,31711
1506346208,31734,31734
1506348340,31927,31927
1506350056,32009,32009
1506351193,32143,32143
1506352186,32123,32123
1506354306,32162,32162
1506355139,32163,32163
1506356047,32296,32296
1506356958,32448,32448
1506357727,32574,32574
1506359407,32696,32696
1506360362,32802,32802
1506361206,32773,32773
1506362106,32864,32864
1506363006,32916,32916
1506365106,33081,33081
1506365767,33172,33172
1506366608,33176,33176
1506367587,33287,33287
1506368406,33270,33270
1506369371,33379,33379
1506370206,33394,33394
1506371244,33499,33499
1506372306,33527,33527
1506373806,33583,33583
1506375727,33674,33674
1506377647,33806,33806
1506379118,33836,33836
1506380167,33905,33905
1506381035,33905,33905
1506382045,34013,34013
1506382927,33932,33932
1506384847,34000,34000
1506386707,34083,34083
1506388208,34221,34221
1506389106,34322,34322
1506389948,34308,34308
1506390907,34421,34421
1506391806,34465,34465
1506392047,34484,34484
1506393009,34479,34479
1506394618,34596,34596
1506396608,34592,34592
1506398152,34722,34722
1506399006,34747,34747
1506399247,34782,34782
1506400339,34863,34863
1506400927,34900,34900
1506402846,35088,35088
1506403682,8244,8244
1506405006,35207,35207
1506406207,35272,35272
1506407287,35349,35349
1506408308,35284,35284
1506409645,35288,35288
1506410666,35350,35350
1506410887,35359,35359
1506411728,35302,35302
1506413648,35370,35370
1506414870,35368,35368
1506416167,35420,35420
1506417006,35473,35473
1506418087,35633,35633
1506418927,35667,35667
1506419881,35779,35779
1506420760,35782,35782
1506421636,35846,35846
1506422708,35806,35806
1506423998,35865,35865
1506424807,35926,35926
1506425747,35885,35885
1506428628,36049,36049
1506429615,35987,35987
1506430507,36160,36160
1506431411,36217,36217
1506432608,36316,36316
1506433507,36476,36476
1506434819,36540,36540
1506436507,36688,36688
1506437706,36847,36847
1506438847,36940,36940
1506439807,36934,36934
1506440527,36993,36993
1506442508,37142,37142
1506443408,37266,37266
1506444907,37510,37510
1506445806,37539,37539
1506446622,37602,37602
1506447566,37640,37640
1506447727,37651,37651
1506449337,37690,37690
1506450908,37731,37731
1506451838,37794,37794
1506453006,37806,37806
1506453862,38066,38066
1506454927,38499,38499
1506456506,38665,38665
1506457471,38807,38807
1506458413,38812,38812
1506460206,38973,38973
1506461319,39166,39166
1506462307,39206,39206
1506463806,39294,39294
1506465728,39431,39431
1506467644,8244,8244
1506468500,39713,39713
1506469326,39683,39683
1506470166,39754,39754
1506471006,39760,39760
1506471246,39776,39776
1506472208,39823,39823
1506474628,40654,40654
1506475687,40811,40811
1506476707,40884,40884
1506478239,41203,41203
1506479287,41403,41403
1506480970,41622,41622
1506481807,41700,41700
1506483307,42048,42048
1506485406,42756,42756
1506487507,43228,43228
1506489307,43580,43580
1506490208,44009,44009
1506491106,44365,44365
1506492847,44558,44558
1506493687,44814,44814
1506494705,8244,8244
1506495787,44581,44581
1506496447,44781,44781
1506497295,45059,45059
1506498907,44767,44767
1506499808,44554,44554
1506500046,44692,44692
1506501008,44613,44613
1506501907,45348,45348
1506502845,45938,45938
1506503708,46824,46824
1506504509,47707,47707
1506505529,47810,47810
1506507247,48812,48812
1506508213,48960,48960
1506509036,50062,50062
1506509766,50946,50946
1506510606,50405,50405
1506510846,50416,50416
1506511807,50249,50249
1506513366,51548,51548
1506514207,52032,52032
1506516307,53907,53907
1506517807,55057,55057
1506518691,8244,8244
1506519615,56078,56078
1506520566,56266,56266
1506521407,56216,56216
1506523425,56398,56398
1506525307,56528,56528
1506526087,56685,56685
