DateTime,AddedIPs,RemovedIPs
1506327268,22,4
1506328233,20,20
1506328976,10,3
1506329795,11,5
1506330644,8,19
1506331708,18,3
1506332548,7,32
1506333678,20,18
1506334469,10,2
1506336149,21,24
1506337267,23,29
1506338067,15,2
1506339053,18,31
1506339933,23,5
1506341064,16,31
1506341669,12,0
1506343234,26,45
1506344140,15,4
1506345020,12,22
1506346239,13,32
1506348359,52,29
1506350081,20,38
1506351218,16,7
1506352217,22,34
1506354328,20,34
1506355157,13,18
1506356075,14,4
1506356980,7,1
1506357763,23,4
1506359434,29,64
1506360396,13,3
1506361241,15,60
1506362124,11,4
1506363034,12,18
1506364234,24,28
1506365134,15,11
1506366635,28,27
1506367610,20,5
1506368436,24,21
1506369403,16,5
1506370234,12,15
1506371264,18,6
1506373834,40,48
1506375751,29,44
1506377676,34,24
1506379139,35,43
1506380253,25,6
1506381064,11,27
1506382064,13,6
1506382950,16,36
1506384868,27,28
1506386734,27,47
1506388237,17,19
1506389134,18,5
1506389978,21,27
1506390930,24,3
1506391834,33,18
1506392068,5,1
1506393046,17,48
1506394652,26,12
1506395732,13,28
1506396644,9,23
1506398169,26,15
1506399040,10,21
1506399267,7,1
1506400374,23,15
1506400951,9,4
1506402870,30,24
1506403688,10,3
1506405026,21,18
1506406238,30,14
1506407307,13,4
1506408336,19,25
1506409664,25,16
1506410687,22,3
1506410914,4,1
1506411751,9,30
1506413673,23,18
1506414897,14,13
1506416188,19,6
1506417036,16,14
1506418114,18,3
1506418948,14,24
1506419952,15,20
1506420804,11,6
1506421662,20,3
1506424048,41,54
1506426011,32,20
1506427837,25,28
1506428670,20,3
1506429650,40,43
1506430562,16,11
1506431446,14,18
1506432634,23,26
1506433534,13,3
1506436536,48,88
1506437727,19,9
1506438873,15,14
1506439834,18,20
1506440559,8,3
1506442549,43,25
1506443440,8,28
1506444933,23,16
1506445836,12,14
1506446641,10,7
1506447584,26,21
1506447745,3,2
1506449374,33,23
1506450934,39,34
1506451859,22,9
1506453038,15,19
1506453883,13,4
1506454948,9,22
1506456526,28,38
1506457492,17,5
1506458432,14,30
1506460237,30,24
1506461338,30,2
1506462330,28,19
1506463838,15,27
1506465764,31,18
1506467646,40,17
1506468524,13,5
1506469344,12,22
1506470184,12,5
1506471039,13,13
1506471265,4,1
1506472243,19,27
1506474655,43,37
1506475708,13,4
1506476739,9,35
1506478301,18,15
1506479306,12,8
1506480994,44,32
1506481839,15,15
1506483344,20,22
1506485434,36,45
1506486637,29,24
1506487537,21,10
1506489335,18,22
1506490242,13,29
1506491146,9,14
1506493708,29,23
1506494714,19,30
1506495807,14,23
1506496476,9,2
1506497321,17,4
1506498926,13,44
1506499845,8,12
1506500067,2,0
1506501040,10,16
1506501936,13,8
1506502867,10,18
1506503731,25,8
1506504532,11,0
1506505553,18,17
1506507267,23,20
1506509068,20,31
1506509785,12,2
1506510638,10,25
1506511837,12,28
1506513384,30,12
1506514233,19,18
1506516330,28,21
1506517848,22,38
1506518697,20,4
1506519637,31,22
1506520585,17,3
1506521438,16,20
1506523465,33,24
1506524532,16,20
1506525634,28,4
1506526109,11,2
1506526952,14,25
1506528071,27,16
1506528948,13,6
1506529839,15,21
1506530555,9,2
1506532225,23,27
1506533324,20,2
1506534345,13,38
1506536703,47,24
1506537518,13,24
1506538345,15,7
1506539383,14,33
1506541240,21,33
1506542146,18,1
1506543035,12,20
1506543913,11,0
1506545015,19,18
1506546865,27,29
1506547846,10,40
1506548735,11,13
1506550241,28,21
1506551308,21,1
1506552342,27,25
1506553650,20,27
1506555640,33,29
1506556525,8,5
1506557372,7,11
1506558632,14,31
1506559348,10,8
1506561266,30,28
1506562114,22,4
1506563138,10,34
1506564635,21,19
1506566441,33,25
1506568242,20,18
1506569306,11,1
1506570330,11,42
1506571838,15,16
1506572868,14,6
1506573759,13,22
1506574777,7,24
1506575730,2,6
1506577351,21,31
1506579281,14,27
1506580220,10,19
1506581421,16,6
1506582639,18,14
1506583556,14,2
1506584564,10,24
1506586472,24,21
1506587315,16,2
1506588335,14,32
1506589164,14,16
1506589972,11,3
1506591033,18,33
1506591936,15,16
1506593736,32,22
1506595243,27,22
1506596645,19,21
1506597641,19,2
1506598556,10,37
1506600073,17,42
1506600942,13,2
1506601707,14,2
1506602551,19,26
1506604478,33,20
1506605412,19,27
1506606286,19,20
1506607278,6,22
1506608071,9,3
1506609767,23,33
1506610631,11,7
1506611440,14,17
1506612643,26,26
1506613562,13,10
1506614403,10,20
1506615255,13,3
1506616247,8,27
1506617131,15,14
1506618197,15,22
1506619032,20,2
1506620098,27,33
1506621034,13,16
1506622238,28,33
1506624148,24,41
1506625381,26,23
1506626435,19,6
1506627752,27,41
1506628591,8,2
1506629438,12,17
1506631352,31,54
1506633025,26,19
1506634046,15,7
1506635118,24,31
1506635946,14,18
1506636925,15,7
1506637707,10,5
1506638567,16,47
1506640240,33,19
1506641440,14,37
1506642316,11,17
1506643843,37,17
1506644887,16,7
1506645750,13,24
1506646592,13,2
1506647438,22,15
1506648523,21,5
1506650544,40,70
1506651632,35,6
1506652839,25,30
1506653732,18,3
1506654628,10,19
1506656727,34,50
1506657391,9,4
1506658240,22,18
1506659735,22,24
1506660631,12,6
1506660987,7,1
1506661836,14,10
1506663051,25,22
1506663753,7,14
1506665669,32,21
1506666509,16,4
1506667475,7,36
1506669037,22,16
1506670949,32,16
1506671962,15,25
1506673017,14,3
1506673838,15,29
1506674896,17,17
1506676241,19,11
1506678334,32,30
1506678986,27,4
1506679846,14,19
1506683452,45,59
1506684634,28,28
1506686125,24,11
1506687041,20,17
1506687900,13,4
1506688844,29,59
1506688950,3,0
1506690866,35,30
1506692557,18,43
1506694470,25,15
1506696068,34,40
1506697885,29,36
1506699043,40,27
1506700542,32,11
1506701459,15,23
1506701671,3,3
1506702636,14,22
1506703561,12,5
1506705036,27,25
1506705926,14,3
1506706842,17,48
1506708079,23,23
1506708938,13,2
1506710732,26,27
1506712242,21,20
1506713433,26,27
1506716074,63,33
1506717041,21,22
1506717752,10,12
1506719435,28,25
1506720517,20,4
1506721782,31,40
1506723041,29,34
1506726638,42,69
1506727705,19,2
1506728553,16,31
1506730477,33,35
1506731299,15,5
1506732333,18,37
1506733181,18,18
1506734066,15,4
1506734926,18,6
1506735747,20,30
1506737670,30,18
1506738925,17,21
1506740126,21,12
1506741038,9,11
1506742231,30,18
1506744633,38,27
1506745530,16,7
1506746445,21,18
1506747386,12,3
1506748221,15,12
1506749127,11,3
1506750147,12,22
1506751049,16,4
1506752112,10,13
1506753016,13,21
1506753749,10,2
1506755436,14,13
1506757530,20,33
1506758465,12,21
1506759335,11,3
1506760241,9,18
1506760958,4,9
1506762638,27,19
1506763532,20,2
1506764900,19,66
1506766236,20,28
1506767297,24,2
1506768332,9,28
1506769840,23,11
1506770756,20,1
1506771752,11,16
1506773439,24,19
1506774652,17,29
1506777037,37,20
1506779725,38,23
1506780873,22,20
1506781706,10,6
1506782732,16,28
1506783392,4,1
1506784242,15,13
1506785338,12,6
1506786329,19,21
1506787487,18,23
1506788448,12,6
1506789258,17,26
1506790234,10,9
1506791436,34,19
1506792505,17,3
1506793346,9,26
1506795087,21,21
1506796241,13,22
1506797469,16,3
1506798636,14,28
1506801025,27,27
1506802256,28,14
1506803306,18,2
1506805435,92,48
1506806483,96,0
1506807778,109,37
1506809512,82,23
1506810639,54,23
1506811585,41,5
1506812227,19,1
1506813033,24,26
1506814984,60,20
1506816927,68,22
1506818460,45,39
1506820234,50,22
1506822282,64,24
1506823889,44,14
1506825935,37,21
1506826592,13,3
1506828926,44,47
1506831043,43,28
1506832247,27,34
1506832946,17,5
1506834691,31,10
1506836736,49,46
1506837663,14,12
1506838473,16,4
1506839311,15,3
1506841281,34,60
1506842140,22,8
1506843036,16,23
1506843933,21,8
1506845668,46,21
1506846680,26,22
1506847356,20,7
1506848651,22,30
1506849633,28,0
1506850107,47,2
1506851118,41,36
1506852636,32,18
1506853708,27,6
1506854528,16,24
1506855652,25,24
1506856836,23,4
1506857701,19,29
1506858572,14,3
1506860731,38,43
1506860907,3,1
1506862640,35,27
1506863434,25,15
1506864511,22,1
1506867402,63,54
1506868527,21,29
1506869436,23,1
1506870269,15,33
1506870872,12,5
1506871830,27,21
1506872552,16,11
1506874477,43,44
1506875530,22,29
1506876339,22,11
1506877839,34,26
1506878748,18,3
1506879592,21,35
1506880542,17,6
1506881434,20,15
1506883534,48,47
1506884553,24,23
1506885630,18,3
1506886835,26,49
1506887710,6,5
1506888638,18,20
1506890439,20,47
1506892235,23,39
1506893137,6,4
1506895833,31,55
1506897077,13,22
1506897940,8,4
1506899434,21,25
1506900507,13,5
1506901349,17,34
1506902473,8,23
1506903339,13,5
1506904931,22,38
1506905791,10,6
1506906635,12,17
1506908134,10,34
1506910242,32,28
1506912153,23,41
1506913538,21,19
1506914440,5,6
1506915332,5,24
1506916536,13,13
1506917437,11,14
1506918521,13,4
1506919352,6,23
1506921039,16,14
