DateTime,Entries,UniqueIPs
1506327268,2698,2698
1506328233,2698,2698
1506328976,2705,2705
1506329795,2711,2711
1506330644,2700,2700
1506331708,2715,2715
1506332548,2690,2690
1506333678,2692,2692
1506334469,2700,2700
1506336149,2697,2697
1506337267,2691,2691
1506338067,2704,2704
1506339053,2691,2691
1506339933,2709,2709
1506341064,2694,2694
1506341669,2706,2706
1506343234,2687,2687
1506344140,2698,2698
1506345020,2688,2688
1506346239,2669,2669
1506348359,2692,2692
1506350081,2674,2674
1506351218,2683,2683
1506352217,2671,2671
1506354328,2657,2657
1506355157,2652,2652
1506356075,2662,2662
1506356980,2668,2668
1506357763,2687,2687
1506359434,2652,2652
1506360396,2662,2662
1506361241,2617,2617
1506362124,2624,2624
1506363034,2618,2618
1506364234,2614,2614
1506365134,2618,2618
1506366635,2619,2619
1506367610,2634,2634
1506368436,2637,2637
1506369403,2648,2648
1506370234,2645,2645
1506371264,2657,2657
1506373834,2649,2649
1506375751,2634,2634
1506377676,2644,2644
1506379139,2636,2636
1506380253,2655,2655
1506381064,2639,2639
1506382064,2646,2646
1506382950,2626,2626
1506384868,2625,2625
1506386734,2605,2605
1506388237,2603,2603
1506389134,2616,2616
1506389978,2610,2610
1506390930,2631,2631
1506391834,2646,2646
1506392068,2650,2650
1506393046,2619,2619
1506394652,2633,2633
1506395732,2618,2618
1506396644,2604,2604
1506398169,2615,2615
1506399040,2604,2604
1506399267,2610,2610
1506400374,2618,2618
1506400951,2623,2623
1506402870,2629,2629
1506403688,2636,2636
1506405026,2639,2639
1506406238,2655,2655
1506407307,2664,2664
1506408336,2658,2658
1506409664,2667,2667
1506410687,2686,2686
1506410914,2689,2689
1506411751,2668,2668
1506413673,2673,2673
1506414897,2674,2674
1506416188,2687,2687
1506417036,2689,2689
1506418114,2704,2704
1506418948,2694,2694
1506419952,2689,2689
1506420804,2694,2694
1506421662,2711,2711
1506424048,2698,2698
1506426011,2710,2710
1506427837,2707,2707
1506428670,2724,2724
1506429650,2721,2721
1506430562,2726,2726
1506431446,2722,2722
1506432634,2719,2719
1506433534,2729,2729
1506436536,2689,2689
1506437727,2699,2699
1506438873,2700,2700
1506439834,2698,2698
1506440559,2703,2703
1506442549,2721,2721
1506443440,2701,2701
