DateTime,Entries,UniqueIPs
1506338062,24864,24864
1506339044,25328,25328
1506339928,25898,25898
1506341047,26144,26144
1506341663,26217,26217
1506343229,26297,26297
1506344127,26408,26408
1506345002,26469,26469
1506345256,8244,8244
1506346231,26542,26542
1506348354,26740,26740
1506350076,26846,26846
1506351214,26968,26968
1506352201,26959,26959
1506354322,26944,26944
1506355152,26948,26948
1506356069,27067,27067
1506356973,27196,27196
1506357758,27320,27320
1506359429,27440,27440
1506360392,27533,27533
1506361233,27542,27542
1506362120,27625,27625
1506363030,27696,27696
1506365127,27863,27863
1506366631,27968,27968
1506367605,28063,28063
1506368432,28069,28069
1506369394,28160,28160
1506370229,28185,28185
1506371259,28275,28275
1506372316,8244,8244
1506373829,28406,28406
1506375747,28491,28491
1506377671,28605,28605
1506379135,28656,28656
1506380216,28717,28717
1506381060,28719,28719
1506382059,28793,28793
1506382946,28740,28740
1506384863,28792,28792
1506386729,28833,28833
1506389129,28994,28994
1506389974,29018,29018
1506390922,29107,29107
1506391830,29166,29166
1506392063,29180,29180
1506393039,29187,29187
1506394639,29283,29283
1506395727,29314,29314
1506396635,29309,29309
1506398165,29414,29414
1506399036,29448,29448
1506399262,29478,29478
1506400362,29566,29566
1506400946,29605,29605
1506402866,29779,29779
1506403682,8244,8244
1506405021,29892,29892
1506406234,29946,29946
1506407302,30008,30008
1506408330,29974,29974
1506409659,29976,29976
1506410682,30025,30025
1506410909,30029,30029
1506411745,30010,30010
1506413667,30059,30059
1506414891,30058,30058
1506416183,30103,30103
1506417031,30181,30181
1506418110,30319,30319
1506418942,30367,30367
1506419935,30431,30431
1506420791,30490,30490
1506421657,30539,30539
1506422738,30539,30539
1506424833,30655,30655
1506425763,30646,30646
1506428659,30827,30827
1506429641,30790,30790
1506430527,30863,30863
1506431437,30852,30852
1506432629,30882,30882
1506433527,30949,30949
1506436526,30983,30983
1506437722,31074,31074
1506438869,31123,31123
1506439830,31094,31094
1506440550,31114,31114
1506442538,31176,31176
1506443429,31281,31281
1506444928,31478,31478
1506445832,31493,31493
1506446637,31531,31531
1506447580,31569,31569
1506447741,31578,31578
1506449359,31622,31622
1506450929,31627,31627
1506451854,31652,31652
1506453034,31660,31660
1506453878,31909,31909
1506454944,32336,32336
1506456521,32506,32506
1506457487,32615,32615
1506458419,8244,8244
1506460232,32784,32784
1506461333,32948,32948
1506462323,32990,32990
1506463833,33078,33078
1506465755,33224,33224
1506467644,8244,8244
1506468519,33475,33475
1506469340,33461,33461
1506470180,33518,33518
1506471034,33521,33521
1506471260,33532,33532
1506472234,33574,33574
1506474650,34351,34351
1506475703,34472,34472
1506476734,34546,34546
1506478281,34858,34858
1506479301,35036,35036
1506480987,35259,35259
1506481834,35339,35339
1506483335,35686,35686
1506485430,36390,36390
1506487532,36854,36854
1506489330,37164,37164
1506490238,37604,37604
1506491136,37944,37944
1506492860,8244,8244
1506493703,38344,38344
1506494705,8244,8244
1506495802,38139,38139
1506496472,38325,38325
1506497316,38590,38590
1506498922,38316,38316
1506499840,38128,38128
1506500062,38256,38256
1506501035,38215,38215
1506501932,38949,38949
1506502861,39547,39547
1506503725,40374,40374
1506504528,41273,41273
1506505545,41388,41388
1506507262,42372,42372
1506508229,42546,42546
1506509051,43608,43608
1506509781,44468,44468
1506510633,43949,43949
1506510861,43951,43951
1506511830,43788,43788
1506513380,45102,45102
1506514229,45583,45583
1506516323,47469,47469
1506517840,48622,48622
1506518691,8244,8244
1506519632,49654,49654
1506520581,49815,49815
1506521433,49777,49777
1506523452,49981,49981
1506524527,50041,50041
1506525622,50189,50189
1506526105,50283,50283
1506526947,50051,50051
1506528061,50006,50006
1506528938,50131,50131
1506529828,50151,50151
1506530550,50278,50278
1506532221,8244,8244
1506533320,50628,50628
1506534332,50577,50577
1506534336,50578,50578
1506536697,50806,50806
1506537513,50777,50777
1506538340,50919,50919
1506539378,50886,50886
1506541232,50920,50920
1506542140,51044,51044
1506543031,51031,51031
1506543906,8244,8244
1506544835,51105,51105
1506545005,51117,51117
1506546860,51245,51245
1506547838,51214,51214
1506548730,51295,51295
1506550236,51419,51419
1506551286,8244,8244
1506552336,51574,51574
1506553641,51634,51634
1506555633,51746,51746
1506556521,51838,51838
1506557367,51856,51856
1506558625,51894,51894
1506559343,51936,51936
1506561261,52141,52141
1506562109,52264,52264
1506563133,52258,52258
1506564630,52449,52449
1506566435,52597,52597
1506568235,52825,52825
1506569301,53023,53023
1506570324,52747,52747
1506571833,52796,52796
1506572863,52927,52927
1506573754,52822,52822
1506574773,52806,52806
1506575726,52906,52906
1506576502,8244,8244
1506577347,52860,52860
