DateTime,AddedIPs,RemovedIPs
1505949045,2,3
1505949928,0,3
1505950837,0,4
1505952410,0,4
1505953245,0,1
1505954740,0,2
1505955393,0,1
1505956472,1,0
1505957446,1,6
1505958333,1,1
1505960069,2,0
1505961937,1,0
1505964525,0,1
1505966985,0,1
1505967898,1,0
1505968845,0,1
1505970061,0,3
1505973026,1,0
1505976058,0,1
1505977841,1,0
1505981444,2,0
1505982517,0,1
1505983360,15,1
1505984362,111,1
1505985348,59,13
1505986091,1,4
1505987958,0,12
1505988954,1,2
1505989854,0,4
1505990684,0,3
1505992242,1,3
1505993800,0,11
1505994915,0,10
1505995793,42,0
1505996908,395,4
1505997941,34,12
1506000327,8,12
1506001347,16,10
1506003045,9,9
1506004125,0,13
1506005136,1,6
1506006419,15,9
1506006867,7,4
1506008552,321,13
1506009450,0,5
1506010249,0,8
1506013158,0,29
1506014029,1,4
1506015050,0,9
1506015749,0,3
1506016731,0,5
1506017752,2,9
1506018937,1,9
1506021053,2,2
1506021988,2,6
1506022948,1,2
1506023808,0,1
1506024646,0,4
1506025541,2,3
1506026553,0,5
1506028239,0,6
1506029330,1,1
1506030339,1,6
1506031851,1,1
1506033765,0,7
1506036040,1,9
1506037235,1,5
1506039276,3,4
1506040220,2,6
1506040947,0,1
1506042647,0,3
1506044738,0,5
1506046237,1,4
1506047445,0,4
1506048346,0,1
1506049352,1,1
1506050428,1,1
1506052587,0,8
1506053442,0,3
1506054356,0,1
1506055243,0,3
1506056196,2,2
1506057039,0,2
1506058831,0,2
1506059808,0,1
1506060646,0,3
1506061877,0,5
1506062565,0,2
1506064242,0,1
1506065275,3,3
1506066340,0,3
1506067005,1,1
1506067841,0,1
1506069047,1,2
1506069940,1,3
1506071733,0,1
1506072927,0,3
1506074542,2,2
1506075271,0,1
1506076851,1,2
1506077728,1,0
1506079844,0,2
1506080731,0,1
1506082469,0,1
1506083440,0,2
1506085835,0,3
1506087757,0,5
1506089432,2,2
1506090511,0,1
1506091315,1,1
1506093266,1,3
1506094098,0,2
1506097232,0,1
1506098554,2,0
1506101450,3,7
1506102835,3,0
1506103837,1,1
1506105809,1,6
1506106587,0,4
1506108650,0,11
1506109531,0,3
1506111038,0,6
1506112248,0,3
1506113135,0,2
1506114596,1,4
1506114879,0,1
1506115835,0,1
1506117332,1,1
1506118243,0,26
1506119432,1,3
1506121143,1,5
1506122141,0,7
1506122914,0,1
1506125736,0,1
1506128498,1,0
1506129342,2,1
1506130237,1,0
1506130960,1,1
1506133526,1,0
1506134552,0,2
1506135350,1,2
1506137439,2,3
1506138335,1,1
1506140727,2,1
1506141757,0,1
1506147033,0,1
1506148245,0,2
1506150297,0,1
1506151253,1,0
1506154237,0,1
1506157012,5,0
1506159329,5,1
1506160229,1,0
1506161208,1,0
1506162676,1,1
1506166538,2,1
1506168637,1,1
1506170737,1,0
1506172239,0,4
1506173316,0,1
1506174986,1,2
1506176076,0,181
1506177047,0,474
1506177750,1,0
1506180519,1,0
1506183042,0,2
1506184113,2,0
1506185802,1,2
1506186642,1,2
1506187820,0,1
1506191451,1,2
1506193835,1,0
1506194875,0,1
1506197660,1,2
1506199978,1,1
1506201041,0,1
1506202836,2,0
1506204043,1,1
1506204941,1,0
1506205912,1,1
1506208472,2,2
1506209691,0,2
1506211845,1,0
1506213030,2,0
1506215445,2,1
1506217540,1,0
1506222636,1,0
1506223838,1,1
1506226250,0,1
1506228988,1,0
1506229837,1,0
1506233435,1,1
1506234650,1,1
1506237016,1,2
1506238922,2,2
1506240873,2,0
1506242141,1,2
1506244472,0,1
1506246042,4,0
1506246986,0,1
1506247845,0,2
1506249659,0,1
1506251443,14,0
1506254188,1,0
1506255337,1,2
1506256234,0,1
1506258557,2,2
1506259707,2,0
1506263132,0,2
1506264151,0,1
1506266678,0,1
1506267582,0,1
1506268540,1,0
1506269438,0,1
1506272188,1,5
1506274946,2,2
1506276872,0,1
1506278743,2,0
1506280467,1,0
1506281298,1,0
1506282371,2,0
1506285878,1,1
1506286774,1,1
1506287734,1,0
1506288925,0,1
1506289993,1,0
1506291047,1,1
1506292532,2,1
1506294647,1,0
1506296546,1,0
1506298235,1,0
1506299672,1,1
1506300925,2,0
1506301839,0,1
1506304759,1,0
1506307227,1,1
1506309034,0,1
1506310969,0,1
1506314593,1,1
1506316237,2,1
1506319000,0,1
1506321041,1,1
1506322794,2,0
1506324511,1,0
1506326469,1,1
1506328237,2,4
1506328977,1,1
1506330646,0,2
1506334471,2,0
1506337275,0,4
1506338068,1,0
1506339934,1,0
1506341067,0,1
1506343236,3,0
1506344141,0,1
1506345025,1,2
1506346241,0,1
1506348360,1,0
1506350083,1,1
1506354329,2,0
1506355158,0,1
1506356981,1,0
1506359435,0,2
1506361243,1,0
1506362125,2,0
1506363036,1,1
1506364236,0,1
1506365135,1,0
1506366636,0,1
1506369405,0,1
1506372320,2,0
1506373835,1,2
1506375753,0,1
1506377677,1,1
1506379140,2,1
1506381303,2,2
1506382203,1,2
1506382952,1,0
1506384869,1,1
1506386735,3,1
1506388238,0,1
1506393048,0,1
1506394653,1,0
1506395733,1,0
1506399041,1,1
1506400375,2,0
1506400952,0,1
1506402871,2,0
1506403694,0,1
1506406239,1,1
1506407308,1,0
1506408337,2,1
1506409665,0,1
1506410688,1,1
1506411752,0,3
1506414898,0,1
1506416189,1,0
1506418116,1,0
1506418949,1,1
1506419953,1,9
1506420808,0,8
1506424051,2,7
1506426015,2,0
1506427838,2,1
1506429651,0,3
1506432635,1,0
1506436537,3,1
1506437728,1,0
1506438874,1,1
