DateTime,Entries,UniqueIPs
1506307216,3645,3645
1506309025,3634,3634
1506310943,3623,3623
1506311967,3611,3611
1506312919,3617,3617
1506313824,3601,3601
1506314550,3594,3594
1506316226,3593,3593
1506318327,3571,3571
1506318976,3576,3576
1506319798,3570,3570
1506321025,3558,3558
1506322784,3552,3552
1506323717,3554,3554
1506324497,3562,3562
1506325528,3537,3537
1506326454,3524,3524
1506327258,3533,3533
1506328216,3515,3515
1506328959,3510,3510
1506329784,3519,3519
1506330623,3516,3516
1506331698,3526,3526
1506332539,3519,3519
1506333656,3514,3514
1506334457,3523,3523
1506336139,3525,3525
1506337257,3496,3496
1506338057,3499,3499
1506339035,3472,3472
1506339916,3478,3478
1506341042,3469,3469
1506341658,3474,3474
1506343223,3471,3471
1506344116,3475,3475
1506344993,3468,3468
1506346219,3454,3454
1506348350,3442,3442
1506350071,3429,3429
1506351205,3441,3441
1506352196,3426,3426
1506354315,3444,3444
1506355148,3439,3439
1506356061,3445,3445
1506356968,3455,3455
1506357743,3458,3458
1506359425,3456,3456
1506360380,3468,3468
1506361225,3435,3435
1506362115,3436,3436
1506363022,3419,3419
1506365118,3419,3419
1506366626,3409,3409
1506367596,3416,3416
1506368421,3401,3401
1506369385,3408,3408
1506370224,3408,3408
1506371254,3418,3418
1506373824,3391,3391
1506375739,3385,3385
1506377660,3384,3384
1506379130,3368,3368
1506380179,3377,3377
1506381047,3355,3355
1506382054,3365,3365
1506382937,3343,3343
1506384858,3341,3341
1506386720,3329,3329
1506389119,3332,3332
1506389965,3311,3311
1506390917,3320,3320
1506391825,3310,3310
1506392057,3315,3315
1506393026,3308,3308
1506394628,3319,3319
1506395716,3302,3302
1506396624,3294,3294
1506398161,3308,3308
1506399027,3302,3302
1506400351,3298,3298
1506400941,3297,3297
1506402858,3308,3308
1506405016,3315,3315
1506406228,3321,3321
1506407297,3331,3331
1506408320,3313,3313
1506409654,3311,3311
1506410677,3317,3317
1506410900,3319,3319
1506411739,3299,3299
1506413661,3306,3306
1506414886,3304,3304
