DateTime,AddedIPs,RemovedIPs
1503425668,1,0
1503429048,0,6
1503448966,1,0
1503455456,0,1
1503459759,0,3
1503461448,4,0
1503467136,1,0
1503474165,1,0
1503477655,0,1
1503479445,1,0
1503502237,0,1
1503509763,1,0
1503510992,1,0
1503511848,1,0
1503512679,3,0
1503523844,0,1
1503531930,1,0
1503538852,0,2
1503543580,0,1
1503545440,0,2
1503548125,1,0
1503549008,1,0
1503551369,3,0
1503563145,0,1
1503578441,0,1
1503587441,0,1
1503589350,1,0
1503591269,1,0
1503596128,0,1
1503597330,1,0
1503616235,4,0
1503616467,1,0
1503618338,1,0
1503621945,4,0
1503622893,2,0
1503627273,0,1
1503629796,0,3
1503630642,0,1
1503631849,0,1
1503636047,1,1
1503642733,1,0
1503643355,2,0
1503649295,1,0
1503654999,1,0
1503655852,0,1
1503657951,0,1
1503664209,1,0
1503671527,1,0
1503673454,0,1
1503674434,1,0
1503676590,7,1
1503677440,0,1
1503681086,1,0
1503684573,1,0
1503688516,0,1
1503691281,2,0
1503693432,1,0
1503697419,0,1
1503702697,1,1
1503719728,0,2
1503742470,0,1
1503753086,1,0
1503758555,0,1
1503760302,0,1
1503761429,0,1
1503762999,4,0
1503763845,1,0
1503765051,0,1
1503791140,0,1
1503796259,0,1
1503806937,0,2
1503819644,0,1
1503821670,5,0
1503841356,0,3
1503843039,0,1
1503844829,0,1
1503848445,0,2
1503851501,0,1
1503860193,0,2
1503863391,1,0
1503865251,2,0
1503866552,2,0
1503872446,1,1
1503891940,3,1
1503907500,1,1
1503909773,0,1
1503920373,0,1
1503925840,0,1
1503927961,0,1
1503932446,0,1
1503945757,1,0
1503952963,0,1
1503954062,0,1
1503959435,1,1
1503963756,0,2
1503966640,1,0
1503978332,0,2
1503985543,3,0
1503988246,11,0
1503990641,0,4
1503992737,0,1
1504001689,1,0
1504023042,1,0
1504048277,0,1
1504053339,0,1
1504055480,1,0
1504060259,0,1
1504070072,1,0
1504071043,2,0
1504076463,0,1
1504077271,1,0
1504095100,0,1
1504096253,0,1
1504098172,0,2
1504104163,2,0
1504106497,3,0
1504107481,2,0
1504118587,2,1
1504125660,1,1
1504134591,0,1
1504136115,0,1
1504141893,0,1
1504147419,0,1
1504148215,1,0
1504150120,1,0
1504151206,0,2
1504152641,0,1
1504154440,0,7
1504156317,0,2
1504157309,2,0
1504158997,0,8
1504168325,0,2
1504172604,0,1
1504175428,0,1
1504180902,0,1
1504183234,0,1
1504189926,2,0
1504202368,2,0
1504205689,3,0
1504206691,1,0
1504207537,1,0
1504208617,2,0
1504209392,4,0
1504210240,2,0
1504212035,0,1
1504213890,1,1
1504217445,0,1
1504221080,0,1
1504231176,1,0
1504239041,0,1
1504240848,0,3
1504250199,1,0
1504252550,1,0
1504253458,1,0
1504269997,1,0
1504275335,0,1
1504276949,0,4
1504282539,2,0
1504284175,1,0
1504285848,0,1
1504296415,0,1
1504300470,1,0
1504302343,0,1
1504311044,1,0
1504315029,1,0
1504319551,0,1
1504321839,0,1
1504325448,1,0
1504327358,0,2
1504359757,0,2
1504368643,7,0
1504374159,0,1
1504375265,0,3
1504376142,2,0
1504377023,1,2
1504379737,0,2
1504384958,0,1
1504387710,1,0
1504421091,15,0
1504425541,0,1
1504431939,0,1
1504437049,3,0
1504439135,1,0
1504446153,1,0
1504454583,0,1
1504456253,0,1
1504456965,0,2
1504459953,0,2
1504464105,0,1
1504465837,1,0
1504466731,2,0
1504468777,0,1
1504473046,2,0
1504476646,0,3
1504479405,1,2
1504485007,0,1
1504493135,1,0
1504499260,1,0
1504501839,0,1
1504503750,0,1
1504507493,1,1
1504528949,0,1
1504535125,6,0
1504536058,0,1
1504537300,0,2
1504539819,0,1
1504543361,1,0
1504546830,0,2
1504553440,1,1
1504557043,0,1
1504559676,1,0
1504568549,0,1
1504586559,2,0
1504588475,0,6
1504589435,0,8
1504590151,0,1
1504591838,0,1
1504603855,0,3
1504606248,0,5
1504611893,0,1
1504637770,0,3
1504654837,0,1
1504676738,1,3
1504678055,0,1
1504680153,1,7
1504681842,0,7
1504683630,0,1
1504685741,2,0
1504686653,0,1
1504687359,1,0
1504690952,0,1
1504704933,0,8
1504708960,3,0
1504716220,0,1
1504717851,1,0
1504735141,0,1
1504745430,1,0
1504759639,4,0
1504768247,0,1
1504780272,0,1
1504791839,0,1
1504793452,0,1
1504803756,0,1
1504806261,0,1
1504807939,0,1
1504813837,2,0
1504833064,1,0
1504838826,1,0
1504839910,0,1
1504849356,1,0
1504855969,0,2
1504860559,0,1
1504884739,0,1
1504887148,0,1
1504890967,1,0
1504894511,0,1
1504895476,0,1
1504901454,0,1
1504915839,0,2
1504922890,1,0
1504927864,0,2
1504930628,3,0
1504931500,0,1
1504938931,2,0
1504941042,1,0
1504951927,1,1
1504962249,1,0
1504968423,0,1
1504969923,0,1
1504971862,1,0
1504981937,0,1
1504989306,0,1
1505007150,0,3
1505008252,1,0
1505010655,0,2
1505018148,1,0
1505041176,1,0
1505043127,1,0
1505045517,2,0
1505050294,0,1
1505054931,1,0
1505056333,1,0
1505071004,0,1
1505081528,1,1
1505089846,1,0
1505099451,0,2
1505102195,2,0
1505111733,0,1
1505121277,0,1
1505132447,1,0
1505133751,0,1
1505136930,0,1
1505141877,1,0
