DateTime,Entries,UniqueIPs
1506507314,16094,16094
1506507906,16068,16068
1506508504,16097,16097
1506509105,16089,16089
1506509704,16075,16075
1506510305,16073,16073
1506511208,15974,15974
1506511804,15980,15980
1506513603,15987,15987
1506513905,15984,15984
1506514503,15978,15978
1506515104,15987,15987
1506515411,15892,15892
1506516004,15902,15902
1506516311,15810,15810
1506516904,15793,15793
1506517503,15889,15889
1506517806,15886,15886
1506518403,15882,15882
1506519005,15872,15872
1506519613,15773,15773
1506520205,15741,15741
1506520805,15730,15730
1506521403,15723,15723
1506521706,15709,15709
1506522304,15703,15703
1506522904,15686,15686
1506523808,15569,15569
1506524404,15561,15561
1506525004,15553,15553
1506525604,15552,15552
1506526205,15544,15544
1506526804,15518,15518
1506527404,15515,15515
1506528004,15524,15524
1506528603,15520,15520
1506529213,5781,5781
1506529803,15418,15418
1506530408,15328,15328
1506531004,15320,15320
1506531603,15318,15318
1506532204,15311,15311
1506532805,15312,15312
1506533109,15257,15257
1506533704,15244,15244
1506534304,15245,15245
1506534904,15241,15241
1506535503,15340,15340
1506536104,15327,15327
1506536704,15310,15310
1506537304,15314,15314
1506537606,15315,15315
1506538204,15318,15318
1506538804,15320,15320
1506539403,15337,15337
1506539708,15234,15234
1506540303,15231,15231
1506540904,15234,15234
1506541504,15239,15239
1506542104,15240,15240
1506542703,15207,15207
1506543304,15209,15209
1506543904,15217,15217
1506544504,15216,15216
1506545105,15218,15218
1506545704,15222,15222
1506546303,15224,15224
1506546904,15221,15221
1506547503,15218,15218
1506548104,15238,15238
1506548704,15242,15242
1506549304,15241,15241
1506549903,15246,15246
1506550503,15250,15250
1506551104,15261,15261
1506551406,15262,15262
1506552003,15266,15266
1506552604,15385,15385
1506553205,15382,15382
1506553803,15387,15387
1506554403,15391,15391
1506555004,15387,15387
1506555604,15395,15395
1506556203,15393,15393
1506556805,15392,15392
1506557403,15440,15440
1506558003,15429,15429
1506558603,15429,15429
1506559204,15416,15416
1506559803,15421,15421
1506560405,15425,15425
1506561003,15435,15435
1506561604,15428,15428
1506562204,15430,15430
1506562803,15433,15433
1506563405,15427,15427
1506564004,15423,15423
1506564603,15422,15422
1506565203,15420,15420
1506565803,15418,15418
1506566402,15416,15416
1506567002,15419,15419
1506567605,15418,15418
1506568204,15426,15426
1506568803,15430,15430
1506569403,15441,15441
1506570006,15434,15434
1506570603,15434,15434
1506571205,15435,15435
1506571803,15429,15429
1506572404,15428,15428
1506573003,15435,15435
1506573605,15424,15424
1506574204,15517,15517
1506574804,15516,15516
1506575404,15513,15513
1506576004,15510,15510
1506576604,15605,15605
1506577203,15609,15609
1506577803,15613,15613
1506578404,15623,15623
1506578706,15610,15610
1506579302,15611,15611
1506579904,15619,15619
1506580504,15608,15608
1506581104,15600,15600
1506581704,15603,15603
1506582302,15606,15606
1506582604,15605,15605
1506583203,15602,15602
1506583803,15600,15600
1506584402,15615,15615
1506585003,15687,15687
1506585604,15935,15935
1506586204,15926,15926
1506586803,15983,15983
1506587404,15994,15994
1506588004,15972,15972
1506588605,16066,16066
1506589204,16065,16065
1506589506,16052,16052
1506590105,16065,16065
1506590704,16071,16071
1506591302,16071,16071
1506593104,16067,16067
1506593709,15977,15977
1506594302,15980,15980
1506594604,15974,15974
1506595204,15962,15962
1506595803,15962,15962
1506596404,15957,15957
1506597003,15959,15959
1506597604,16035,16035
1506598204,16035,16035
1506598804,16018,16018
1506599404,16012,16012
1506600004,11850,11850
1506600602,16001,16001
1506601202,15999,15999
1506601504,15987,15987
1506602103,15977,15977
1506603004,15951,15951
1506603608,15863,15863
1506604204,15861,15861
1506604803,15895,15895
1506605105,15973,15973
