DateTime,AddedIPs,RemovedIPs
1504235523,62,99
1504241283,155,183
1504250883,192,119
1504254722,60,61
1504260483,105,101
1504266483,130,101
1504272244,65,60
1504276083,89,62
1504282323,136,108
1504288082,135,120
1504294083,70,64
1504297923,63,80
1504301762,59,66
1504305604,68,80
1504309442,106,132
1504317122,128,126
1504322883,60,96
1504326723,85,94
1504332483,148,124
1504338243,120,87
1504345923,124,94
1504351684,60,69
1504357443,102,94
1504363203,77,61
1504367284,51,65
1504371122,61,65
1504373042,66,64
1504379043,111,92
1504386723,96,135
1504392484,58,72
1504394645,55,70
1504398483,80,66
1504402563,50,80
1504404484,80,73
1504410244,141,177
1504416724,71,83
1504418644,96,80
1504422485,74,69
1504430165,103,98
1504437844,117,109
1504443616,75,61
1504449365,115,90
1504455370,116,98
1504461123,79,70
1504464965,107,114
1504471204,67,63
1504475043,109,130
1504481523,119,143
1504491123,111,142
1504496883,140,188
1504504565,177,135
1504510324,68,67
1504514164,74,59
1504519923,65,57
1504521843,56,68
1504525683,78,69
1504529523,77,58
1504535283,122,89
1504539124,63,77
1504542963,76,66
1504550648,125,118
1504554723,70,77
1504556644,76,72
1504560483,102,129
1504570324,147,157
1504574163,45,74
1504579923,70,79
1504585683,144,183
1504589523,85,74
1504593363,90,78
1504597208,120,95
1504605123,58,41
1504609220,109,107
1504616883,140,93
1504624564,63,58
1504628406,117,110
1504635126,116,117
1504642805,125,123
1504646644,70,90
1504650485,59,111
1504654325,73,91
1504658164,86,72
1504663924,120,140
1504667763,85,96
1504675444,162,176
1504681214,143,129
1504688884,119,94
1504694643,65,59
1504702325,107,103
1504708086,116,78
1504715771,128,97
1504721768,124,121
1504725607,64,72
1504731366,125,127
1504735218,59,99
1504741205,136,156
1504750808,117,119
1504756564,148,185
1504764244,158,148
1504770005,70,58
1504775764,117,110
1504779844,61,64
1504783685,74,54
1504787524,65,49
1504791363,72,47
1504797124,108,115
1504804804,133,104
1504810814,66,81
1504812723,59,77
1504818485,103,115
1504826163,97,147
1504830003,83,81
1504835765,103,119
1504843444,156,175
1504851126,145,161
1504854964,72,57
1504860722,99,77
1504866486,56,58
1504872244,103,115
1504878005,86,41
1504879924,73,67
1504884484,68,69
1504888323,76,54
1504892163,73,69
1504896004,125,133
1504903683,137,126
1504911615,109,162
1504917365,89,79
1504921205,57,76
1504925044,145,173
1504932724,165,177
1504940416,142,104
1504946163,82,53
1504948325,67,45
1504954083,123,129
1504962014,130,97
1504967764,75,63
1504973524,125,124
1504977365,77,65
1504983124,62,75
1504986965,55,76
1504988886,75,77
1504992724,63,59
1504996564,77,154
1505002803,99,79
1505006643,63,68
1505010483,77,87
1505016243,76,85
1505020084,148,184
1505027763,136,94
1505031604,67,58
1505037364,58,39
1505039285,76,60
1505043124,73,71
1505045043,69,67
1505048884,67,59
1505054644,120,99
1505060644,62,61
1505066417,119,135
1505072163,92,71
1505076004,64,78
1505080084,43,64
1505082003,61,96
1505087764,120,142
1505093523,43,71
1505099283,133,145
1505105045,91,112
1505108884,164,137
1505116564,60,58
1505120409,62,54
1505124244,107,101
1505131924,109,105
1505137683,113,92
1505143685,73,64
1505149443,125,117
1505155444,74,78
1505159283,141,101
1505166005,68,73
1505167924,62,125
1505171764,75,76
1505175605,98,75
1505183284,115,153
1505185210,87,100
1505190963,153,175
1505198644,96,69
1505202724,59,58
1505204884,68,50
1505208964,60,56
1505212803,46,56
1505216645,113,90
1505222404,51,57
1505226243,64,54
1505230083,81,70
1505233923,72,66
1505236084,99,69
1505240404,68,80
1505244964,61,55
1505250723,130,103
1505256488,80,185
1505264164,134,124
1505272325,146,156
1505278083,158,171
1505285765,150,118
1505293444,105,96
1505297284,52,59
1505301124,61,52
1505305218,49,75
1505309045,111,97
1505318643,116,133
1505322485,80,59
1505328245,136,118
1505336164,129,134
1505341926,55,103
1505345764,71,96
1505351524,139,129
1505357287,139,162
1505366884,169,185
1505372644,147,116
1505378403,66,52
1505380325,61,62
1505384165,62,65
1505388005,58,49
1505393764,110,76
1505401443,119,114
1505407207,69,63
1505415611,144,102
1505419444,108,106
1505427123,106,145
1505430964,70,88
1505438645,146,122
1505442485,64,67
1505446324,70,96
1505450165,146,168
1505455929,90,70
1505461684,113,91
1505466484,65,50
1505474163,81,89
1505479923,106,78
1505485685,63,63
1505489523,70,68
1505497205,124,101
1505503204,64,69
1505507045,106,109
1505513284,78,124
1505518565,44,79
1505520485,99,69
1505528163,99,120
1505533923,159,188
1505541611,137,146
1505547364,130,80
1505555044,57,45
1505558883,113,96
1505566564,99,97
1505574243,109,100
1505580004,67,57
