DateTime,Entries,UniqueIPs
1504142882,6549,6549
1504146963,6559,6559
1504150803,6510,6510
1504156562,6497,6497
1504162323,6538,6538
1504166163,6586,6586
1504173843,6608,6608
1504181523,6612,6612
1504187283,6606,6606
1504191363,6637,6637
1504199043,6629,6629
1504204804,6631,6631
1504208643,6660,6660
1504210563,6640,6640
1504214405,6632,6632
1504218243,6595,6595
1504222083,6585,6585
1504227843,6610,6610
1504233608,6647,6647
1504235523,6610,6610
1504241283,6582,6582
1504250883,6655,6655
1504254722,6654,6654
1504260483,6658,6658
1504266483,6687,6687
1504272244,6692,6692
1504276083,6719,6719
1504282323,6747,6747
1504288082,6762,6762
1504294083,6768,6768
1504297923,6751,6751
1504301762,6744,6744
1504305604,6732,6732
1504309442,6706,6706
1504317122,6708,6708
1504322883,6672,6672
1504326723,6663,6663
1504332483,6687,6687
1504338243,6720,6720
1504345923,6750,6750
1504351684,6741,6741
1504357443,6749,6749
1504363203,6765,6765
1504367284,6751,6751
1504371122,6747,6747
1504373042,6749,6749
1504379043,6768,6768
1504386723,6729,6729
1504392484,6715,6715
1504394645,6700,6700
1504398483,6714,6714
1504402563,6684,6684
1504404484,6691,6691
1504410244,6655,6655
1504416724,6643,6643
1504418644,6659,6659
1504422485,6664,6664
1504430165,6669,6669
1504437844,6677,6677
1504443616,6691,6691
1504449365,6716,6716
1504455370,6734,6734
1504461123,6743,6743
1504464965,6736,6736
1504471204,6740,6740
1504475043,6719,6719
1504481523,6695,6695
1504491123,6664,6664
1504496883,6616,6616
1504504565,6658,6658
1504510324,6659,6659
1504514164,6674,6674
1504519923,6682,6682
1504521843,6670,6670
1504525683,6679,6679
1504529523,6698,6698
1504535283,6731,6731
1504539124,6717,6717
1504542963,6727,6727
1504550648,6734,6734
1504554723,6727,6727
1504556644,6731,6731
1504560483,6704,6704
1504570324,6694,6694
1504574163,6665,6665
1504579923,6656,6656
1504585683,6617,6617
1504589523,6628,6628
1504593363,6640,6640
1504597208,6665,6665
1504605123,6682,6682
1504609220,6684,6684
1504616883,6731,6731
1504624564,6736,6736
1504628406,6743,6743
1504635126,6742,6742
1504642805,6744,6744
1504646644,6724,6724
1504650485,6672,6672
1504654325,6654,6654
1504658164,6668,6668
1504663924,6648,6648
1504667763,6637,6637
1504675444,6623,6623
1504681214,6637,6637
1504688884,6662,6662
1504694643,6668,6668
1504702325,6672,6672
1504708086,6710,6710
1504715771,6741,6741
1504721768,6744,6744
1504725607,6736,6736
1504731366,6734,6734
1504735218,6694,6694
1504741205,6674,6674
1504750808,6672,6672
1504756564,6635,6635
1504764244,6645,6645
1504770005,6657,6657
1504775764,6664,6664
1504779844,6661,6661
1504783685,6681,6681
1504787524,6697,6697
1504791363,6722,6722
1504797124,6715,6715
1504804804,6744,6744
1504810814,6729,6729
1504812723,6711,6711
1504818485,6699,6699
1504826163,6649,6649
1504830003,6651,6651
1504835765,6635,6635
1504843444,6616,6616
1504851126,6600,6600
1504854964,6615,6615
1504860722,6637,6637
1504866486,6635,6635
1504872244,6623,6623
1504878005,6668,6668
1504879924,6674,6674
1504884484,6673,6673
1504888323,6695,6695
1504892163,6699,6699
1504896004,6691,6691
1504903683,6702,6702
1504911615,6649,6649
1504917365,6659,6659
1504921205,6640,6640
1504925044,6612,6612
1504932724,6600,6600
1504940416,6638,6638
1504946163,6667,6667
1504948325,6689,6689
1504954083,6683,6683
1504962014,6716,6716
