DateTime,AddedIPs,RemovedIPs
1505858447,23,30
1505860411,13,37
1505862265,12,21
1505864194,11,0
1505866113,8,39
1505868027,21,8
1505872358,14,38
1505874271,30,28
1505876181,18,22
1505878098,27,0
1505880024,14,0
1505881952,14,43
1505883861,29,0
1505885774,10,20
1505887711,11,20
1505889861,26,37
1505891792,25,19
1505893697,18,26
1505895628,8,10
1505897786,17,14
1505899691,8,8
1505901703,11,12
1505905502,7,24
1505907422,4,28
1505909820,12,0
1505911691,12,34
1505913633,24,29
1505915544,24,36
1505917457,26,23
1505919375,10,27
1505921300,25,22
1505923233,16,20
1505925176,16,17
1505927399,22,20
1505929620,31,14
1505931631,18,24
1505933536,15,24
1505935450,27,26
1505937367,13,0
1505939290,21,29
1505941207,23,8
1505947148,23,60
1505949148,24,14
1505951054,21,8
1505952969,23,11
1505954887,31,23
1505956818,21,0
1505958739,6,0
1505960654,29,15
1505962566,29,30
1505964490,31,13
1505968356,37,47
1505970269,23,30
1505972183,23,14
1505974111,26,0
1505976032,28,15
1505977953,27,23
1505979863,27,25
1505982035,15,28
1505983928,14,0
1505985858,16,8
1505987777,8,8
1505989702,12,11
1505991628,11,0
1505993547,16,11
1505995468,16,7
1505997385,12,10
1505999292,22,13
1506001225,21,20
1506003149,15,20
1506005063,17,23
1506006990,21,9
1506008902,27,24
1506010832,21,20
1506012749,13,19
1506014668,24,18
1506016592,20,30
1506018502,11,15
1506020419,7,12
1506022353,12,24
1506024269,7,12
1506026191,11,17
1506028109,9,28
1506030024,15,0
1506031954,15,0
1506033874,22,19
1506036061,24,22
1506037929,23,20
1506039856,23,28
1506041779,23,31
1506043693,17,21
1506045640,20,7
1506047551,31,28
1506049463,23,34
1506053302,32,26
1506055215,32,29
1506057141,30,31
1506060969,25,48
1506062902,35,30
1506064820,22,33
1506066743,18,24
1506068652,23,14
1506070584,22,18
1506072500,12,16
1506074442,11,10
1506076333,14,10
1506078261,11,9
1506080171,17,21
1506082099,17,15
1506086180,27,34
1506088097,22,21
1506090014,12,18
1506091933,17,16
1506093855,27,19
1506095783,13,29
1506097705,32,25
1506101552,11,31
1506103474,11,18
1506105372,21,14
1506107297,18,9
1506109212,13,12
1506111166,24,5
1506113062,21,15
1506117157,18,17
1506119187,31,16
1506121480,20,27
1506123388,20,26
1506125308,25,21
1506127218,23,22
1506129143,35,22
1506131054,36,17
1506132981,18,17
1506134907,25,25
1506136827,25,27
1506138740,23,0
1506140661,30,32
1506142587,26,26
1506144493,29,32
1506148343,25,26
1506150260,20,29
1506152435,22,25
1506154357,18,20
1506156274,11,23
1506158191,9,28
1506160099,11,10
1506163957,8,24
1506165855,26,12
1506167775,11,11
1506169697,28,15
1506171638,17,0
1506173546,23,24
1506175709,23,22
1506177630,25,15
1506179556,17,23
1506181467,17,24
1506183395,26,14
1506185308,26,29
1506187228,19,0
1506189152,24,9
1506191073,20,16
1506192973,10,23
1506194898,20,19
1506196844,15,7
1506198750,19,23
1506200909,17,23
1506203072,30,0
1506204978,24,19
1506206916,25,30
1506208824,19,25
1506212651,18,36
1506214841,24,28
1506216744,27,28
1506218664,21,32
1506220571,27,17
1506222509,26,25
1506224411,20,29
1506226346,33,24
1506228257,39,32
1506230177,33,23
1506232089,29,30
1506234028,27,0
1506235943,18,24
1506238096,24,24
1506240029,17,23
1506241951,8,17
1506243861,16,10
1506245789,11,8
1506247706,12,8
1506249629,9,0
1506251552,16,3
1506253460,16,26
1506255388,25,8
1506257296,28,24
1506259222,16,16
1506261150,14,28
1506264971,9,50
1506268841,17,30
1506270754,17,20
1506272659,7,28
1506274587,6,19
1506278658,19,41
1506280604,25,15
1506282507,19,18
1506284430,15,20
1506286328,17,20
1506288260,16,15
1506290178,9,27
1506292102,28,25
1506294021,9,28
1506296198,7,16
1506298105,6,0
1506300027,1,17
1506301938,32,27
1506303865,12,22
1506305785,27,28
1506307711,23,25
1506309611,15,31
1506311548,22,20
1506313454,28,32
1506315383,33,40
1506317299,24,32
1506319224,18,29
1506321154,6,27
1506323068,10,19
1506326908,20,50
1506328811,7,9
1506330754,7,17
1506332656,5,14
1506334592,10,15
1506336506,8,10
1506340341,14,36
1506342255,13,28
1506344174,10,32
1506346096,22,16
1506348024,8,16
1506350680,25,0
1506352576,33,13
1506354498,18,0
1506358356,14,38
1506360258,27,9
1506362195,10,10
1506364116,34,0
1506366274,9,20
1506368170,22,30
1506372020,6,36
1506373943,11,19
1506375851,29,19
1506377782,3,4
1506379702,21,22
1506381609,13,11
1506383526,10,7
1506385451,36,6
1506387376,5,3
1506389289,27,29
1506391218,25,12
1506393145,8,33
1506395058,5,26
1506396967,41,18
1506398888,31,25
1506400820,14,31
1506402749,37,35
1506404651,32,21
1506408490,22,34
1506410420,13,12
1506412348,27,0
1506414249,15,22
1506416171,3,6
1506418088,9,10
1506420043,9,3
1506421931,7,13
1506423855,10,9
1506425785,6,0
1506427694,5,11
1506429623,4,11
1506431539,13,8
1506433451,22,28
1506435414,22,8
1506437311,23,23
1506439474,22,30
1506441395,14,23
1506443310,18,0
1506445247,7,12
1506447160,8,29
1506449067,16,10
1506450974,5,28
1506453154,15,11
1506455067,29,19
1506456995,9,0
1506458902,21,4
1506460830,23,10
1506462735,10,27
1506464912,27,5
1506466817,10,20
1506468995,9,14
1506470902,19,8
1506472830,25,32
