DateTime,AddedIPs,RemovedIPs
1505858447,40,43
1505860411,23,36
1505862265,21,25
1505864194,27,21
1505866113,20,25
1505868027,40,20
1505872358,36,38
1505874271,47,40
1505876181,32,42
1505878098,48,31
1505880024,38,47
1505881952,34,43
1505883861,50,35
1505885774,30,52
1505887711,22,30
1505889861,45,23
1505891792,44,40
1505893697,32,38
1505895628,16,40
1505897786,33,18
1505899691,19,33
1505901703,24,20
1505905502,24,21
1505907422,14,26
1505909820,22,15
1505911691,21,26
1505913633,50,19
1505915544,38,44
1505917457,41,39
1505919375,23,42
1505921300,45,24
1505923233,41,41
1505925176,34,41
1505927399,39,34
1505929620,50,43
1505931631,35,51
1505933536,33,29
1505935450,44,34
1505937367,35,49
1505939290,41,32
1505941207,43,41
1505947148,40,46
1505949148,44,38
1505951054,41,42
1505952969,46,40
1505954887,46,46
1505956818,49,45
1505958739,17,49
1505960654,52,19
1505962566,46,50
1505964490,50,51
1505968356,59,50
1505970269,39,47
1505972183,45,52
1505974111,47,39
1505976032,51,47
1505977953,49,53
1505979863,47,51
1505982035,26,49
1505983928,34,29
1505985858,25,32
1505987777,20,26
1505989702,21,19
1505991628,20,23
1505993547,39,17
1505995468,31,32
1505997385,28,35
1505999292,39,26
1506001225,41,39
1506003149,32,37
1506005063,30,35
1506006990,34,31
1506008902,43,39
1506010832,44,38
1506012749,29,46
1506014668,36,31
1506016592,43,34
1506018502,34,43
1506020419,21,39
1506022353,33,18
1506024269,17,32
1506026191,25,14
1506028109,12,28
1506030024,23,14
1506031954,33,22
1506033874,39,29
1506036061,41,42
1506037929,45,34
1506039856,40,45
1506041779,46,47
1506043693,41,41
1506045640,39,35
1506047551,50,45
1506049463,41,46
1506053302,53,46
1506055215,48,53
1506057141,52,50
1506060969,42,46
1506062902,45,45
1506064820,41,45
1506066743,45,41
1506068652,44,44
1506070584,39,46
1506072500,21,44
1506074442,19,25
1506076333,24,17
1506078261,23,25
1506080171,34,22
1506082099,35,30
1506086180,44,36
1506088097,43,39
1506090014,30,42
1506091933,32,32
1506093855,41,36
1506095783,34,40
1506097705,52,33
1506101552,35,52
1506103474,29,30
1506105372,40,33
1506107297,41,41
1506109212,19,42
1506111166,39,21
1506113062,41,36
1506117157,35,41
1506119187,45,38
1506121480,45,45
1506123388,46,41
1506125308,41,46
1506127218,41,42
1506129143,56,44
1506131054,56,53
1506132981,42,52
1506134907,42,41
1506136827,47,47
1506138740,42,48
1506140661,42,40
1506142587,48,44
1506144493,43,50
1506148343,44,44
1506150260,50,40
1506152435,42,49
1506154357,26,46
1506156274,20,29
1506158191,14,21
1506160099,20,13
1506163957,14,21
1506165855,47,11
1506167775,25,47
1506169697,42,22
1506171638,33,45
1506173546,51,31
1506175709,45,48
1506177630,41,44
1506179556,32,45
1506181467,34,33
1506183395,51,35
1506185308,46,46
1506187228,36,49
1506189152,37,32
1506191073,41,42
1506192973,33,41
1506194898,31,31
1506196844,42,27
1506198750,38,45
1506200909,38,39
1506203072,49,36
1506204978,44,51
1506206916,40,45
1506208824,29,42
1506212651,30,31
1506214841,51,27
1506216744,48,51
1506218664,47,39
1506220571,49,51
1506222509,51,46
1506224411,36,56
1506226346,51,34
1506228257,60,53
1506230177,56,63
1506232089,55,52
1506234028,49,56
1506235943,41,44
1506238096,49,40
1506240029,33,52
1506241951,19,36
1506243861,29,23
1506245789,18,29
1506247706,27,22
1506249629,17,25
1506251552,28,17
1506253460,40,26
1506255388,44,36
1506257296,42,44
1506259222,29,45
1506261150,40,28
1506264971,19,39
1506268841,33,23
1506270754,33,31
1506272659,16,31
1506274587,17,19
1506278658,29,18
1506280604,44,29
1506282507,35,44
1506284430,31,34
1506286328,31,31
1506288260,34,31
1506290178,16,36
1506292102,42,13
1506294021,15,44
1506296198,18,16
1506298105,8,18
1506300027,15,7
1506301938,52,9
1506303865,28,53
1506305785,53,29
1506307711,47,51
1506309611,28,49
1506311548,45,29
1506313454,53,44
1506315383,50,50
1506317299,33,54
1506319224,42,26
1506321154,16,47
1506323068,22,18
1506326908,32,22
1506328811,13,34
1506330754,16,16
1506332656,7,16
1506334592,20,6
1506336506,13,18
1506340341,21,14
1506342255,23,20
1506344174,25,23
1506346096,41,25
1506348024,15,44
1506350680,47,14
1506352576,48,47
1506354498,37,43
1506358356,22,39
1506360258,35,23
1506362195,18,36
1506364116,49,17
1506366274,16,50
1506368170,39,15
1506372020,14,35
1506373943,17,21
1506375851,45,15
1506377782,15,46
1506379702,30,13
1506381609,21,29
1506383526,22,21
1506385451,50,25
1506387376,11,50
1506389289,47,11
1506391218,43,41
1506393145,17,47
1506395058,15,18
1506396967,65,13
1506398888,49,62
1506400820,31,52
1506402749,51,26
1506404651,50,52
1506408490,39,54
1506410420,30,34
1506412348,40,30
1506414249,22,46
1506416171,7,22
1506418088,13,10
1506420043,15,13
1506421931,14,14
1506423855,16,12
1506425785,17,17
1506427694,11,15
1506429623,10,12
1506431539,25,12
1506433451,38,23
1506435414,51,38
1506437311,47,46
1506439474,38,51
1506441395,24,36
1506443310,32,23
1506445247,17,39
1506447160,17,15
1506449067,27,15
1506450974,16,29
1506453154,35,16
1506455067,50,33
1506456995,16,53
1506458902,35,15
1506460830,44,31
1506462735,23,44
1506464912,41,27
1506466817,27,40
1506468995,13,25
1506470902,37,17
1506472830,43,35
1506476661,26,41
1506478591,45,21
1506480507,44,50
1506482409,59,48
1506484351,50,54
1506486257,34,46
1506488185,57,37
1506490104,43,53
1506492037,40,43
1506493981,34,42
1506495868,36,33
1506497783,41,43
1506499717,46,38
1506501630,19,50
1506503553,16,21
1506505457,26,16
1506507384,15,27
1506509307,15,12
1506512192,28,13
1506514349,23,27
1506516267,43,25
1506518191,44,41
1506520091,37,41
1506522022,19,43
1506523942,30,19
1506525856,38,27
1506528046,14,41
1506529947,12,15
1506531875,15,12
1506533800,23,15
1506535852,30,19
1506539767,22,30
1506541703,53,19
1506543606,35,52
1506545525,14,42
1506547448,42,14
1506549634,24,42
1506551533,21,23
1506553460,26,20
1506555376,18,26
1506557290,24,16
1506559217,19,27
1506563058,35,16
1506564972,44,33
1506566897,35,44
1506568815,51,37
1506570735,55,49
1506572648,37,57
1506574566,51,36
1506576484,49,52
1506578418,40,43
1506580356,34,48
1506582255,24,32
1506584170,26,27
1506586087,28,27
1506588016,22,26
1506589940,17,23
1506591861,19,19
1506594029,14,19
1506595942,20,15
1506597867,23,19
1506599771,14,23
1506601687,55,15
1506603628,32,52
1506605543,50,32
1506607463,46,43
1506609381,25,52
1506611303,22,27
1506613208,17,22
1506615145,16,15
1506617053,33,18
1506618971,17,32
1506620909,30,17
1506622825,18,30
1506624730,36,16
1506626650,48,37
1506628566,32,45
1506630490,47,33
1506632432,30,47
1506634342,46,31
1506636262,24,44
1506638191,35,27
1506640369,48,33
1506642254,40,46
1506644433,31,42
1506646353,28,30
1506648255,46,33
1506650171,30,47
1506652100,50,24
1506654031,49,49
1506655949,21,49
1506659790,42,21
1506661698,39,40
1506663869,41,43
1506665790,28,42
1506667706,35,24
1506669618,37,34
1506671533,26,43
1506673454,32,28
1506675385,23,28
1506677294,23,26
1506679242,21,24
1506681153,10,21
1506683066,13,11
1506684974,17,13
1506686900,13,15
1506688829,40,14
1506690750,47,34
1506692655,48,46
1506694599,36,48
1506696498,43,38
1506698424,47,42
1506700342,44,43
1506702504,42,51
1506706356,35,45
1506708260,22,31
1506710199,29,22
1506712096,16,28
1506714023,53,21
1506715946,56,51
1506717864,40,52
1506719795,31,41
1506721704,46,31
1506723656,29,47
1506728660,50,30
1506732494,37,52
1506734441,39,39
1506738275,41,38
1506740181,55,37
1506742363,28,57
1506746197,39,25
1506750027,28,42
1506751946,45,27
1506753864,35,35
1506755787,42,40
1506757713,43,41
1506759624,28,49
1506761556,24,32
1506763455,24,23
1506767294,19,26
1506769388,16,17
