DateTime,AddedIPs,RemovedIPs
1501403435,8,7
1501414283,2,9
1501425325,9,7
1501436507,6,5
1501447705,7,4
1501457881,4,6
1501468438,9,6
1501479322,8,5
1501490359,5,2
1501501379,6,5
1501512708,8,6
1501523628,6,1
1501534763,5,6
1501545692,3,4
1501556198,3,4
1501567241,4,2
1501578397,8,6
1501589504,11,5
1501600682,10,6
1501612332,17,5
1501623314,11,14
1501634390,11,5
1501645344,10,3
1501656498,13,1
1501667352,10,4
1501678195,14,4
1501689107,5,3
1501699964,9,9
1501710717,15,2
1501722078,8,11
1501732943,13,4
1501743844,8,5
1501754768,11,7
1501765646,5,11
1501776685,8,5
1501787560,1,6
1501798527,9,4
1501809610,3,5
1501820481,2,4
1501831398,3,6
1501842439,3,5
1501853483,4,4
1501864581,5,10
1501875491,4,6
1501886391,4,7
1501897393,3,6
1501908514,3,0
1501919498,5,3
1501930275,1,3
1501941696,3,3
1501952792,4,3
1501963896,4,7
1501974969,5,9
1501985908,2,4
1501996927,6,10
1502007732,6,10
1502018580,6,4
1502029665,6,6
1502040738,4,4
1502051884,4,8
1502062708,3,7
1502073813,6,10
1502084863,2,6
1502095849,6,7
1502106844,7,5
1502117776,3,4
1502128891,3,3
1502139814,3,5
1502150485,4,9
1502161681,8,8
1502172759,3,4
1502183734,6,9
1502194393,3,8
1502205313,3,4
1502216247,5,9
1502227187,3,6
1502238397,3,9
1502249606,3,9
1502260418,6,5
1502271242,5,11
1502282121,4,10
1502293152,5,10
1502304023,4,4
1502314860,3,2
1502325696,8,4
1502336478,5,0
1502347441,2,4
1502358302,5,2
1502369175,7,10
1502380301,3,7
1502391555,1,5
1502402695,5,8
1502413676,8,3
1502424628,5,6
1502435674,6,4
1502446670,4,2
1502457406,4,9
1502468238,8,5
1502479176,15,7
1502490138,12,3
1502501030,4,8
1502511790,8,3
1502522920,9,3
1502533910,15,5
1502544985,11,6
1502555924,12,8
1502567023,8,7
1502578302,15,10
1502589393,9,8
1502600211,13,3
1502611288,9,2
1502622429,6,3
1502633381,4,4
1502644494,5,5
1502655743,10,5
1502666827,6,8
1502678012,3,4
1502689214,6,3
1502700229,2,3
1502711139,5,10
1502722113,10,4
1502733199,7,5
1502743991,8,7
1502754859,5,5
1502765623,3,9
1502776390,4,8
1502787550,6,4
1502798203,4,10
1502809292,6,6
1502819917,7,5
1502830843,10,5
1502841695,5,6
1502852636,1,6
1502863480,7,5
1502874738,9,1
1502885772,6,5
1502896816,3,10
1502908097,7,14
1502919088,6,18
1502930413,2,12
1502941408,7,9
1502951534,3,9
1502962412,0,8
1502973290,5,9
1502984660,2,7
1502995639,1,7
1503006435,4,7
1503017701,5,6
1503028615,7,4
1503039352,3,6
1503050222,8,4
1503061182,4,6
1503072382,7,3
1503083452,9,5
1503095005,3,10
1503105947,2,5
1503116870,10,5
1503128021,6,2
1503138852,7,3
1503149659,3,6
1503160285,5,6
1503171353,1,5
1503182334,5,8
1503193338,8,0
1503204509,4,0
1503215416,9,3
1503226243,6,7
1503237312,3,5
1503248435,4,5
1503259456,5,5
1503270503,6,8
1503281607,4,2
1503292453,4,5
1503303322,1,4
1503314294,6,12
1503325364,4,5
1503337215,2,4
1503348421,4,2
1503376041,7,21
1503387028,3,5
1503398148,9,5
1503409206,5,10
1503420178,1,6
1503431260,5,3
1503442240,3,9
1503453332,6,10
1503464152,5,2
1503474977,5,3
1503486014,8,6
1503497219,16,7
1503508218,6,2
1503519380,1,7
1503530390,5,2
1503541204,13,6
1503552092,7,2
1503563244,4,3
1503574284,9,5
1503585369,5,4
1503596355,11,7
1503607382,7,7
1503618431,7,5
1503629676,12,0
1503640722,3,3
1503651637,4,5
1503662628,7,10
1503673650,3,6
1503684725,1,6
1503695748,1,9
1503706690,3,6
1503717857,2,14
1503728638,3,5
1503739701,5,3
1503750449,9,7
1503761251,6,5
1503772490,12,4
1503783538,6,7
1503794537,6,2
1503805669,4,5
1503816736,5,7
1503827672,4,4
1503838839,6,8
1503849815,6,5
1503861100,9,7
1503871352,4,7
1503882599,2,6
1503893462,5,6
1503904552,12,5
1503915563,6,4
1503926610,3,6
1503937838,9,13
1503948943,1,9
1503959899,7,12
1503971015,3,9
1503982088,4,4
1503993138,6,8
1504004053,6,10
1504015214,10,7
1504026230,8,6
1504037133,4,3
1504048066,2,4
1504058994,3,5
1504069882,7,7
1504080956,5,6
1504091924,8,13
1504103040,10,10
1504114077,6,5
1504124970,13,7
1504135735,6,7
1504146923,7,3
1504157898,7,4
1504168662,11,7
1504179558,7,16
1504190583,12,15
1504202125,12,21
1504213142,8,14
1504223996,7,6
1504234945,7,9
