DateTime,Entries,UniqueIPs
1501403435,1134,1134
1501414283,1127,1127
1501425325,1129,1129
1501436507,1130,1130
1501447705,1133,1133
1501457881,1131,1131
1501468438,1134,1134
1501479322,1137,1137
1501490359,1140,1140
1501501379,1141,1141
1501512708,1143,1143
1501523628,1148,1148
1501534763,1147,1147
1501545692,1146,1146
1501556198,1145,1145
1501567241,1147,1147
1501578397,1149,1149
1501589504,1155,1155
1501600682,1159,1159
1501612332,1171,1171
1501623314,1168,1168
1501634390,1174,1174
1501645344,1181,1181
1501656498,1193,1193
1501667352,1199,1199
1501678195,1209,1209
1501689107,1211,1211
1501699964,1211,1211
1501710717,1224,1224
1501722078,1221,1221
1501732943,1230,1230
1501743844,1233,1233
1501754768,1237,1237
1501765646,1231,1231
1501776685,1234,1234
1501787560,1229,1229
1501798527,1234,1234
1501809610,1232,1232
1501820481,1230,1230
1501831398,1227,1227
1501842439,1225,1225
1501853483,1225,1225
1501864581,1220,1220
1501875491,1218,1218
1501886391,1215,1215
1501897393,1212,1212
1501908514,1215,1215
1501919498,1217,1217
1501930275,1215,1215
1501941696,1215,1215
1501952792,1216,1216
1501963896,1213,1213
1501974969,1209,1209
1501985908,1207,1207
1501996927,1203,1203
1502007732,1199,1199
1502018580,1201,1201
1502029665,1201,1201
1502040738,1201,1201
1502051884,1197,1197
1502062708,1193,1193
1502073813,1189,1189
1502084863,1185,1185
1502095849,1184,1184
1502106844,1186,1186
1502117776,1185,1185
1502128891,1185,1185
1502139814,1183,1183
1502150485,1178,1178
1502161681,1178,1178
1502172759,1177,1177
1502183734,1174,1174
1502194393,1169,1169
1502205313,1168,1168
1502216247,1164,1164
1502227187,1161,1161
1502238397,1155,1155
1502249606,1149,1149
1502260418,1150,1150
1502271242,1144,1144
1502282121,1138,1138
1502293152,1133,1133
1502304023,1133,1133
1502314860,1134,1134
1502325696,1138,1138
1502336478,1143,1143
1502347441,1141,1141
1502358302,1144,1144
1502369175,1141,1141
1502380301,1137,1137
1502391555,1133,1133
1502402695,1130,1130
1502413676,1135,1135
1502424628,1134,1134
1502435674,1136,1136
1502446670,1138,1138
1502457406,1133,1133
1502468238,1136,1136
1502479176,1144,1144
1502490138,1153,1153
1502501030,1149,1149
1502511790,1154,1154
1502522920,1160,1160
1502533910,1170,1170
1502544985,1175,1175
1502555924,1179,1179
1502567023,1180,1180
1502578302,1185,1185
1502589393,1186,1186
1502600211,1196,1196
1502611288,1203,1203
1502622429,1206,1206
1502633381,1206,1206
1502644494,1206,1206
1502655743,1211,1211
1502666827,1209,1209
1502678012,1208,1208
1502689214,1211,1211
1502700229,1210,1210
1502711139,1205,1205
1502722113,1211,1211
1502733199,1213,1213
1502743991,1214,1214
1502754859,1214,1214
1502765623,1208,1208
1502776390,1204,1204
1502787550,1206,1206
1502798203,1200,1200
1502809292,1200,1200
1502819917,1202,1202
1502830843,1207,1207
1502841695,1206,1206
1502852636,1201,1201
1502863480,1203,1203
1502874738,1211,1211
1502885772,1212,1212
1502896816,1205,1205
