DateTime,Entries,UniqueIPs
1506428902,32824,32824
1506429855,32924,32924
1506430818,33039,33039
1506431785,33136,33136
1506432764,33205,33205
1506433714,33273,33273
1506434665,33335,33335
1506436857,33350,33350
1506437783,33265,33265
1506439007,32981,32981
1506439955,33100,33100
1506440911,32834,32834
1506441866,32921,32921
1506442833,32795,32795
1506443802,32488,32488
1506444736,32604,32604
1506445728,32413,32413
1506446671,32523,32523
1506447618,32000,32000
1506448602,31770,31770
1506449798,31494,31494
1506450751,31267,31267
1506451709,31257,31257
1506452669,31396,31396
1506453612,31488,31488
1506454596,31410,31410
1506455541,31550,31550
1506456518,31601,31601
1506457472,31579,31579
1506458432,31321,31321
1506459373,31172,31172
1506460369,31216,31216
1506461309,31266,31266
1506462262,31317,31317
1506463233,31329,31329
1506464502,31225,31225
1506465623,31262,31262
1506466586,31245,31245
1506467541,31245,31245
1506468513,31251,31251
1506469458,31265,31265
1506470426,31267,31267
1506471376,31266,31266
1506472356,31285,31285
1506473312,31342,31342
1506474266,31328,31328
1506475227,31433,31433
1506476192,31503,31503
1506477149,31539,31539
1506478107,31621,31621
1506479069,31685,31685
1506480013,31545,31545
1506480983,31240,31240
1506481939,31160,31160
1506482904,31156,31156
1506483868,31135,31135
1506484831,31097,31097
1506485786,31076,31076
1506486741,31045,31045
1506487705,31008,31008
1506488667,30948,30948
1506489619,30910,30910
1506490585,30850,30850
1506491555,30800,30800
1506492506,30795,30795
1506493457,30744,30744
1506494432,30748,30748
1506495385,30735,30735
1506496347,30718,30718
1506497304,30659,30659
1506498259,30617,30617
1506499238,30589,30589
1506500183,30554,30554
1506501143,30458,30458
1506502122,30377,30377
1506503077,30351,30351
1506504018,30354,30354
1506504987,30354,30354
1506505946,30323,30323
1506506907,30328,30328
1506507863,30329,30329
1506508826,30306,30306
1506509795,30336,30336
1506510745,30295,30295
1506511699,30284,30284
1506513922,30339,30339
1506514826,30335,30335
1506515790,30336,30336
1506516742,30317,30317
1506517718,30338,30338
1506518669,30379,30379
1506519632,30406,30406
1506520584,30403,30403
1506521582,30228,30228
1506522501,30376,30376
1506523464,30474,30474
1506524431,30442,30442
1506525397,30586,30586
1506526345,30629,30629
1506527563,30654,30654
1506528494,30709,30709
1506529459,30804,30804
1506530439,30865,30865
1506531407,30937,30937
1506532360,30968,30968
1506533306,31040,31040
1506534266,31068,31068
1506535230,31069,31069
1506536205,31113,31113
1506537140,31275,31275
1506538118,31114,31114
1506539082,31070,31070
1506540022,31065,31065
1506540999,31014,31014
1506541931,31067,31067
1506542935,30832,30832
1506543854,30889,30889
1506544843,30610,30610
1506545784,30572,30572
1506546755,30774,30774
1506547700,30960,30960
1506548671,31048,31048
1506549639,31228,31228
1506550606,31604,31604
1506551537,31950,31950
1506552507,32066,32066
1506553464,32155,32155
1506554430,32175,32175
1506555381,32211,32211
1506556353,32282,32282
1506557295,32270,32270
