DateTime,Entries,UniqueIPs
1506314412,5887,5993
1506315400,5881,5987
1506316333,5889,5996
1506317302,5890,5997
1506318265,5871,5978
1506319227,5875,5984
1506320179,5865,5974
1506321167,5864,5973
1506322102,5867,5976
1506323071,5864,5973
1506324011,5857,5964
1506324994,5864,5971
1506325934,5867,5974
1506326911,5868,5976
1506327874,5865,5973
1506328815,5862,5970
1506329783,5859,5968
1506330757,5859,5968
1506331701,5855,5962
1506332669,5852,5959
1506333623,5855,5962
1506334595,5854,5961
1506335535,5847,5954
1506336518,5844,5950
1506337460,5855,5961
1506338416,5860,5967
1506339393,5866,5973
1506340345,5888,5995
1506341293,5905,6013
1506342269,5909,6018
1506343223,5929,6038
1506344178,5943,6054
1506345159,5943,6054
1506346098,5955,6067
1506347052,5958,6070
1506348037,5958,6070
1506348996,5950,6062
1506350692,5955,6065
1506351613,5963,6072
1506352579,5958,6067
1506353553,5947,6056
1506354501,5945,6054
1506355462,5940,6049
1506356435,5944,6053
1506357376,5945,6055
1506358361,5943,6053
1506359293,5941,6052
1506360271,5936,6047
1506361210,5942,6053
1506362197,5944,6055
1506363137,5944,6055
1506364130,5942,6053
1506365055,5943,6053
1506366286,5953,6063
1506367221,5955,6065
1506368173,5947,6057
1506369410,5947,6057
1506370349,5948,6059
1506371295,5951,6062
1506372267,5952,6064
1506373231,5955,6068
1506374181,5957,6071
1506375156,5955,6069
1506376103,5957,6071
1506377062,5952,6066
1506378010,5953,6068
1506378993,5954,6069
1506379932,5955,6070
1506380904,5955,6070
1506381853,5947,6060
1506382825,5946,6059
1506383779,5955,6068
1506384735,5956,6069
1506385706,5937,6050
1506386666,5929,6043
1506387618,5929,6043
1506388573,5935,6049
1506389545,5900,6013
1506390492,5905,6018
1506391469,5884,5997
1506392421,5878,5991
1506393370,5880,5993
1506394352,5879,5993
1506395293,5881,5995
1506396255,5881,5995
1506397222,5882,5998
1506398177,5884,5998
1506399149,5887,6001
1506400093,5887,6001
1506401052,5890,6004
1506402039,5891,6005
1506402973,5905,6019
1506403949,5909,6023
1506404892,5917,6031
1506405868,5913,6026
1506406821,5916,6029
1506407775,5921,6034
1506408741,5924,6038
1506409705,5927,6040
1506410656,5930,6043
1506411625,5931,6044
1506412574,5922,6035
1506413554,5926,6039
1506414489,5926,6039
1506415455,5921,6034
1506416426,5931,6045
1506417384,5923,6035
1506418349,5922,6034
1506419293,5922,6034
1506420258,5918,6029
1506421220,5908,6018
1506422182,5904,6014
1506423130,5905,6015
1506424104,5905,6016
1506425064,5902,6012
1506426022,5899,6009
1506426981,5892,6001
1506427945,5902,6011
1506428900,5895,6004
1506429853,5904,6014
1506430816,5907,6017
1506431783,5911,6022
1506432762,5898,6008
1506433711,5903,6013
1506434662,5896,6006
1506436854,5887,5998
1506437780,5889,6000
1506439004,5887,5998
1506439952,5881,5991
1506440909,5874,5984
1506441864,5875,5984
1506442830,5879,5988
1506443799,5876,5985
1506444734,5868,5977
1506445726,5868,5977
1506446669,5872,5980
1506447615,5863,5971
1506448600,5855,5963
1506449796,5844,5952
1506450749,5845,5953
1506451706,5840,5948
1506452667,5834,5942
1506453609,5839,5947
1506454593,5840,5948
1506455539,5846,5954
1506456516,5836,5944
1506457469,5835,5943
1506458430,5836,5944
1506459370,5839,5947
1506460367,5846,5954
1506461306,5849,5956
1506462259,5855,5962
1506463231,5851,5958
1506464500,5856,5963
1506465621,5860,5967
1506466583,5857,5964
1506467538,5866,5973
1506468510,5862,5968
1506469456,5867,5974
1506470423,5870,5977
1506471374,5872,5978
1506472354,5863,5969
1506473310,5853,5959
1506474263,5856,5962
1506475225,5854,5960
1506476190,5848,5954
1506477147,5839,5945
1506478105,5831,5937
1506479067,5829,5935
1506480011,5819,5927
1506480981,5827,5934
1506481937,5823,5930
1506482902,5819,5926
1506483865,5830,5938
1506484829,5822,5930
1506485784,5821,5929
1506486739,5822,5930
1506487702,5821,5930
1506488665,5822,5931
1506489617,5827,5936
1506490582,5827,5936
1506491553,5824,5934
1506492504,5815,5925
1506493454,5817,5928
1506494429,5824,5937
1506495383,5819,5932
1506496344,5821,5934
1506497302,5813,5926
1506498257,5801,5914
1506499236,5797,5911
1506500181,5794,5908
1506501141,5803,5917
1506502120,5791,5905
1506503075,5798,5912
1506504016,5812,5926
1506504985,5798,5912
1506505944,5796,5910
1506506905,5802,5916
1506507860,5805,5919
1506508823,5783,5895
1506509793,5784,5896
1506510743,5786,5898
1506511697,5773,5885
1506513920,5780,5892
1506514823,5777,5889
1506515788,5774,5887
1506516739,5782,5895
1506517716,5775,5888
1506518667,5773,5886
1506519630,5772,5885
1506520582,5767,5880
1506521580,5759,5872
1506522499,5751,5862
1506523462,5754,5865
1506524428,5748,5858
1506525395,5743,5853
1506526343,5742,5852
1506527560,5736,5846
1506528492,5721,5831
1506529457,5713,5823
1506530437,5700,5810
1506531405,5700,5810
1506532358,5693,5803
1506533304,5684,5794
1506534264,5686,5796
1506535227,5693,5803
1506536202,5701,5811
1506537138,5696,5806
1506538116,5709,5820
1506539079,5703,5814
