DateTime,AddedIPs,RemovedIPs
1506314415,623,623
1506315402,907,907
1506316335,655,655
1506317305,857,857
1506318267,560,560
1506319230,739,739
1506320181,811,811
1506321169,637,637
1506322104,721,721
1506323073,930,930
1506324013,857,857
1506324996,1282,1282
1506325937,1040,1040
1506326913,1415,1415
1506327877,1803,1803
1506328818,828,828
1506329785,718,718
1506330759,434,434
1506331703,473,473
1506332671,499,499
1506333626,575,575
1506334597,465,465
1506335537,601,601
1506336521,408,408
1506337462,637,637
1506338418,492,492
1506339395,438,438
1506340347,772,772
1506341295,588,588
1506342272,513,513
1506343225,412,412
1506344181,323,323
1506345162,314,314
1506346101,237,237
1506347054,228,228
1506348039,335,335
1506348999,324,324
1506350694,995,995
1506351615,773,773
1506352582,868,868
1506353556,1117,1117
1506354503,540,540
1506355469,1101,1101
1506356437,952,952
1506357379,1054,1054
1506358363,700,700
1506359295,777,777
1506360273,674,674
1506361212,1289,1289
1506362200,1366,1366
1506363139,1394,1394
1506364132,1713,1713
1506365058,1184,1184
1506366289,590,590
1506367223,439,439
1506368175,472,472
1506369412,648,648
1506370352,476,476
1506371297,873,873
1506372270,1751,1751
1506373233,1539,1539
1506374183,633,633
1506375158,824,824
1506376105,658,658
1506377064,809,809
1506378012,926,926
1506378995,695,695
1506379935,835,835
1506380906,816,816
1506381856,791,791
1506382827,955,955
1506383781,919,919
1506384737,952,952
1506385708,823,823
1506386668,584,584
1506387620,527,527
1506388576,549,549
1506389548,429,429
1506390494,404,404
1506391471,418,418
1506392423,494,494
1506393372,347,347
1506394355,1183,1183
1506395295,1613,1613
1506396257,1004,1004
1506397224,729,729
1506398180,751,751
1506399151,804,804
1506400096,753,753
1506401054,667,667
1506402041,818,818
1506402975,659,659
1506403951,826,826
1506404895,862,862
1506405871,771,771
1506406824,654,654
1506407778,633,633
1506408744,772,772
1506409707,704,704
1506410658,592,592
1506411627,792,792
1506412576,748,748
1506413556,698,698
1506414491,854,854
1506415457,834,834
1506416428,854,854
1506417386,621,621
1506418351,772,772
1506419295,593,593
1506420261,722,722
1506421223,709,709
1506422186,730,730
1506423133,726,726
1506424106,650,650
1506425067,754,754
1506426024,701,701
1506426983,660,660
1506427947,829,829
1506428902,604,604
1506429855,680,680
1506430818,762,762
1506431785,675,675
1506432764,702,702
1506433714,758,758
1506434665,746,746
1506436857,1569,1569
1506437783,682,682
1506439007,910,910
1506439955,625,625
1506440911,766,766
1506441866,537,537
1506442833,746,746
