DateTime,Entries,UniqueIPs
1504422024,342,342
1504429222,341,341
1504432821,339,339
1504436422,339,339
1504440021,336,336
1504450821,333,333
1504454421,326,326
1504458020,321,321
1504468821,321,321
1504476020,322,322
1504483220,321,321
1504486821,321,321
1504490420,324,324
1504494021,324,324
1504515620,325,325
1504519222,328,328
1504522820,327,327
1504526434,328,328
1504530021,327,327
1504533621,328,328
1504544421,327,327
1504551668,394,394
1504558874,418,418
1504562426,420,420
1504566025,419,419
1504569625,420,420
1504573243,421,421
1504580425,422,422
1504584051,423,423
1504591245,424,424
1504594869,421,421
1504598426,420,420
1504609244,422,422
1504616425,423,423
1504620025,422,422
1504623625,421,421
1504627271,420,420
1504630825,418,418
1504634425,417,417
1504638025,416,416
1504641625,417,417
1504645225,416,416
1504648825,415,415
1504652425,412,412
1504656025,411,411
1504659625,410,410
1504663225,420,420
1504666826,434,434
1504670426,436,436
1504674026,435,435
1504681226,434,434
1504684826,433,433
1504688433,432,432
1504692026,431,431
1504695626,429,429
1504699226,427,427
1504702826,426,426
1504706427,425,425
1504710026,425,425
1504713630,423,423
1504717225,416,416
1504720825,413,413
1504724427,408,408
1504731625,407,407
1504735231,406,406
1504738824,405,405
1504742425,405,405
1504749624,402,402
1504756824,401,401
1504764024,399,399
1504767624,400,400
1504771245,402,402
1504774824,404,404
1504778424,402,402
1504782024,400,400
1504785624,397,397
1504789223,395,395
1504792824,396,396
1504796472,403,403
1504800025,403,403
1504803631,404,404
1504807224,401,401
1504810824,397,397
1504814423,396,396
1504821677,394,394
1504825260,393,393
1504832424,392,392
1504836023,388,388
1504839623,385,385
1504843223,382,382
1504850469,380,380
1504854023,375,375
1504857623,373,373
1504861222,368,368
1504864823,366,366
1504868422,361,361
1504872057,360,360
1504875648,361,361
1504879222,357,357
1504882822,357,357
1504886422,354,354
1504893642,353,353
1504897222,349,349
1504900822,344,344
1504904421,349,349
1504908021,351,351
1504929622,352,352
1504936822,353,353
1504940421,354,354
1504944023,356,356
1504947622,357,357
1504951222,358,358
1504954823,358,358
1504958471,358,358
1504965623,357,357
1504969243,356,356
1504972822,355,355
1504976422,354,354
1504980022,355,355
1504990822,355,355
1505001628,353,353
1505005233,352,352
