DateTime,AddedIPs,RemovedIPs
1504854121,3,6
1504857719,1,3
1504861320,0,2
1504864920,1,0
1504868516,1,2
1504872120,2,0
1504875720,1,1
1504879321,1,2
1504882920,5,0
1504886520,2,3
1504890121,2,1
1504893721,0,6
1504897319,1,0
1504900918,3,1
1504904518,1,1
1504908120,1,2
1504911720,7,1
1504915322,6,1
1504918925,6,0
1504922516,2,1
1504926116,1,0
1504929713,0,1
1504933315,3,2
1504936918,1,0
1504940518,6,0
1504944118,1,1
1504947717,2,0
1504951318,2,0
1504954919,2,1
1504958518,1,0
1504962118,0,2
1504965715,3,3
1504969317,3,0
1504972917,1,0
1504976517,2,0
1504980116,0,1
1504983718,3,0
1504987318,1,3
1504990918,0,1
1504994525,4,1
1504998102,1,1
1505001713,2,3
1505005322,0,3
1505008920,3,2
1505012518,1,0
1505016119,2,1
1505019715,2,0
1505023317,2,0
1505026917,4,2
1505030518,1,1
1505034115,1,0
1505037715,1,1
1505041317,2,2
1505044918,2,1
1505048517,1,1
1505052117,5,0
1505055716,1,0
1505059314,0,1
1505066515,0,3
1505070116,3,0
1505073715,1,1
1505077315,2,3
1505080914,3,1
1505084513,1,1
1505088106,3,2
1505091713,8,0
1505095313,2,1
1505098908,2,1
1505102514,2,1
1505109704,0,1
1505113301,0,2
1505116903,1,3
1505120510,2,1
1505124100,1,0
1505127713,3,2
1505131311,1,2
1505134915,0,2
1505138515,1,0
1505142117,2,1
1505145718,0,3
1505149318,5,0
1505152919,0,2
1505156520,6,2
1505160122,3,0
1505163723,1,2
1505167323,0,1
1505170920,4,2
1505174521,2,1
1505178121,1,2
1505181718,1,2
1505185317,1,3
1505188916,0,2
1505192514,0,1
1505196111,2,2
1505199715,2,3
1505203315,1,2
1505206912,2,1
1505210512,0,1
1505214109,3,4
1505217712,1,6
1505221310,3,7
1505224913,5,8
1505228510,0,2
1505232110,4,4
1505235710,1,0
1505239311,1,0
1505242911,1,3
1505246515,4,2
1505250114,1,2
1505253715,2,1
1505257316,2,2
1505260913,3,0
1505264512,1,2
1505268115,3,0
1505271714,1,1
