DateTime,AddedIPs,RemovedIPs
1505006146,44,92
1505009749,79,83
1505013341,40,82
1505016941,35,73
1505020537,30,81
1505024134,26,80
1505027734,26,80
1505031331,26,77
1505034930,32,86
1505038527,29,86
1505042123,29,91
1505045720,31,83
1505049319,28,94
1505052918,23,85
1505056509,20,81
1505060109,31,98
1505063709,28,99
1505067299,37,95
1505070899,29,82
1505074498,28,72
1505078095,29,85
1505081689,24,80
1505085286,31,109
1505088888,22,93
1505092479,27,84
1505096074,14,85
1505099672,17,90
1505103270,30,88
1505106866,21,83
1505110463,22,94
1505114059,20,87
1505117657,23,104
1505121254,16,77
1505124849,22,74
1505128449,18,82
1505132039,25,80
1505135643,25,70
1505139241,22,95
1505142840,29,89
1505146436,28,96
1505150028,19,110
1505153630,25,80
1505157224,23,81
1505160820,22,86
1505164418,23,86
1505168016,16,74
1505171610,26,66
1505175212,27,79
1505178807,32,74
1505182401,25,81
1505185989,28,67
1505189596,28,74
1505193191,34,79
1505196787,49,76
1505200390,47,77
1505203989,48,87
1505207582,58,91
1505211180,48,79
1505214777,56,87
1505218380,56,93
1505221979,77,83
1505225581,71,124
1505229175,52,119
1505232772,66,98
1505236370,57,113
1505239966,62,112
1505243564,51,117
1505247164,48,99
1505250760,46,86
1505254358,39,84
1505257956,41,124
1505261549,39,105
1505265144,32,99
1505268743,28,107
1505272340,38,94
1505275939,26,99
1505279532,29,108
1505283129,39,91
1505286728,29,106
1505290321,15,90
1505293921,30,90
1505297517,35,107
1505301114,18,85
1505304706,31,101
1505308305,29,115
1505311902,34,113
1505315499,40,92
1505319098,35,86
1505322697,32,93
1505326291,29,103
1505329884,22,88
1505333483,22,84
1505337080,28,85
1505340677,24,89
1505344273,35,91
1505347874,19,88
1505351471,100,91
1505355073,95,88
1505358669,55,85
1505362266,50,93
1505365863,35,82
1505369464,36,71
1505373060,23,101
1505376656,28,101
1505380252,21,72
1505383854,28,85
1505387444,23,93
1505391042,34,91
1505394642,28,85
1505398237,16,87
1505401837,35,70
1505405436,34,79
1505409032,29,80
1505412630,26,100
1505416225,18,85
1505419824,25,75
1505423417,27,89
1505427015,19,82
1505430612,32,77
1505434212,16,76
1505437808,15,72
1505441403,23,69
1505444999,20,87
1505448598,20,78
1505452195,22,97
1505455792,17,85
1505459386,17,83
1505462982,18,84
1505466584,14,75
1505470178,18,117
1505473774,20,82
1505477370,19,83
1505480968,27,105
1505484563,18,94
1505488160,16,90
1505491758,29,79
1505495356,27,109
1505498951,17,83
1505502546,18,73
1505506144,18,96
1505509742,24,66
1505513338,17,76
1505516935,20,76
1505520537,26,67
1505524128,17,75
1505527725,16,89
1505531322,13,90
1505534923,14,63
1505538517,11,47
1505542116,24,55
1505545717,15,53
1505549312,17,54
1505552910,16,61
1505556509,10,66
1505560106,18,58
1505563702,25,59
1505567300,15,70
1505570900,16,57
1505574496,18,55
1505578095,13,59
1505581694,16,36
1505585291,14,42
1505588890,17,41
1505592489,18,55
1505596085,20,60
1505599685,16,44
1505603282,19,40
1505606884,10,47
1505610483,13,52
1505614078,14,65
1505617675,22,54
1505621275,14,40
1505624874,7,45
1505628470,13,40
1505632073,22,36
1505635667,14,39
1505639269,16,39
1505642864,14,46
1505646468,8,47
1505650063,13,37
1505653662,16,42
1505657259,13,34
1505660860,11,27
1505664462,21,41
1505668059,27,27
1505671659,12,32
1505675259,19,27
1505678857,14,40
1505682453,21,40
1505686054,17,28
1505689654,29,40
1505693259,109,21
1505696860,79,36
1505700461,42,21
1505704063,29,23
1505707662,23,40
1505711262,25,31
1505714861,26,31
1505718460,18,30
1505722061,24,32
1505725661,20,24
1505729259,25,27
1505736457,39,57
1505740058,14,30
1505743658,24,24
1505747259,18,34
1505750859,18,27
1505754456,18,23
1505758057,19,31
1505761655,20,27
1505765254,18,28
1505768854,11,34
1505772455,17,26
1505776054,21,29
1505779653,16,28
1505783251,18,29
1505786851,15,27
1505790449,17,33
1505794049,12,41
1505797646,20,42
1505801248,17,52
1505804843,16,63
1505808442,17,64
1505812040,17,66
1505815638,16,53
1505819235,12,58
1505822834,21,47
1505826428,11,66
1505830031,21,72
1505833628,15,44
1505837222,15,70
1505840823,18,49
1505844428,12,55
1505848019,20,58
1505851617,23,44
1505855218,23,47
1505858811,21,42
1505862413,19,36
1505866016,19,39
1505869612,19,43
1505873211,14,50
1505876807,10,35
1505880410,16,34
1505884007,21,35
1505887605,17,31
1505891204,10,40
1505894802,18,31
1505898404,15,33
1505902004,16,33
1505905601,26,28
1505909199,14,31
1505912800,25,30
1505916401,17,47
1505920000,14,43
1505923597,12,34
1505927197,18,42
1505930796,19,33
1505934396,17,31
1505937995,20,33
1505941594,20,34
1505945195,23,24
1505948793,25,37
1505952394,16,23
1505955993,21,37
1505959592,16,34
1505963189,17,36
1505966789,17,43
1505970386,16,33
1505973988,14,36
1505977585,14,28
1505981185,9,46
1505984783,15,38
1505988382,11,32
1505991980,5,32
1505995578,13,40
1505999179,15,34
1506002776,4,20
1506006376,15,50
1506009976,14,42
1506013575,18,31
1506017173,18,32
1506020771,17,27
1506024379,16,31
1506027969,6,26
1506031570,20,25
1506035165,9,39
1506038772,18,21
1506042368,18,21
1506045967,14,24
1506049565,7,34
