DateTime,Entries,UniqueIPs
1505121254,15359,15359
1505124849,15307,15307
1505128449,15243,15243
1505132039,15188,15188
1505135643,15143,15143
1505139241,15070,15070
1505142840,15010,15010
1505146436,14942,14942
1505150028,14851,14851
1505153630,14796,14796
1505157224,14738,14738
1505160820,14674,14674
1505164418,14611,14611
1505168016,14553,14553
1505171610,14513,14513
1505175212,14461,14461
1505178807,14419,14419
1505182401,14363,14363
1505185989,14324,14324
1505189596,14278,14278
1505193191,14233,14233
1505196787,14206,14206
1505200390,14176,14176
1505203989,14137,14137
1505207582,14104,14104
1505211180,14073,14073
1505214777,14042,14042
1505218380,14005,14005
1505221979,13999,13999
1505225581,13946,13946
1505229175,13879,13879
1505232772,13847,13847
1505236370,13791,13791
1505239966,13741,13741
1505243564,13675,13675
1505247164,13624,13624
1505250760,13584,13584
1505254358,13539,13539
1505257956,13456,13456
1505261549,13390,13390
1505265144,13323,13323
1505268743,13244,13244
1505272340,13188,13188
1505275939,13115,13115
1505279532,13036,13036
1505283129,12984,12984
1505286728,12907,12907
1505290321,12832,12832
1505293921,12772,12772
1505297517,12700,12700
1505301114,12633,12633
1505304706,12563,12563
1505308305,12477,12477
1505311902,12398,12398
1505315499,12346,12346
1505319098,12295,12295
1505322697,12234,12234
1505326291,12160,12160
1505329884,12094,12094
1505333483,12032,12032
1505337080,11975,11975
1505340677,11910,11910
1505344273,11854,11854
1505347874,11785,11785
1505351471,11794,11794
1505355073,11801,11801
1505358669,11771,11771
1505362266,11728,11728
1505365863,11681,11681
1505369464,11646,11646
1505373060,11568,11568
1505376656,11495,11495
1505380252,11444,11444
1505383854,11387,11387
1505387444,11317,11317
1505391042,11260,11260
1505394642,11203,11203
1505398237,11132,11132
1505401837,11097,11097
1505405436,11052,11052
1505409032,11001,11001
1505412630,10927,10927
1505416225,10860,10860
1505419824,10810,10810
1505423417,10748,10748
1505427015,10685,10685
1505430612,10640,10640
1505434212,10580,10580
1505437808,10523,10523
1505441403,10477,10477
1505444999,10410,10410
1505448598,10352,10352
1505452195,10277,10277
1505455792,10209,10209
1505459386,10143,10143
1505462982,10077,10077
1505466584,10016,10016
1505470178,9917,9917
1505473774,9855,9855
1505477370,9791,9791
1505480968,9713,9713
1505484563,9637,9637
1505488160,9563,9563
1505491758,9513,9513
1505495356,9431,9431
1505498951,9365,9365
1505502546,9310,9310
1505506144,9232,9232
1505509742,9190,9190
1505513338,9131,9131
1505516935,9075,9075
1505520537,9034,9034
1505524128,8976,8976
1505527725,8903,8903
1505531322,8826,8826
1505534923,8777,8777
1505538517,8741,8741
1505542116,8710,8710
1505545717,8672,8672
1505549312,8635,8635
1505552910,8590,8590
1505556509,8534,8534
1505560106,8494,8494
1505563702,8460,8460
