DateTime,Entries,UniqueIPs
1505124899,13151,13151
1505128500,13086,13086
1505132087,13031,13031
1505135688,12982,12982
1505139293,12908,12908
1505142894,12843,12843
1505146491,12770,12770
1505150091,12687,12687
1505153701,12632,12632
1505157285,12577,12577
1505160874,12517,12517
1505164466,12445,12445
1505168064,12390,12390
1505171657,12343,12343
1505175253,12285,12285
1505178845,12235,12235
1505182454,12176,12176
1505186038,12138,12138
1505189633,12088,12088
1505193225,12038,12038
1505196825,12016,12016
1505200427,11986,11986
1505204032,11951,11951
1505207761,11922,11922
1505211360,11889,11889
1505214839,11862,11862
1505218437,11826,11826
1505222033,11817,11817
1505225637,11763,11763
1505229218,11694,11694
1505232831,11657,11657
1505236428,11600,11600
1505240028,11544,11544
1505243631,11481,11481
1505247234,11428,11428
1505250828,11384,11384
1505254423,11333,11333
1505258023,11249,11249
1505261621,11188,11188
1505265203,11120,11120
1505268800,11036,11036
1505272393,10974,10974
1505275987,10911,10911
1505279574,10834,10834
1505283173,10772,10772
1505286762,10701,10701
1505290358,10627,10627
1505293956,10564,10564
1505297542,10490,10490
1505301139,10425,10425
1505304739,10359,10359
1505308332,10275,10275
1505311935,10193,10193
1505315534,10145,10145
1505319123,10086,10086
1505322725,10016,10016
1505326321,9938,9938
1505329928,9880,9880
1505333524,9824,9824
1505337125,9764,9764
1505340721,9698,9698
1505344320,9640,9640
1505347922,9572,9572
1505351512,9559,9559
1505355142,9539,9539
1505358704,9491,9491
1505362308,9442,9442
1505365906,9399,9399
1505369495,9360,9360
1505373088,9287,9287
1505376692,9217,9217
1505380294,9165,9165
1505383885,9110,9110
1505387481,9044,9044
1505391075,8991,8991
1505394667,8927,8927
1505398263,8856,8856
1505401859,8813,8813
1505405463,8759,8759
1505409055,8706,8706
1505412656,8633,8633
1505416257,8566,8566
1505419856,8515,8515
1505423450,8451,8451
1505427049,8380,8380
1505430643,8327,8327
1505434239,8267,8267
1505437834,8210,8210
1505441435,8160,8160
1505445025,8092,8092
1505448619,8038,8038
1505452216,7973,7973
1505455816,7902,7902
1505459408,7831,7831
1505463000,7757,7757
1505466619,7700,7700
1505470209,7617,7617
1505473806,7558,7558
1505477404,7495,7495
1505480996,7409,7409
1505484597,7333,7333
1505488189,7259,7259
1505491783,7197,7197
1505495378,7111,7111
1505498983,7050,7050
1505502575,6998,6998
1505506176,6923,6923
1505509771,6874,6874
1505513366,6812,6812
1505516961,6752,6752
1505520557,6708,6708
1505524151,6651,6651
1505527751,6585,6585
1505531343,6511,6511
1505534934,6469,6469
1505538535,6435,6435
1505542133,6393,6393
1505545730,6354,6354
1505549332,6326,6326
1505552942,6281,6281
1505556534,6236,6236
1505560130,6196,6196
1505563738,6160,6160
1505567330,6102,6102
1505570929,6065,6065
1505574529,6029,6029
1505578116,5993,5993
1505581725,5979,5979
1505585320,5960,5960
1505588922,5935,5935
1505592525,5916,5916
1505596128,5882,5882
1505599721,5857,5857
1505603319,5837,5837
1505606912,5810,5810
1505610506,5783,5783
1505614107,5735,5735
1505617703,5705,5705
1505621296,5677,5677
1505624896,5647,5647
1505628497,5624,5624
1505632096,5599,5599
1505635706,5573,5573
1505639298,5558,5558
1505642902,5532,5532
1505646491,5498,5498
1505650094,5480,5480
1505653692,5464,5464
1505657294,5448,5448
1505660902,5428,5428
1505664495,5411,5411
1505668102,5403,5403
1505671703,5382,5382
1505675299,5371,5371
1505678905,5350,5350
1505682508,5336,5336
1505686107,5327,5327
1505689708,5317,5317
1505693309,5361,5361
1505696916,5383,5383
1505700505,5401,5401
1505704099,5397,5397
1505707686,5383,5383
1505711292,5381,5381
1505714888,5378,5378
1505718489,5371,5371
1505722102,5367,5367
1505725699,5366,5366
1505729306,5367,5367
1505732932,5357,5357
1505736505,5351,5351
1505740102,5349,5349
1505743705,5346,5346
1505747296,5336,5336
1505750901,5326,5326
1505754501,5315,5315
1505758100,5309,5309
1505761709,5301,5301
1505765305,5289,5289
1505768900,5275,5275
1505772498,5257,5257
1505776102,5251,5251
1505779702,5242,5242
1505783296,5237,5237
1505786897,5225,5225
1505790499,5211,5211
1505794073,5185,5185
1505797673,5174,5174
1505801280,5137,5137
1505804873,5095,5095
1505808472,5056,5056
1505812092,5007,5007
1505815683,4972,4972
1505819283,4931,4931
1505822877,4905,4905
1505826481,4857,4857
1505830060,4807,4807
1505833659,4785,4785
1505837264,4733,4733
1505840861,4702,4702
1505844461,4665,4665
1505848076,4628,4628
1505851678,4605,4605
1505855262,4577,4577
1505858862,4554,4554
1505862466,4541,4541
1505866073,4520,4520
1505869661,4501,4501
1505873260,4471,4471
1505876861,4449,4449
1505880442,4430,4430
1505884047,4417,4417
1505887649,4403,4403
1505891247,4376,4376
1505894859,4360,4360
1505898447,4342,4342
1505902051,4326,4326
1505905642,4318,4318
1505909246,4303,4303
1505912839,4299,4299
1505916442,4279,4279
1505920047,4261,4261
1505923637,4245,4245
1505927244,4228,4228
1505930848,4221,4221
1505934446,4203,4203
1505938052,4188,4188
1505941649,4176,4176
1505945248,4172,4172
1505948849,4161,4161
1505952450,4152,4152
1505956048,4131,4131
1505959640,4117,4117
1505963243,4109,4109
1505966841,4093,4093
1505970441,4081,4081
1505974025,4056,4056
1505977634,4043,4043
1505981222,4022,4022
1505984825,4006,4006
1505988422,3988,3988
1505992020,3967,3967
1505995631,3951,3951
1505999225,3937,3937
1506002819,3927,3927
1506006425,3904,3904
1506010013,3892,3892
1506013613,3886,3886
1506017220,3873,3873
1506020813,3866,3866
1506024419,3851,3851
1506028025,3839,3839
1506031618,3837,3837
1506035220,3823,3823
1506038822,3821,3821
1506042425,3820,3820
1506046022,3816,3816
1506049617,3802,3802
1506053224,3799,3799
1506056837,3785,3785
1506060426,3786,3786
1506064034,3777,3777
1506067642,3766,3766
1506071244,3762,3762
1506074846,3765,3765
1506078428,3760,3760
1506082029,3758,3758
1506085630,3746,3746
1506089223,3739,3739
1506092815,3733,3733
1506096416,3722,3722
1506100033,3721,3721
1506103633,3718,3718
1506107239,3777,3777
1506110841,3871,3871
1506114433,3927,3927
1506118040,3966,3966
1506121634,4013,4013
1506125241,4048,4048
1506128850,4071,4071
1506132441,4082,4082
1506136040,4110,4110
1506139635,4120,4120
1506143237,4130,4130
1506146833,4126,4126
1506150426,4132,4132
1506154026,4125,4125
1506157623,4129,4129
1506161218,4126,4126
1506164824,4121,4121
1506168421,4116,4116
1506172025,4107,4107
1506175630,4111,4111
1506179221,4100,4100
1506182826,4096,4096
1506186427,4085,4085
1506190032,4085,4085
1506193642,4083,4083
1506197246,4079,4079
1506200843,4078,4078
1506204433,4086,4086
1506208032,4085,4085
1506211631,4083,4083
1506215232,4082,4082
1506218831,4080,4080
1506222428,4077,4077
1506226035,4070,4070
1506229631,4070,4070
1506233228,4075,4075
1506236827,4072,4072
1506240427,4073,4073
1506244029,4067,4067
1506247633,4062,4062
1506251242,4057,4057
1506254836,4058,4058
1506258430,4053,4053
1506262046,4050,4050
1506265643,4043,4043
1506269240,4041,4041
1506272844,4040,4040
1506276444,4047,4047
1506280064,4042,4042
1506283645,4042,4042
1506287245,4034,4034
1506290847,4034,4034
1506294446,4023,4023
1506298051,3999,3999
1506301663,3988,3988
1506305236,3979,3979
1506308839,3970,3970
1506312439,3954,3954
1506316034,3926,3926
1506319626,3908,3908
1506323216,3891,3891
1506326821,3876,3876
1506330417,3862,3862
1506334031,3839,3839
1506337618,3829,3829
1506341218,3826,3826
1506344820,3817,3817
1506348423,3813,3813
1506352024,3801,3801
1506355635,3798,3798
1506359225,3793,3793
1506362826,3784,3784
1506366427,3780,3780
1506370036,3773,3773
1506373636,3772,3772
1506377240,3771,3771
1506380845,3764,3764
1506384436,3758,3758
1506388036,3759,3759
1506391635,3757,3757
1506395235,3753,3753
1506398819,3750,3750
1506402406,3736,3736
1506406009,3724,3724
1506409618,3712,3712
1506413212,3709,3709
1506416813,3708,3708
1506420431,3698,3698
1506424036,3696,3696
1506427654,3685,3685
1506431228,3703,3703
1506434833,3840,3840
1506438417,3928,3928
1506442033,4005,4005
1506445649,4080,4080
1506449288,4117,4117
1506452861,4141,4141
1506456453,4160,4160
1506460054,4174,4174
1506463658,4197,4197
1506467255,4215,4215
1506470856,4234,4234
1506474452,4250,4250
1506478051,4268,4268
1506481668,4282,4282
1506485236,4284,4284
1506488839,4289,4289
1506492448,4290,4290
1506496040,4294,4294
1506499642,4298,4298
1506503241,4301,4301
1506506838,4305,4305
1506510447,4309,4309
1506514069,4317,4317
1506517693,4313,4313
1506521267,4311,4311
1506524863,4317,4317
1506528456,4311,4311
1506532045,4307,4307
1506535663,4312,4312
1506539309,4319,4319
1506542896,4320,4320
1506546485,4318,4318
1506550074,4312,4312
1506553676,4311,4311
1506557271,4310,4310
1506560873,4313,4313
1506564475,4315,4315
1506568069,4320,4320
1506571655,4318,4318
1506575272,4320,4320
1506578875,4312,4312
1506582489,4307,4307
1506586080,4306,4306
1506589677,4311,4311
1506593256,4309,4309
1506596863,4300,4300
1506600467,4302,4302
1506604068,4300,4300
1506607666,4307,4307
1506611266,4306,4306
1506614859,4307,4307
1506618458,4311,4311
1506622066,4303,4303
1506625658,4302,4302
1506629263,4296,4296
1506632859,4293,4293
1506636453,4301,4301
1506640059,4307,4307
1506643653,4300,4300
1506647256,4302,4302
1506650878,4300,4300
1506654454,4304,4304
1506658039,4293,4293
1506661641,4293,4293
1506665289,4293,4293
1506668848,4295,4295
1506672441,4288,4288
1506676059,4285,4285
1506679656,4283,4283
1506683253,4282,4282
1506686893,4282,4282
1506690458,4280,4280
1506694053,4284,4284
1506697660,4283,4283
1506701254,4285,4285
1506704868,4279,4279
1506708463,4275,4275
1506712061,4260,4260
1506715670,4251,4251
1506719264,4253,4253
1506722867,4248,4248
1506726462,4239,4239
1506730065,4226,4226
1506733670,4214,4214
1506737262,4210,4210
1506740869,4196,4196
1506744451,4194,4194
1506748048,4185,4185
1506751646,4177,4177
1506755233,4172,4172
1506758829,4157,4157
1506762466,4148,4148
1506766121,4150,4150
1506769672,4149,4149
1506773255,4147,4147
1506776854,4147,4147
1506780439,4173,4173
1506784043,4250,4250
1506787653,4324,4324
1506791261,4367,4367
1506794857,4412,4412
1506798464,4441,4441
1506802062,4470,4470
1506805663,4494,4494
1506809261,4503,4503
1506812867,4522,4522
1506816470,4535,4535
1506820070,4542,4542
1506823677,4551,4551
1506827273,4560,4560
1506830861,4556,4556
1506834466,4556,4556
1506838056,4554,4554
1506841661,4550,4550
1506845254,4554,4554
1506848858,4551,4551
1506852467,4561,4561
1506856063,4568,4568
1506859670,4566,4566
1506863321,4563,4563
1506866873,4565,4565
1506870472,4565,4565
1506874072,4562,4562
1506877670,4561,4561
1506881399,4556,4556
1506884873,4555,4555
1506888483,4551,4551
1506892080,4552,4552
1506895693,4562,4562
1506899282,4568,4568
1506902877,4565,4565
1506906471,4566,4566
1506910083,4570,4570
1506913678,4569,4569
1506917277,4567,4567
1506920868,4572,4572
