DateTime,Entries,UniqueIPs
1505340012,6578,6578
1505343842,6553,6553
1505345763,6568,6568
1505349604,6563,6563
1505353444,6559,6559
1505357286,6540,6540
1505363043,6526,6526
1505364964,6524,6524
1505368817,6529,6529
1505370722,6555,6555
1505374562,6569,6569
1505378402,6568,6568
1505380324,6569,6569
1505382243,6568,6568
1505384164,6565,6565
1505388004,6573,6573
1505389922,6594,6594
1505393763,6607,6607
1505397609,6616,6616
1505403364,6619,6619
1505407206,6636,6636
1505411282,6662,6662
1505415610,6646,6646
1505419443,6664,6664
1505421362,6636,6636
1505423284,6637,6637
1505425203,6625,6625
1505429043,6607,6607
1505432883,6640,6640
1505436722,6631,6631
1505440563,6628,6628
1505444412,6602,6602
1505446323,6579,6579
1505450164,6580,6580
1505454003,6600,6600
1505455923,6610,6610
1505459763,6602,6602
1505461683,6622,6622
1505464563,6637,6637
1505468402,6644,6644
1505472243,6629,6629
1505476082,6642,6642
1505479922,6657,6657
1505483763,6657,6657
1505487611,6659,6659
1505491443,6674,6674
1505493362,6682,6682
1505497204,6677,6677
1505501282,6664,6664
1505505122,6674,6674
1505510883,6645,6645
1505513283,6628,6628
1505515685,6674,6674
1505518564,6623,6623
1505522402,6605,6605
1505528162,6602,6602
1505530082,6605,6605
1505532002,6572,6572
1505533922,6573,6573
1505537763,6557,6557
1505541607,6564,6564
1505543523,6595,6595
1505547362,6614,6614
1505551203,6626,6626
1505555043,6639,6639
1505558882,6643,6643
1505562722,6651,6651
1505566563,6645,6645
1505568482,6643,6643
1505570406,6657,6657
1505574242,6654,6654
1505576162,6657,6657
1505578084,6664,6664
1505580003,6642,6642
1505583842,6650,6650
1505587683,6652,6652
1505591522,6646,6646
1505595363,6623,6623
1505599212,6602,6602
1505603042,6574,6574
1505604962,6605,6605
1505608804,6599,6599
1505612643,6600,6600
1505614566,6605,6605
1505616484,6600,6600
1505618402,6579,6579
1505620323,6586,6586
1505624164,6573,6573
1505628012,6589,6589
1505629922,6589,6589
1505633763,6599,6599
1505637602,6621,6621
1505639524,6599,6599
1505641443,6621,6621
1505643364,6640,6640
1505645282,6599,6599
1505647204,6638,6638
1505649122,6663,6663
1505652963,6652,6652
1505658724,6668,6668
1505662565,6676,6676
1505664483,6663,6663
1505666404,6660,6660
1505668322,6673,6673
1505670243,6660,6660
1505672163,6673,6673
1505676002,6665,6665
1505677923,6658,6658
1505681765,6649,6649
1505685616,6614,6614
1505687522,6585,6585
1505689444,6586,6586
1505695204,6585,6585
1505697124,6578,6578
1505700974,6571,6571
1505702882,6545,6545
1505704806,6530,6530
1505706722,6578,6578
1505708645,6545,6545
1505710563,6548,6548
1505714414,6572,6572
1505716325,6586,6586
1505718242,6596,6596
1505720163,6586,6586
1505724005,6595,6595
1505725923,6585,6585
1505731684,6577,6577
1505735765,6583,6583
1505738413,6596,6596
1505742243,6596,6596
1505746083,6598,6598
1505749923,6615,6615
1505753762,6606,6606
1505755923,6634,6634
1505759762,6646,6646
1505763603,6648,6648
1505767445,6630,6630
1505771283,6608,6608
1505775363,6595,6595
1505779209,6607,6607
1505781122,6583,6583
1505785204,6572,6572
1505789523,6563,6563
1505793611,6549,6549
1505795522,6546,6546
1505799363,6560,6560
1505803202,6561,6561
1505807042,6563,6563
1505808963,6596,6596
1505816642,6579,6579
1505818563,6571,6571
1505823615,6601,6601
1505825522,6597,6597
1505829362,6610,6610
1505835123,6633,6633
1505838963,6620,6620
1505840883,6608,6608
1505842803,6591,6591
1505846643,6583,6583
1505848803,6591,6591
1505850722,6632,6632
1505854564,6632,6632
1505856483,6632,6632
1505858412,6590,6590
1505860323,6548,6548
1505864162,6552,6552
1505868002,6531,6531
1505874243,6534,6534
1505876162,6498,6498
1505880009,6507,6507
1505881923,6507,6507
1505885762,6518,6518
1505889843,6498,6498
1505891763,6514,6514
1505893683,6533,6533
1505897763,6537,6537
1505901611,6569,6569
1505903523,6563,6563
1505907362,6576,6576
1505911682,6577,6577
1505915523,6593,6593
1505919363,6584,6584
1505923211,6596,6596
1505925123,6612,6612
1505929203,6611,6611
1505933283,6611,6611
1505935202,6612,6612
1505937122,6605,6605
1505940962,6580,6580
1505946965,6565,6565
1505948883,6540,6540
1505950804,6549,6549
1505954642,6543,6543
1505958482,6544,6544
1505962322,6511,6511
1505966414,6565,6565
1505968323,6484,6484
1505970242,6490,6490
1505972163,6518,6518
1505976003,6526,6526
1505979845,6536,6536
1505985843,6515,6515
1505987762,6536,6536
1505989683,6555,6555
1505991610,6555,6555
1505995443,6562,6562
1505997362,6582,6582
1506003124,6579,6579
1506005042,6582,6582
1506006963,6569,6569
1506008882,6574,6574
1506012722,6601,6601
1506016563,6607,6607
1506020407,6602,6602
1506024243,6624,6624
1506026163,6577,6577
1506030003,6537,6537
1506036004,6525,6525
1506037922,6534,6534
1506039843,6525,6525
1506041764,6524,6524
1506045608,6524,6524
1506047522,6174,6174
1506049442,6503,6503
1506051362,6524,6524
1506053283,6494,6494
1506055204,6503,6503
1506059043,6510,6510
1506062882,6512,6512
1506066722,6533,6533
1506072484,6514,6514
1506074415,6522,6522
1506078243,6531,6531
1506080163,6532,6532
1506082082,6531,6531
1506084243,6540,6540
1506088082,6558,6558
1506090002,6532,6532
1506091923,6573,6573
1506095762,6601,6601
1506099606,6589,6589
1506103442,6601,6601
1506105362,6561,6561
1506109202,6554,6554
1506113042,6532,6532
1506117123,6534,6534
1506119044,6554,6554
1506121443,6513,6513
1506123363,6523,6523
1506127205,6512,6512
1506129122,6523,6523
1506131044,6513,6513
1506134887,6491,6491
1506138724,6450,6450
1506144483,6441,6441
1506146410,6490,6490
1506150244,6502,6502
1506152402,6504,6504
1506160082,6538,6538
1506163922,6537,6537
1506165844,6538,6538
1506167763,6545,6545
1506171610,6554,6554
1506173523,6575,6575
1506177604,6551,6551
1506183362,6547,6547
1506185283,6540,6540
1506189123,6579,6579
1506192965,6547,6547
1506194883,6594,6594
1506196823,6579,6579
1506198723,6594,6594
1506200885,6540,6540
1506203043,6540,6540
1506208802,6526,6526
1506210722,6528,6528
1506214812,6491,6491
1506218642,6515,6515
1506220563,6496,6496
1506224402,6470,6470
1506228242,6455,6455
1506232083,6491,6491
1506238083,6529,6529
1506241923,6537,6537
1506245762,6531,6531
1506249603,6536,6536
1506253443,6552,6552
1506257282,6542,6542
1506261122,6568,6568
1506264963,6573,6573
1506266883,6568,6568
1506268813,6573,6573
1506270723,6575,6575
1506272642,6568,6568
1506276482,6582,6582
1506278403,6570,6570
1506282483,6560,6560
1506286322,6525,6525
1506290164,6501,6501
1506292085,6525,6525
1506294012,6501,6501
1506296162,6494,6494
1506300003,6458,6458
1506303843,6475,6475
1506305762,6458,6458
1506307682,6461,6461
1506311522,6449,6449
1506315363,6446,6446
1506319212,6461,6461
1506321122,6486,6486
1506324963,6484,6484
1506330723,6475,6475
1506334563,6461,6461
1506336483,6475,6475
1506338402,6484,6484
1506340322,6502,6502
1506344163,6500,6500
1506350643,6502,6502
1506354482,6533,6533
1506358323,6519,6519
1506362162,6533,6533
1506364083,6524,6524
1506366012,6522,6522
1506369843,6526,6526
1506371763,6487,6487
1506375604,6475,6475
1506377523,6465,6465
1506383283,6466,6466
1506387122,6425,6425
1506390964,6445,6445
1506394812,6403,6403
1506398642,6407,6407
1506400562,6404,6404
1506402482,6426,6426
1506404403,6404,6404
1506406323,6426,6426
1506408243,6422,6422
1506410163,6426,6426
1506412083,6461,6461
1506417843,6452,6452
1506421683,6465,6465
1506423612,6460,6460
1506425524,6493,6493
1506429362,6457,6457
1506433203,6495,6495
1506437283,6506,6506
1506441364,6531,6531
1506445209,6529,6529
1506450962,6523,6523
1506456963,6532,6532
1506458883,6505,6505
1506462722,6475,6475
1506466808,6454,6454
1506468962,6483,6483
1506470883,6447,6447
1506476643,6447,6447
1506480482,6414,6414
1506484323,6431,6431
1506486243,6412,6412
1506492012,6422,6422
1506493923,6447,6447
1506495842,6420,6420
1506497762,6449,6449
1506501603,6459,6459
1506507362,6447,6447
1506509282,6431,6431
1506513845,6475,6475
1506519602,6481,6481
1506523442,6474,6474
1506527523,6481,6481
1506529442,6489,6489
1506531362,6518,6518
1506535210,6517,6517
1506537122,6526,6526
1506540962,6529,6529
1506544805,6500,6500
1506548644,6475,6475
1506552484,6438,6438
1506556323,6457,6457
1506560165,6414,6414
1506562084,6447,6447
1506564010,6424,6424
1506565922,6405,6405
1506567844,6424,6424
1506571922,6387,6387
1506573844,6395,6395
1506577683,6416,6416
1506581522,6438,6438
1506587282,6450,6450
1506589212,6432,6432
1506591122,6457,6457
1506595204,6459,6459
1506601214,6466,6466
1506603122,6458,6458
1506606962,6468,6468
1506612723,6481,6481
1506616563,6465,6465
1506620402,6457,6457
1506624243,6457,6457
1506628083,6468,6468
1506630003,6487,6487
1506635763,6447,6447
1506640323,6413,6413
1506642242,6453,6453
1506646322,6431,6431
1506650163,6430,6430
1506654009,6383,6383
1506657842,6382,6382
1506659762,6370,6370
1506663842,6402,6402
1506667683,6401,6401
1506671522,6418,6418
1506673444,6402,6402
1506675363,6418,6418
1506677282,6411,6411
1506679212,6433,6433
1506681123,6410,6410
1506683042,6433,6433
1506684963,6417,6417
1506688802,6429,6429
1506692642,6412,6412
1506696482,6374,6374
1506700322,6409,6409
1506704409,6397,6397
1506706323,6404,6404
1506710163,6396,6396
1506714002,6387,6387
1506717844,6376,6376
1506719763,6396,6396
1506721682,6355,6355
1506723602,6376,6376
1506726725,6341,6341
1506728643,6352,6352
1506730570,6341,6341
1506732482,6338,6338
1506736322,6342,6342
1506738243,6352,6352
1506740162,6342,6342
1506742324,6308,6308
1506744242,6319,6319
1506746164,6294,6294
1506750004,6318,6318
1506753844,6309,6309
1506757684,6343,6343
1506761523,6309,6309
1506763443,6343,6343
1506765364,6377,6377
1506769217,6365,6365
1506771122,6381,6381
1506774962,6393,6393
1506779043,6417,6417
1506782882,6408,6408
1506786963,6405,6405
1506788883,6408,6408
1506790822,6402,6402
1506792722,6408,6408
1506794642,6414,6414
1506796802,6406,6406
1506801325,6397,6397
1506803523,6378,6378
1506807844,6397,6397
1506809772,6393,6393
1506811682,6352,6352
1506815522,6393,6393
1506817444,6413,6413
1506819363,6390,6390
1506823210,6441,6441
1506825123,6430,6430
1506828965,6423,6423
1506830882,6430,6430
1506832804,6408,6408
1506836643,6456,6456
1506838562,6463,6463
1506840483,6423,6423
1506842402,6463,6463
1506844323,6456,6456
1506846243,6488,6488
1506848165,6503,6503
1506850083,6488,6488
1506852010,6525,6525
1506853922,6535,6535
1506857762,6551,6551
1506859685,6456,6456
1506861603,6554,6554
1506865443,6552,6552
1506869282,6557,6557
1506875045,6560,6560
1506876963,6543,6543
1506880807,6556,6556
1506882724,6539,6539
1506886563,6538,6538
1506890406,6509,6509
1506895448,6494,6494
1506897362,6492,6492
1506899284,6494,6494
1506901202,6510,6510
1506905043,6443,6443
1506908883,6463,6463
1506912722,6430,6430
1506918485,6439,6439
