DateTime,AddedIPs,RemovedIPs
1499895310,0,1
1499895610,0,1
1499895911,0,1
1499896510,0,2
1499896810,0,2
1499898010,0,1
1499898310,0,1
1499899211,0,1
1499899510,0,1
1499905811,0,1
1499939411,0,1
1499940009,0,1
1499940310,0,1
1499940611,0,1
1499941210,0,2
1499942110,0,2
1499942410,0,1
1499943010,0,1
1499964609,0,1
1499964910,0,1
1499965809,0,1
1499966109,0,1
1499969710,0,1
1499970010,0,1
1499970313,0,1
1499973010,0,1
1499975109,9,0
1499975409,27,0
1499976609,5,0
1499977809,0,1
1499980210,7,0
1500001209,0,1
1500003310,0,1
1500028509,15,0
1500028811,9,0
1500029710,11,0
1500052210,0,1
1500094509,0,1
1500137109,0,1
1500157810,0,1
1500158410,0,1
1500160509,0,1
1500161710,0,1
1500162010,0,1
1500162609,0,2
1500162909,0,2
1500163210,0,1
1500164410,0,1
1500164710,0,1
1500165011,0,1
1500175519,0,1
1500178510,0,1
1500190210,0,1
1500206710,0,1
1500238209,0,1
1500273910,0,1
1500275410,0,1
1500279309,0,1
1500286811,0,1
1500291309,0,1
1500293109,0,1
1500316210,62,0
1500316510,116,0
1500319513,11,0
1500320110,2,0
1500322810,0,1
1500323710,18,2
1500325510,0,2
1500327311,0,1
1500366310,0,1
1500382510,0,1
1500384009,0,1
1500414310,0,1
1500415212,0,1
1500416718,0,1
1500442210,0,2
1500442810,0,2
1500447610,0,1
1500454809,0,1
1500467112,0,1
1500474911,0,1
1500490211,0,2
1500491411,0,1
1500500710,0,1
1500501010,0,1
1500501609,0,1
1500501909,0,1
1500503111,0,1
1500510609,0,1
1500526210,0,1
1500542109,0,1
1500581110,0,1
1500587709,0,1
1500588013,0,1
1500588310,0,1
1500589510,0,1
1500589810,0,2
1500593410,0,1
1500595210,0,1
1500614714,0,1
1500630609,0,4
1500633910,0,1
1500634209,0,1
1500660909,0,1
1500661210,0,1
1500662110,0,2
1500662410,0,1
1500663610,9,0
1500664209,10,0
1500666311,0,1
1500667209,0,1
1500684310,0,1
1500702611,0,1
1500711610,0,1
1500717310,0,1
1500729912,0,1
1500751210,0,1
1500762610,0,1
1500763211,0,1
1500765310,0,1
1500768013,0,1
1500768909,0,1
1500770110,0,1
1500771610,0,1
1500774009,0,1
1500774310,0,1
1500774610,0,1
1500774910,0,1
1500777611,0,1
1500836109,0,1
1500890410,0,1
1500894610,0,1
1500926111,0,1
1500950111,0,1
1500952511,0,1
1500957310,0,1
1500985811,0,1
1500986411,0,1
1500993612,0,1
1501008612,0,1
1501053920,0,1
1501075517,0,1
1501083311,0,1
1501116012,0,1
1501149012,0,1
1501152012,0,1
1501205413,0,1
1501210812,0,1
1501243213,0,1
1501249812,0,1
1501277412,0,1
1501278613,0,1
1501282213,0,1
1501294513,0,1
1501347613,10,0
1501348213,1,0
1501348512,0,1
1501349413,15,0
1501349713,13,0
1501350313,16,0
1501351212,5,1
1501351814,13,0
1501352413,11,0
1501354513,0,1
1501363213,1,0
1501364113,1,0
1501367713,0,0
1501368614,0,2
1501368913,0,1
1501369512,0,1
1501373713,0,1
1501375212,0,1
1501376412,0,1
1501412414,0,1
1501473312,0,1
1501485917,0,1
1501489513,0,1
1501498812,0,1
1501501213,0,1
1501509013,0,1
1501532412,0,1
1501537512,10,0
1501547713,0,1
1501558813,0,1
1501561213,0,1
1501592713,0,1
1501615212,0,1
1501620613,0,1
1501626316,0,1
1501654813,0,1
1501686015,0,1
1501710013,0,1
1501714212,0,1
