DateTime,Entries,UniqueIPs
1499896810,302570,312162
1499898010,302569,312161
1499898310,302568,312160
1499899211,302567,312159
1499899510,302566,312158
1499905811,302565,312157
1499939411,302564,312156
1499940009,302563,312155
1499940310,302562,312154
1499940611,302561,312153
1499941210,302559,312151
1499942110,302557,312149
1499942410,302556,312148
1499943010,302555,312147
1499964609,302554,312146
1499964910,302553,312145
1499965809,302552,312144
1499966109,302551,312143
1499969710,302550,312142
1499970010,302549,312141
1499970313,302548,312140
1499973010,302547,312139
1499975109,302556,312148
1499975409,302583,312175
1499976609,302588,312180
1499977809,302587,312179
1499980210,302594,312186
1500001209,302593,312185
1500003310,302592,312184
1500028509,302607,312199
1500028811,302616,312208
1500029710,302627,312219
1500052210,302626,312218
1500094509,302625,312217
1500137109,302624,312216
1500157810,302623,312215
1500158410,302622,312214
1500160509,302621,312213
1500161710,302620,312212
1500162311,302619,312211
1500162609,302617,312209
1500162909,302615,312207
1500163210,302614,312206
1500164410,302613,312205
1500164710,302612,312204
1500165011,302611,312203
1500175519,302610,312202
1500178510,302609,312201
1500190210,302608,312200
1500206710,302607,312199
1500238209,302606,312198
1500273910,302605,312197
1500275410,302604,312196
1500279309,302603,312195
1500286811,302603,312194
1500291309,302602,312193
1500293109,302601,312192
1500316210,302661,312254
1500316510,302776,312370
1500319513,302787,312381
1500320110,302789,312383
1500322810,302788,312382
1500323710,302804,312398
1500325510,302802,312396
1500327311,302801,312395
1500366310,302800,312394
1500382510,302799,312393
1500384009,302798,312392
1500414310,302797,312391
1500415212,302796,312390
1500416718,302795,312389
1500442210,302794,312387
1500442810,302792,312385
1500447610,302791,312384
1500454809,302790,312383
1500467112,302789,312382
1500474911,302788,312381
1500490211,302786,312379
1500491411,302785,312378
1500500710,302784,312377
1500501010,302783,312376
1500501609,302782,312375
1500501909,302781,312374
1500503111,302780,312373
1500510609,302779,312372
1500526210,302778,312371
1500542109,302777,312370
1500581110,302776,312369
1500587709,302775,312368
1500588013,302774,312367
1500588310,302773,312366
1500589510,302772,312365
1500589810,302770,312363
1500593410,302769,312362
1500595210,302768,312361
1500614714,302767,312360
1500630609,302763,312356
1500633910,302762,312355
1500634209,302761,312354
1500660909,302760,312353
1500661210,302759,312352
1500662110,302757,312350
1500662410,302756,312349
1500663610,302764,312358
1500664209,302774,312368
1500666311,302773,312367
1500667209,302772,312366
1500684310,302771,312365
1500702611,302770,312364
1500711610,302770,312363
1500717310,302769,312362
1500729912,302768,312361
1500751210,302767,312360
1500762610,302766,312359
1500763211,302765,312358
1500765310,302764,312357
1500768013,302763,312356
1500768909,302762,312355
1500770110,302761,312354
1500771610,302760,312353
1500774009,302759,312352
1500774310,302758,312351
1500774610,302757,312350
1500774910,302756,312349
1500777611,302755,312348
1500836109,302754,312347
1500890410,302753,312346
1500894610,302752,312345
1500926111,302751,312344
1500950111,302750,312343
1500952511,302749,312342
1500957310,302748,312341
1500985811,302747,312340
1500986411,302746,312339
1500993612,302745,312338
1501008612,302744,312337
1501053920,302743,312336
1501075517,302742,312335
1501083311,302741,312334
1501116012,302740,312333
1501149012,302739,312332
1501152012,302738,312331
1501205413,302737,312330
1501210812,302736,312329
1501243213,302735,312328
1501249812,302734,312327
1501277412,302733,312326
1501278613,302732,312325
1501282213,302731,312324
1501294513,302730,312323
1501347613,302740,312333
1501348213,302741,312334
1501348512,302740,312333
1501349413,302755,312348
1501349713,302768,312361
1501350313,302784,312377
1501351212,302788,312381
1501351814,302801,312394
1501352413,302812,312405
1501354513,302811,312404
1501363213,302812,312405
1501364113,302813,312406
1501368614,302811,312404
1501368913,302810,312403
1501369512,302809,312402
1501373713,302808,312401
1501375212,302807,312400
1501376412,302806,312399
1501412414,302805,312398
1501473312,302804,312397
1501485917,302803,312396
1501489513,302802,312395
1501498812,302801,312394
1501501213,302800,312393
1501509013,302799,312392
1501532412,302798,312391
1501537512,302808,312401
1501547713,302807,312400
1501558813,302806,312399
1501561213,302805,312398
1501592713,302804,312397
1501615212,302803,312396
1501620613,302802,312395
1501626316,302801,312394
1501654813,302800,312393
1501686015,302799,312392
1501710013,302799,312391
1501714212,302798,312390
1501726213,302797,312389
1501731313,302796,312388
1501770314,302795,312387
1501791313,302794,312386
1501792813,302793,312385
1501802720,302792,312384
1501817712,302791,312383
1501845612,302790,312382
1501872313,302789,312381
1501875612,302788,312380
1501905613,302787,312379
1501942814,302786,312378
1501968912,302785,312377
1501969212,302783,312375
1501969513,302781,312373
1502048113,302780,312372
1502064913,302779,312371
1502066413,302779,312370
1502067914,302778,312369
1502076316,302777,312368
1502081413,302776,312367
1502110814,302775,312366
1502122213,302774,312365
1502123412,302773,312364
1502123713,302772,312363
1502124013,302771,312362
1502167814,302771,312361
1502213714,302770,312360
1502217613,302769,312359
1502221214,302768,312358
1502253314,302767,312357
1502253614,302765,312355
1502302213,302764,312354
1502302813,302763,312353
1502327115,302762,312352
1502360113,302761,312351
1502362814,302760,312350
1502416213,302759,312349
1502445013,302757,312347
1502458814,302756,312346
1502478313,302756,312345
1502486113,302755,312344
1502487013,302754,312343
1502487314,302753,312342
1502487914,302751,312340
1502552713,302748,312337
1502566514,302747,312336
1502578213,302746,312335
1502579114,302745,312334
1502579714,302744,312333
1502583314,302743,312332
1502588413,302742,312331
1502591715,302741,312330
1502617513,302740,312329
1502625914,302739,312328
1502638213,302738,312327
1502646613,302737,312326
1502652613,302736,312325
1502695213,302735,312324
1502772314,302734,312323
1502775314,302732,312321
1502775614,302731,312320
1502776213,302730,312319
1502790013,302729,312318
1502800213,302728,312317
1502800514,302727,312316
1502807714,302726,312315
1502809514,302725,312314
1502819714,302724,312313
1502820014,302723,312312
1502821514,302721,312310
1502844314,302720,312309
1502865913,302719,312308
1502878514,302718,312307
1502899514,302717,312306
1502910916,302716,312305
1502936113,302715,312304
1502957415,302714,312303
1502983514,302713,312302
1502984416,302712,312301
1502985614,302711,312300
1502993413,302710,312299
1503020414,302710,312298
1503066613,302709,312297
1503070514,302708,312296
1503088814,302707,312295
1503135014,302705,312293
1503135614,302703,312291
1503174013,302702,312290
1503181213,302701,312289
1503183916,302700,312288
1503219014,302697,312285
1503287714,302696,312284
1503336615,302695,312283
1503339313,302694,312282
1503368724,302693,312281
1503382214,302692,312280
1503418814,302691,312279
1503421814,302690,312278
1503425417,302689,312277
1503436521,302688,312276
1503453014,302687,312275
1503459013,302687,312274
1503471915,302686,312273
1503499515,302685,312272
1503504314,302684,312271
1503506715,302683,312270
1503508815,302682,312269
1503553214,302681,312268
1503559214,302680,312267
1503561614,302680,312266
1503606014,302679,312265
1503629114,302677,312263
1503633014,302676,312262
1503633616,302675,312261
1503639313,302674,312260
1503640515,302673,312259
1503658215,302672,312258
1503679813,302670,312256
1503810914,302669,312255
1503900015,302668,312254
1503910514,302667,312253
1503929114,302666,312252
1503936315,302665,312251
1503939614,302664,312250
1503948322,302663,312249
1504034714,302662,312248
1504039514,302661,312247
1504042216,302660,312246
1504045214,302659,312245
1504055415,302658,312244
1504057515,302657,312243
1504108214,302656,312242
1504118114,302655,312241
1504132214,302654,312240
1504134316,302653,312239
1504191912,302653,312238
1504197615,302652,312237
1504209614,302651,312236
1504260013,302650,312235
1504357515,302649,312234
1504374613,302648,312233
1504377915,302647,312232
1504434015,302646,312231
1504515015,302645,312230
1504540514,302644,312229
1504553117,302657,312242
1504556114,302656,312241
1504563014,302655,312240
1504569913,302654,312239
1504605615,302653,312238
1504609815,302653,312237
1504610717,302653,312236
1504615215,302652,312235
1504615515,302651,312234
1504633214,302650,312233
1504710014,302649,312232
1504711215,302648,312231
1504713020,302647,312230
1504718414,302646,312229
1504726814,302645,312228
1504759815,302644,312227
1504760414,302641,312224
1504760715,302638,312221
1504761314,302633,312216
1504769121,302632,312215
1504798514,302631,312214
1504819814,302630,312213
1504829414,302629,312212
1504831215,302628,312211
1504894216,302627,312210
1504904715,302626,312209
1504942213,302625,312208
1504995614,302624,312207
1504998314,302623,312206
1505020516,302622,312205
1505046320,302621,312204
1505058314,302631,312214
1505059814,302630,312213
1505072414,302629,312212
1505076915,302628,312211
1505231415,302627,312210
1505240113,302625,312208
1505250315,302624,312207
1505257216,302623,312206
1505283315,302622,312205
1505313015,302621,312204
1505374514,302620,312203
1505428515,302619,312202
1505438115,302619,312201
1505452217,302618,312200
1505458514,302618,312199
1505468415,302614,312195
1505468714,302609,312190
1505484315,302608,312189
1505506217,302607,312188
1505567114,302606,312187
1505640014,302605,312186
1505644514,302603,312184
1505660416,302602,312183
1505702114,302602,312182
1505706015,302601,312181
1505715920,302600,312180
1505745015,302599,312179
1505755215,302600,312180
1505756415,302599,312179
1505840114,302598,312178
1505847314,302597,312177
1505859314,302614,312194
1505865315,302615,312195
1505899814,302614,312194
1505907314,302613,312193
1505910915,302609,312189
1505911514,302608,312188
1505919915,302607,312187
1505923216,302606,312186
1505925015,302605,312185
1505948715,302604,312184
1505955915,302603,312183
1505961915,302602,312182
1505993714,302601,312181
1506012014,302600,312180
1506012613,302599,312179
1506013214,302598,312178
1506013814,302595,312175
1506014114,302593,312172
1506018614,302591,312170
1506018914,302590,312168
1506019215,302588,312166
1506019514,302587,312165
1506020114,302586,312164
1506024314,302585,312163
1506035714,302586,312164
1506038415,302587,312165
1506039918,302586,312164
1506042314,302625,312203
1506044714,302631,312209
1506045314,302633,312211
1506045615,302636,312214
1506052816,302635,312213
1506086114,302634,312212
1506100515,302633,312211
1506120015,302632,312210
1506121215,302631,312209
1506124515,302630,312208
1506130815,302629,312207
1506152415,302628,312206
1506168015,302627,312205
1506174614,302626,312204
1506177014,302625,312203
1506187216,302624,312202
1506266415,302626,312204
1506271214,302630,312208
1506291914,302629,312207
1506295524,302628,312206
1506311114,302627,312205
1506327615,302626,312204
1506336015,302625,312203
1506355816,302624,312202
1506367215,302623,312201
1506385815,302622,312200
1506411314,302621,312199
1506412514,302620,312198
1506439815,302619,312197
1506446415,302618,312196
1506464415,302622,312200
1506464717,302635,312213
1506472814,302634,312212
1506537615,302633,312211
1506537915,302632,312210
1506538514,302631,312209
1506552015,302633,312211
1506552314,302634,312212
1506558014,302633,312211
1506558615,302632,312210
1506590718,302631,312209
1506591014,302630,312208
1506592815,302629,312207
1506594015,302628,312206
1506594914,302627,312205
1506597014,302626,312204
1506597314,302625,312203
1506598215,302624,312202
1506598815,302623,312201
1506600015,302622,312200
1506601815,302621,312199
1506602415,302620,312198
1506609914,302619,312197
1506614416,302618,312196
1506615922,302617,312195
1506632714,302616,312194
1506634214,302615,312193
1506637215,302614,312192
1506637814,302615,312193
1506646815,302612,312190
1506647115,302611,312189
1506658214,302610,312188
1506690014,302609,312187
1506702913,302608,312186
1506709813,302607,312185
1506716415,302606,312184
1506722113,302605,312183
1506769815,302604,312182
1506795914,302598,312176
1506796215,302593,312171
1506809714,302592,312170
1506838514,302591,312169
1506869414,302590,312168
1506873615,302589,312167
1506880814,302588,312166
1506886515,302587,312165
1506891615,302586,312164
