DateTime,AddedIPs,RemovedIPs
1442493308,1,0
1444780507,1,0
1448155508,145,0
1449384308,184,0
1449384608,129,0
1449441907,164,0
1449822007,0,1
1450547109,0,1
1457728510,0,1
1460061011,1,0
1460705111,0,5
1462324506,0,1
1466391607,1,0
1466539510,0,1
1472572208,0,2
1486455909,1,0
1486656308,1,0
1486656610,5,0
1488097811,1,0
1489035908,1,0
1493369708,1,0
1493371209,4,0
1493371509,1,0
1493371809,3,0
1493382008,1,0
1493425208,2,0
1493425510,2,0
1493469008,1,0
1493473509,1,0
1493486708,1,0
1493554809,1,0
1493559908,1,0
1493580909,1,0
1493581808,1,0
1493583309,1,0
1493585709,1,0
1493588108,1,0
1493595308,1,0
1493661308,1,0
1493662208,1,0
1493662808,1,0
1493663108,3,0
1493670308,1,0
1493676609,1,0
1493676908,1,0
1493679008,1,0
1493682309,1,0
1493724009,5,0
1493724609,1,0
1493724908,1,0
1493725508,1,0
1493736909,1,0
1493737509,1,0
1493738408,3,0
1493940008,1,0
1494178508,2,0
1494179108,4,0
1494179408,2,0
1494179708,3,0
1494180308,1,0
1494180608,1,0
1494207908,1,0
1494266408,1,0
1494266710,2,0
1494267008,2,0
1494316208,0,1
1495219809,0,1
1496781609,1,0
1496961908,1,0
1497567609,1,0
1497769211,1,0
1498615209,1,0
1499827209,2,0
1500384310,1,0
1500584408,27,0
1500584711,24,0
1500585010,25,0
1500585310,105,0
1500585610,58,0
1500585912,78,0
1500586210,54,0
1500586510,55,0
1500586809,73,0
1501364113,1,0
1501367713,0,0
1501554613,1,0
1501958112,4,0
1501958412,117,0
1501959013,12,0
1501959313,34,0
1501959913,3,0
1502037915,5,0
1502038212,50,0
1502038513,18,0
1502039114,1,0
1502039411,2,0
1502040013,3,0
1502040325,3,0
1502040615,3,0
1502041213,8,0
1502041812,7,0
1502042113,4,0
1502042413,3,0
1502043014,8,0
1502043313,7,0
1502043613,2,0
1502043922,5,0
1502044214,3,0
1502044514,6,0
1502044813,1,0
1502399413,4,0
1502400013,12,0
1502400914,2,0
1502565313,1,0
1502698213,1,0
1502849713,2,0
1502850015,6,0
1502850614,5,0
1502959213,21,0
1502959513,36,0
1502978113,17,0
1503162312,14,0
1503165614,3,0
1503171914,9,0
1503172213,2,0
1503177014,0,1
1503349514,1,0
1503419123,18,0
1503419415,117,0
1503420014,248,0
1503420313,133,0
1503420613,107,4
1503420914,125,0
1503421214,119,0
1503421813,248,0
1503422114,115,0
1503422414,3,0
1503438914,0,1
1503662715,1,0
1503781214,1,0
1505309416,0,1
1505429115,0,0
1505431215,0,0
1506063014,1,0
1506392413,1,0
1506740114,1,0
