DateTime,Entries,UniqueIPs
1496120709,2723,2776
1496135709,2724,2777
1496136309,2723,2776
1496140508,2722,2775
1496142609,2721,2774
1496147112,2722,2775
1496153409,2723,2776
1496154008,2724,2777
1496158509,2725,2778
1496172309,2726,2779
1496206209,2727,2780
1496207409,2729,2782
1496221810,2730,2783
1496228408,2731,2784
1496232908,2732,2785
1496293509,2731,2784
1496310309,2732,2785
1496311808,2733,2786
1496321109,2736,2790
1496324108,2735,2789
1496331909,2736,2790
1496341809,2737,2791
1496344509,2738,2792
1496376909,2739,2793
1496382908,2740,2794
1496387109,2741,2795
1496395808,2742,2796
1496396109,2741,2795
1496396709,2740,2794
1496414112,2741,2795
1496415010,2742,2796
1496426109,2743,2797
1496432108,2744,2798
1496433608,2745,2799
1496434510,2746,2800
1496435409,2747,2801
1496445008,2746,2800
1496463009,2747,2801
1496472609,2749,2803
1496476809,2751,2805
1496482808,2750,2804
1496496909,2751,2805
1496499008,2750,2804
1496511010,2751,2805
1496517009,2752,2806
1496528409,2751,2805
1496536509,2752,2806
1496546713,2753,2807
1496551509,2752,2806
1496571309,2753,2807
1496608209,2754,2808
1496624708,2756,2810
1496647809,2757,2811
1496649008,2758,2812
1496650509,2757,2811
1496651117,2758,2812
1496656808,2759,2813
1496663709,2758,2812
1496692809,2757,2811
1496702409,2758,2812
1496731209,2759,2813
1496733915,2758,2812
1496736909,2759,2813
1496738408,2760,2814
1496742610,2759,2813
1496757308,2758,2812
1496766310,2759,2813
1496770809,2760,2814
1496787309,2761,2815
1496840409,2762,2816
1496847008,2763,2817
1496847309,2764,2818
1496870714,2765,2819
1496910609,2764,2818
1496926509,2763,2817
1496927109,2762,2816
1496929209,2763,2817
1496932210,2764,2818
1496934308,2763,2817
1496946316,2762,2816
1496952309,2761,2815
1496956209,2760,2814
1496962209,2761,2815
1496965509,2762,2816
1496968809,2763,2817
1496980808,2764,2818
1496982009,2765,2819
1497019209,2766,2820
1497036909,2767,2821
1497039010,2768,2822
1497049809,2767,2821
1497054009,2768,2822
1497055509,2769,2823
1497074709,2770,2824
1497078608,2771,2825
1497093008,2770,2824
1497098408,2771,2825
1497130509,2772,2826
1497153909,2771,2825
1497170108,2770,2824
1497171009,2771,2825
1497172809,2772,2826
1497226209,2771,2825
1497233110,2772,2826
1497262508,2771,2825
1497273010,2772,2826
1497273910,2771,2825
1497294608,2772,2826
1497304809,2773,2827
1497308108,2774,2828
1497309310,2775,2829
1497345009,2774,2828
1497357308,2775,2829
1497369009,2776,2830
1497372009,2775,2829
1497372909,2776,2830
1497374109,2777,2831
1497392109,2778,2832
1497418508,2777,2831
1497429308,2778,2832
1497431108,2777,2831
1497432609,2776,2830
1497485411,2777,2831
1497498309,2776,2830
1497509709,2777,2831
1497527108,2776,2830
1497529809,2777,2831
