DateTime,Entries,UniqueIPs
1499214009,52558,128809
1499224210,52557,128808
1499226610,52556,128807
1499241909,52686,128937
1499242809,52694,128946
1499247610,52693,128945
1499247910,52694,128946
1499271609,52710,128964
1499300409,52722,128977
1499306110,52721,128976
1499326209,52720,128975
1499329209,52731,128986
1499347809,52732,128987
1499348109,52733,128988
1499349610,52735,128990
1499356511,52736,128991
1499358010,52751,129005
1499386809,52781,129035
1499410811,52780,129034
1499415609,52803,129058
1499415909,52813,129068
1499433609,52814,129069
1499444109,52813,129068
1499444410,52837,129093
1499473209,52862,129118
1499487609,52861,129117
1499499910,52862,129118
1499502009,52878,129135
1499505009,52877,129134
1499517309,52878,129135
1499518211,52879,129136
1499520610,52880,129137
1499522409,52881,129138
1499527210,52882,129139
1499530809,52895,129152
1499532009,52896,129153
1499534109,52897,129154
1499549709,52898,129155
1499550009,52899,129156
1499553909,52898,129155
1499559913,52928,129186
1499588409,52938,129196
1499603410,52938,129196
1499617210,52965,129225
1499617510,52972,129232
1499646009,52984,129245
1499664317,52983,129244
1499674809,52994,129256
1499679009,52993,129255
1499700910,52992,129254
1499703609,53004,129266
1499720710,53005,129267
1499732409,53024,129294
1499734510,53023,129293
1499762109,53061,129333
1499781909,53078,129350
1499790009,53099,129371
1499812509,53098,129370
1499818809,53111,129383
1499819409,53110,129382
1499822409,53109,129381
1499847610,53118,129391
1499849409,53141,129414
1499865910,53140,129413
1499876410,53159,129432
1499877010,53160,129433
1499879109,53159,129432
1499888110,53158,129431
1499888710,53157,129430
1499905210,53181,129457
1499914209,53181,129456
1499934010,53192,129468
1499941210,53191,129467
1499942410,53190,129466
1499962810,53210,129486
1499967609,53209,129485
1499980210,53210,129486
1499991610,53223,129500
1499991913,53222,129499
1500019210,53228,129505
1500020409,53236,129515
1500049209,53255,129534
1500050410,53256,129535
1500052510,53257,129536
1500056409,53258,129537
1500078010,53274,129554
1500106809,53281,129562
1500135609,53290,129572
1500146109,53289,129571
1500164409,53299,129582
1500193210,53327,129611
1500193513,53328,129612
1500219310,53329,129613
1500222010,53360,129644
1500222310,53362,129646
1500250809,53381,129666
1500279610,53399,129684
1500282910,53411,129696
1500308409,53436,129722
1500319513,53437,129723
1500336309,53436,129722
1500337209,53445,129731
1500346210,53444,129730
1500359709,53443,129729
1500366010,53456,129742
1500379210,53455,129741
1500382509,53454,129740
1500393609,53453,129739
1500394810,53466,129753
1500410409,53465,129752
1500423609,53478,129767
1500443410,53477,129766
1500452410,53495,129784
1500471609,53494,129783
1500481211,53514,129806
1500510010,53523,129815
1500512411,53523,129814
1500538810,53530,129821
1500567912,53554,129846
1500574510,53553,129845
1500596410,53573,129865
1500625209,53582,129875
1500644110,53581,129874
1500654010,53598,129891
1500664510,53597,129890
1500682810,53598,129891
1500684010,53599,129892
1500703209,53598,129891
1500711609,53612,129907
1500735609,53617,129912
1500735910,53618,129913
1500737112,53619,129914
1500737710,53620,129915
1500740410,53631,129926
1500747910,53632,129927
1500752110,53633,129928
1500769210,53641,129937
1500773710,53642,129938
1500784510,53643,129939
1500798010,53650,129947
1500817211,53651,129948
1500826810,53672,129970
1500835210,53673,129971
1500855610,53684,129981
1500865510,53683,129980
1500884410,53693,129990
1500885610,53694,129991
1500886209,53693,129990
