DateTime,AddedIPs,RemovedIPs
1496613306,0,256
1496664011,0,256
1496670715,768,0
1496683823,256,0
1496703863,0,256
1496705425,256,0
1496760731,0,768
1496764340,256,0
1496776506,0,256
1496784618,0,256
1496789106,0,256
1496842229,0,256
1496847058,0,256
1496854240,0,256
1496871018,256,0
1496875507,0,256
1496899817,256,0
1496943906,0,768
1497016302,0,256
1497027160,0,256
1497072623,256,0
1497109978,1024,0
1497113403,256,0
1497117155,0,256
1497189103,0,256
1497191422,0,256
1497199892,1024,0
1497203516,256,0
1497207208,0,256
1497245423,0,256
1497271926,1280,0
1497274212,0,512
1497276007,256,0
1497281415,256,0
1497288617,0,256
1497290007,0,256
1497380051,512,0
1497382218,0,256
1497400220,256,0
1497457816,0,256
1497538391,1024,0
1497541903,0,256
1497544217,256,0
1497552900,512,0
1497574214,256,0
1497628452,512,0
1497630615,0,256
1497668359,256,0
1497677425,0,256
1497714709,768,512
1497720615,0,256
1497729279,256,0
1497736513,256,0
1497801167,768,0
1497804306,0,512
1497807020,0,256
1497814218,0,256
1497815638,256,0
1497828621,0,256
1497875421,0,768
1497878106,0,512
1497883982,256,0
1497963007,0,256
1497970404,512,0
1497972617,256,0
1497978009,0,256
1497984936,0,768
1497999614,0,512
1498013485,0,256
1498060441,256,0
1498062619,256,0
1498073420,0,256
1498103452,0,256
1498141822,0,512
1498147211,768,0
1498157697,256,512
1498168815,0,256
1498233136,768,512
1498236756,0,256
1498244073,0,256
1498318227,0,512
1498323174,1792,0
1498333850,0,256
1498348727,0,256
1498395954,512,0
1498404944,0,768
1498410907,256,0
1498418105,0,256
1498488307,0,256
1498489384,256,0
1498498221,256,0
1498501823,0,512
1498575034,0,768
1498577421,256,0
1498600330,256,0
1498650764,256,0
1498665289,0,256
1498675868,0,256
1498751702,0,768
1498755196,0,256
1498762524,0,256
1498773624,1024,0
1498775418,256,256
1498780702,256,0
1498787888,256,0
1498794707,256,0
1498838020,0,512
1498848795,256,256
1498856093,0,256
1498924189,256,0
1498926615,0,512
1498942336,256,0
1498996278,768,0
1499008505,0,256
1499011205,256,0
1499014812,0,256
1499026506,0,256
1499027421,256,0
1499031023,256,0
1499032655,0,256
1499039377,0,256
1499094020,0,512
1499100687,256,256
1499108105,256,0
1499117422,256,0
1499121018,0,256
1499179932,0,512
1499190654,512,0
1499194427,512,0
1499254221,0,256
1499258707,0,256
1499267707,0,256
1499275826,0,512
1499277623,1024,0
1499297096,0,256
1499364029,768,0
1499367630,256,0
1499377509,0,512
1499378431,256,0
1499384708,0,256
1499449505,0,256
1499452204,0,768
1499473817,0,256
1499500948,256,0
1499522475,256,0
1499526169,256,0
1499538619,256,0
1499600965,0,256
1499621418,0,256
1499629795,1024,0
1499631307,0,256
1499634905,0,256
1499683905,256,0
1499694831,512,0
1499699083,512,0
1499705511,256,512
1499711418,0,256
1499733020,0,256
1499741448,0,256
1499774416,512,0
1499795580,0,1024
1499800507,0,256
1499806494,0,256
1499821218,0,256
1499871621,0,256
1499874617,256,0
1499901306,0,256
1499964537,512,0
1499968816,0,256
1499972418,0,256
1499987705,0,256
1500054669,256,0
1500066037,0,512
1500078619,256,0
1500127217,0,512
1500138016,0,256
1500142504,0,256
1500186627,0,256
1500223793,768,0
1500234571,0,256
1500238243,256,0
1500248964,256,0
1500303086,0,768
1500306568,1024,0
1500330623,0,256
1500337821,256,0
1500375122,768,0
1500376507,0,512
1500384617,256,0
1500409828,256,0
1500413425,0,256
1500479401,0,256
1500486770,768,0
1500496224,256,0
1500551384,768,0
1500553817,256,0
1500569382,256,0
1500583793,256,0
1500588910,0,256
1500659378,768,512
1500670145,0,256
1500701430,256,0
1500738681,512,0
1500762622,0,256
1500825033,1280,0
1500828535,0,512
1500839315,0,256
1500843115,0,256
1500846578,0,256
1500897049,1280,0
1500911455,0,256
1500928221,0,256
1500929604,512,0
1500942626,0,256
1500952506,0,256
1500979863,0,512
1500988507,0,256
1501005130,1280,0
1501023624,0,256
1501028107,0,256
1501032625,0,256
1501076954,512,0
1501091460,0,256
1501094989,0,256
1501097417,0,256
1501100108,0,256
1501159847,0,256
1501165827,0,256
1501167000,1024,0
1501181396,0,256
1501201825,0,256
1501202994,0,256
1501253388,768,0
1501263019,0,768
1501267859,256,0
1501343390,0,512
1501354301,1024,0
1501367416,0,0
1501428618,0,512
1501432217,0,256
1501453821,0,256
1501460107,0,256
1501501777,0,512
1501510506,0,256
1501514108,0,256
1501516233,0,256
1501518617,256,0
1501530569,256,0
1501533021,256,0
1501602532,512,0
1501609733,0,768
1501614907,0,256
1501615821,256,0
1501648228,0,256
1501681734,0,256
1501688946,256,0
1501692520,0,256
1501760980,256,0
1501770616,0,512
1501774217,0,256
1501779215,256,0
1501807779,256,0
1501857028,0,256
1501858154,256,0
1501865361,256,0
1501875027,256,0
1501876138,0,256
1501885826,0,256
1501887621,256,0
1501890616,0,256
1501951763,256,0
1501957819,0,256
1501965022,0,256
1501979430,256,0
1502008227,0,256
1502019907,0,256
1502021706,0,256
1502028088,512,0
1502033419,0,256
1502044222,256,0
1502051420,256,0
1502120960,0,512
1502123429,0,256
1502137830,0,512
1502139002,256,0
1502152221,256,0
1502206220,0,512
1502217018,0,256
1502223308,0,256
1502293783,0,512
1502297685,512,0
1502325019,256,0
1502365759,0,256
1502382621,0,256
1502383765,0,256
1502387371,768,0
1502407825,256,0
1502461824,0,512
1502463007,768,0
1502469016,256,0
1502471708,0,256
1502479821,0,256
1502483422,256,0
1502491803,0,256
1502556599,0,512
1502581873,0,256
1502632276,0,256
1502718731,1024,0
1502736679,256,0
1502744109,0,512
1502755169,256,0
1502757031,0,256
1502804709,0,512
1502805261,768,0
1502814624,0,256
1502815860,256,0
1502829023,0,256
1502836230,256,0
1502838030,256,0
1502841101,256,0
1502901019,256,0
1502901910,0,768
1502931174,0,256
1502978027,256,0
1502980217,256,0
1502989216,256,0
1502994621,256,0
1503012629,256,0
1503064571,768,0
1503067509,0,512
1503070219,256,0
1503093676,256,0
1503158439,1024,0
1503175938,0,256
1503181822,256,256
1503248020,512,0
1503250219,256,0
1503316339,1280,0
1503323666,0,512
1503336617,256,0
1503340218,0,256
1503341638,0,512
1503348306,0,256
1503373929,256,0
1503406431,1024,0
1503410021,256,1280
1503415822,256,0
1503441906,0,256
1503498632,0,256
1503503611,256,0
1503582853,0,256
1503590430,256,0
1503669234,0,1024
1503683685,0,256
1503685819,256,0
1503702907,0,256
1503763229,0,512
1503786615,0,256
1503852896,0,256
1503871225,256,0
1503876619,0,256
1503903220,0,256
1503921632,0,1280
1503927023,0,256
1503928438,256,0
1503930620,256,0
1503934219,256,256
1503937818,256,0
1503945020,256,256
