DateTime,AddedIPs,RemovedIPs
1500852627,256,256
1500856226,256,256
1500897049,1792,1792
1500899414,256,256
1500900641,256,256
1500904185,256,256
1500906616,512,512
1500910215,512,512
1500911455,256,256
1500913818,256,256
1500917421,256,256
1500918649,512,512
1500922175,256,256
1500925813,256,256
1500929604,512,512
1500935421,256,256
1500936640,256,256
1500942626,256,256
1501005130,2304,2304
1501008602,256,256
1501011018,256,256
1501012174,256,256
1501015834,256,256
1501029017,256,256
1501044639,256,256
1501050626,256,256
1501055402,256,256
1501076954,1280,1280
1501087893,256,256
1501093817,256,256
1501094989,256,256
1501098594,256,256
1501111824,256,256
1501167000,1792,1792
1501170578,512,512
1501173015,256,256
1501174164,256,256
1501176618,256,256
1501180218,512,512
1501181396,256,256
1501191020,256,256
1501194623,256,256
1501199466,256,256
1501202994,256,256
1501253388,1536,1536
1501255816,512,512
1501257039,768,768
1501259418,512,512
1501260717,256,256
1501267859,256,256
1501271375,256,256
1501273820,256,256
1501274988,256,256
1501277422,256,256
1501281020,256,256
1501282270,256,256
1501284620,256,256
1501285845,256,256
1501288224,256,256
1501354301,2048,2048
1501357783,256,256
1501361344,256,256
1501367416,0,0
1501368600,256,256
1501397374,256,256
1501404643,256,256
1501415385,1792,1792
1501417812,256,256
1501428618,256,256
1501453821,256,256
1501457419,256,256
1501516233,1280,1280
1501518617,256,256
1501527035,256,256
1501530569,256,256
1501533021,512,512
1501540220,256,256
1501545233,256,256
1501602532,1536,1536
1501613474,256,256
1501615821,256,256
1501619419,256,256
1501624820,256,256
1501633821,256,256
1501688946,1024,1024
1501710588,256,256
1501713022,256,256
1501714410,256,256
1501716618,256,256
1501717785,256,256
1501720227,256,256
1501760980,768,768
1501775347,256,256
1501777821,256,256
1501779215,256,256
1501807779,256,256
1501858154,1536,1536
1501864220,256,256
1501865361,256,256
1501867820,256,256
1501868950,256,256
1501875027,256,256
1501876138,256,256
1501887621,256,256
1501911027,256,256
1501951763,1280,1280
1501954218,256,256
1501957819,256,256
1501959197,256,256
1501961421,256,256
1501965022,256,256
1501977022,256,256
1501979430,256,256
1502028088,1024,1024
1502029817,256,256
1502044222,256,256
1502051420,256,256
1502053236,256,256
1502055021,256,256
1502058619,256,256
1502062220,256,256
1502065829,256,256
1502139002,1024,1024
1502152221,256,256
1502160599,256,256
1502200169,1280,1280
1502202612,256,256
1502203800,256,256
1502206220,256,256
1502209820,512,512
1502211055,256,256
1502217018,256,256
1502218809,256,256
1502224220,512,512
