DateTime,AddedIPs,RemovedIPs
1503203522,688,616
1503211443,351,393
1503219122,343,334
1503226806,254,251
1503230643,170,172
1503238322,153,143
1503246002,134,139
1503253683,93,90
1503261362,63,65
1503269043,53,52
1503276722,788,893
1503284644,698,667
1503288484,607,538
1503296163,373,378
1503303845,283,283
1503311523,197,192
1503319204,180,198
1503326883,123,129
1503334564,149,135
1503342243,103,104
1503346088,102,96
1503353763,67,64
1503361444,762,886
1503369122,759,654
1503376803,594,548
1503384483,377,384
1503392164,306,317
1503399843,216,228
1503403682,165,158
1503411362,133,133
1503419043,128,124
1503426722,103,105
1503434643,96,88
1503442323,69,70
1503446414,870,899
1503454082,708,738
1503461763,611,562
1503469444,330,346
1503477123,282,260
1503484804,221,227
1503492483,175,170
1503500168,103,106
1503507843,162,153
1503511683,114,111
1503519363,77,80
1503527043,54,58
1503534722,890,896
1503542404,691,745
1503550083,589,551
1503557763,372,366
1503565444,297,292
1503569282,190,188
1503576962,172,179
1503584643,144,146
1503592322,137,137
1503600004,119,112
1503607683,95,96
1503615845,59,54
1503619684,910,889
1503627363,684,755
1503635043,571,548
1503642722,331,338
1503650403,283,283
1503658082,207,206
1503665763,186,182
1503673443,116,119
1503677286,178,171
1503685203,132,127
1503692884,111,106
1503700563,62,67
1503708243,831,869
1503715922,686,653
1503723605,667,629
1503727444,383,400
1503735123,328,312
1503742803,213,211
1503750483,200,192
1503758404,141,143
1503766082,147,148
1503773764,102,103
1503781442,100,102
1503785283,94,90
1503792963,893,909
1503800642,819,828
1503808323,666,687
1503816004,350,332
1503823683,376,371
1503831364,170,170
1503839043,228,222
1503842883,127,128
1503850564,196,197
1503858242,97,94
1503865924,102,112
1503874083,51,50
1503881763,852,884
1503889444,703,691
1503893282,616,604
1503900963,378,360
1503908643,314,300
1503916323,188,199
1503924004,221,229
1503931682,106,111
1503939363,169,163
1503947043,124,120
1503950888,126,135
1503958562,65,65
1503966244,835,885
1503973925,679,647
1503981604,633,631
1503989282,374,377
1503996963,355,331
1504004645,204,206
1504008489,196,197
1504016163,131,136
1504024084,155,151
1504032004,111,111
1504039682,109,114
1504047363,69,67
1504051210,2,883
1504058884,868,2
1504066563,710,703
1504074243,324,307
1504081922,274,277
1504089604,173,180
1504097283,181,176
1504104962,112,122
1504112642,155,151
1504116962,82,83
1504124643,109,99
