DateTime,Entries,UniqueIPs
1506529947,37499,40270
1506530439,37548,40308
1506531407,37603,40379
1506531875,37667,40445
1506532360,37687,40479
1506533306,37745,40554
1506533800,37746,40555
1506534266,37753,40574
1506535230,37732,40551
1506535286,37769,40590
1506535852,37771,40591
1506536205,37819,40638
1506537140,37993,40834
1506538118,37806,40616
1506539082,37807,40608
1506539767,37806,40607
1506540022,37796,40591
1506540999,37738,40519
1506541703,37738,40519
1506541931,37795,40581
1506542935,37583,40332
1506543606,37587,40336
1506543854,37645,40404
1506544843,37316,40020
1506545525,37318,40022
1506545784,37264,39951
1506546086,37309,39998
1506546755,37539,40268
1506547448,37536,40265
1506547700,37744,40473
1506548671,37848,40571
1506549639,38075,40804
1506549687,38117,40847
1506550606,38533,41329
1506551537,38903,41719
1506552507,39024,41849
1506553464,39146,41963
1506554430,39173,41975
1506555381,39213,42020
1506556353,39303,42131
1506556886,37627,40407
1506557295,37624,40417
1506558270,37660,40449
1506559223,37702,40492
1506560181,37724,40509
1506560486,37760,40551
1506561148,37817,40630
1506562103,37854,40672
1506563063,37870,40699
1506564082,37862,40687
1506564087,37892,40720
1506564972,37892,40721
1506565229,37894,40698
1506566175,37869,40680
1506566897,37870,40680
1506567140,37830,40639
1506567687,37858,40669
1506568106,37798,40632
1506568815,37797,40631
1506569054,37801,40655
1506570034,37820,40697
1506570735,37824,40703
1506570971,37743,40610
1506571287,37768,40639
1506571976,37762,40630
1506572648,37757,40627
1506572901,37760,40636
1506573884,37808,40679
1506574566,37809,40680
1506574838,37820,40700
1506574886,37881,40761
1506575801,37927,40798
1506576484,37926,40797
1506576751,37944,40815
1506577709,37907,40779
1506578418,37911,40784
1506578661,38003,40878
1506579629,37976,40867
1506580356,37979,40871
1506580583,37883,40781
1506581557,37758,40633
1506582255,38127,41029
1506582505,38014,40916
1506583473,37959,40873
1506584170,37957,40871
1506584421,38098,41050
1506585390,38185,41148
1506585687,38544,41521
1506586087,38546,41524
1506586347,38475,41444
1506587296,38464,41419
1506588016,38458,41413
1506588267,38397,41362
1506589265,38386,41359
1506589287,38688,41675
1506589940,38688,41675
1506590189,38669,41646
1506591141,38669,41635
1506591861,38667,41633
1506593337,38653,41622
1506594029,38653,41622
1506594509,38677,41656
1506595456,38688,41648
1506595942,38689,41649
1506596442,38735,41699
1506596487,38853,41823
1506597408,38881,41836
1506597867,38887,41842
1506598846,38711,41620
1506599776,38835,41768
1506600087,39016,41951
1506600746,38997,41914
1506601691,39002,41943
1506602680,38969,41937
1506603633,38982,41967
1506603687,39046,42036
1506604580,39082,42093
1506605548,39037,42055
1506606528,39045,42064
1506607467,39154,42181
1506608413,39215,42261
1506609386,39196,42240
1506610348,39163,42231
1506610887,39226,42298
1506611307,39224,42309
