DateTime,AddedIPs,RemovedIPs
1505996162,280,289
1505996244,4,0
1505998586,12,517
1506000660,3,6
1506001803,7,252
1506003446,0,1
1506003844,179,178
1506005110,0,501
1506007046,1,0
1506010643,5,0
1506011523,177,175
1506012563,1,2
1506014111,1245,0
1506017843,4,0
1506019443,379,129
1506023485,7,8
1506025039,4,1
1506027123,113,115
1506027650,1,0
1506029543,2,251
1506032235,3,0
1506034400,5,3
1506034821,119,114
1506035836,249,1441
1506038642,889,841
1506039446,8,0
1506042516,1,1
1506044830,5,3
1506046325,629,674
1506046642,1,0
1506054003,684,655
1506055924,2,5
1506059237,1,0
1506061040,1,0
1506061683,425,415
1506066626,6,7
1506068244,5,0
1506069363,283,267
1506075440,1,0
1506077045,234,231
1506078007,0,2
1506079387,0,28
1506082640,394,641
1506084722,154,151
1506086184,30,17
1506087005,2,3
1506088605,3,6
1506089836,1,0
1506092412,206,203
1506093433,1,0
1506094206,1,0
1506096243,204,206
1506097039,3,254
1506099174,7,5
1506102310,901,2280
1506103924,121,119
1506104240,11,0
1506110414,3,3
1506111604,106,103
1506111720,0,255
1506118635,5,0
1506119523,124,130
1506121450,3,7
1506122238,0,27
1506125837,3,0
1506127204,782,898
1506129877,0,3
1506130696,1,0
1506132341,7,5
1506133038,1,0
1506134885,638,605
1506140261,258,1
1506142564,621,564
1506143458,2,7
1506145646,1,0
1506147438,6,0
1506150243,380,410
1506153658,1,0
1506154323,309,286
1506154553,6,4
1506154633,2,0
1506156351,1,0
1506162004,244,244
1506165392,8,2
1506166206,0,16
1506168083,307,348
1506169043,2,0
1506169684,173,171
1506173067,1,3
1506176130,512,0
1506176599,6,5
1506177603,185,176
1506183441,1,0
1506184206,1,0
1506185282,101,105
1506187433,9,5
1506189648,3,0
1506190640,10,0
1506192963,99,97
1506195050,255,0
1506197836,3,0
1506198605,7,9
1506199547,2,0
1506200883,68,67
1506204723,165,165
1506205037,2,0
1506209541,5,284
1506212403,730,871
1506219437,1,0
1506220083,610,505
1506220226,9,4
1506226667,1,1
1506227762,700,657
1506230770,5,4
1506233839,5,0
1506235682,426,429
1506237350,1,0
1506241038,1,0
1506241917,7,5
1506243363,360,363
1506248234,0,1
1506251042,257,265
1506251834,1,0
1506252736,7,24
1506254883,154,163
1506255443,183,1149
1506259022,2,2
1506260889,1,1
1506262562,231,219
1506262636,2,0
1506262995,7,3
1506265244,256,0
1506267140,1,0
1506268963,0,252
1506269834,1,0
1506270244,142,147
1506274012,11,4
1506277032,4,0
1506278163,121,124
1506284239,3,0
1506285325,8,3
1506286084,113,112
1506291435,3,0
1506293763,59,57
1506296422,12,19
1506297606,564,861
1506298634,5,0
1506305283,709,418
1506307439,7,0
1506312962,691,662
1506313060,5,0
1506318690,8,4
1506320233,4,0
1506320644,379,372
1506325512,0,1
1506327433,4,1
1506328323,287,294
1506329566,9,7
1506336003,252,277
1506339132,0,26
1506340360,6,10
1506340862,218,2688
1506341832,6,0
1506343683,178,180
1506345421,1,4
1506348528,17,263
1506350072,3,0
1506351362,164,157
1506353412,1,0
1506354354,1,0
1506356232,2,0
1506357953,1,0
1506359043,167,163
1506361705,7,4
1506362884,332,80
1506363429,3,1
1506364006,251,0
1506370802,9095,2841
1506372522,4,5
1506377832,4,0
1506378483,95,95
1506379509,735,728
1506382657,0,8
1506383502,4,4
1506385029,2,0
1506386163,768,863
1506390050,1084,1081
1506392170,2,1
1506393842,690,625
1506394148,5,5
1506399456,2,0
1506400801,1192,1182
1506401523,647,602
1506404936,5,5
1506406625,4,0
1506409205,362,360
1506411951,992,1000
1506413042,256,245
1506413830,4,1
1506415027,3,2
1506420723,217,198
1506421029,5,0
1506422511,942,1000
1506423651,3,0
1506425927,4,17
1506428414,418,454
1506432642,0,1
1506433212,822,831
1506435350,254,0
1506436842,435,151
1506437112,6,4
1506439032,1,0
1506442629,4,1
1506444001,812,806
1506444483,1365,185
1506447999,3,6
1506449841,3,0
1506452163,105,91
1506453443,2,0
1506454801,801,782
1506457045,6,0
1506458913,5,10
1506459842,100,92
1506460643,2,0
1506461654,0,256
1506464243,5,1
1506465912,813,804
1506467522,46,47
1506468743,0,1168
1506470035,12,1
1506471363,504,839
1506471448,5,0
1506476401,1407,1529
1506478644,1,1
1506479042,703,376
1506480512,1,0
1506480947,7,6
1506484977,1,0
1506485871,3,0
1506486724,674,636
1506487201,1247,1306
1506489446,1,0
1506491770,4,5
1506493045,2,2
1506494403,416,402
1506496650,1,0
1506498001,968,1051
1506500247,6,0
1506502084,308,279
1506502532,4,6
1506507442,2,2
1506508801,976,982
1506509764,231,213
1506513843,162,178
1506514646,298,290
1506516345,1,0
1506518246,3,0
1506519052,0,7
1506519601,1118,1382
1506521523,145,118
1506521847,2,0
1506524169,18,12
1506524685,6,11
1506525445,2,0
1506528931,242,0
1506529202,191,178
1506530159,0,256
1506530843,972,942
1506531653,1,0
1506535662,10,5
1506536244,4,1
1506536884,125,125
1506537471,506,0
1506537906,1,0
1506539730,0,254
1506539847,2,0
1506540648,1,0
1506541201,842,778
1506543447,6,0
1506544804,99,97
1506546592,4,5
1506547039,1,0
1506550642,6,2
1506552001,748,726
1506552483,67,67
1506553263,1,0
1506554237,2,0
1506557526,8,32
1506557844,2,0
1506560164,564,860
1506561442,6,0
1506562801,1554,1597
1506565047,2,0
1506566707,1,0
1506567867,699,427
1506568430,6,5
1506571684,645,661
1506572267,4,2
1506573601,1200,1185
1506579363,409,379
1506579446,3,0
1506583044,1,0
1506584401,1115,1117
1506586652,6,1
1506587043,324,277
1506590385,6,6
1506592975,1,0
1506593842,3,0
1506594963,226,219
1506595201,1195,1192
1506600183,348,353
1506601047,1,0
1506601082,2,10
1506601851,2,0
1506602642,154,137
1506604650,1,0
1506605450,0,4
1506606001,1021,1004
1506608139,1,0
1506608251,2,1
1506610323,126,123
1506611534,34,17
1506611839,8,6
1506615440,5,1
1506616801,928,1145
1506618009,153,154
1506618058,1,0
1506619046,2,0
1506621776,1,0
1506622643,10,3
1506625683,135,140
1506626250,0,1
1506627951,888,878
1506629842,5,0
1506633364,85,81
1506633568,10,5
1506637203,85,75
1506638401,908,815
1506640644,1,0
1506643374,0,25
1506644250,7,0
1506644884,512,854
1506649201,1935,2044
1506651446,4,0
1506652563,697,374
1506655219,1,0
1506655316,6,7
1506658671,2,1
1506660243,2121,2082
1506665843,3,0
1506665993,7,3
1506668163,413,392
1506670801,1219,1248
1506672044,242,233
1506672077,2,0
1506673042,7,0
1506676573,1,0
1506676998,9,4
1506679683,226,223
1506680246,2,0
1506681601,1171,1186
1506683736,1,0
1506684745,1,0
1506687363,1055,423
1506687451,3,0
1506688046,2,3
1506688344,1,0
1506691171,0,1024
1506691807,0,7
1506692401,1086,1086
1506695043,153,145
1506698904,19,15
1506699052,7,9
1506701848,7,0
1506702964,169,155
1506703201,950,940
1506707245,1,0
1506709048,2,0
1506709608,7,6
1506710643,115,89
1506714001,773,776
1506716252,5,0
1506718323,64,60
1506720646,10,11
1506723449,5,1
1506726724,751,676
1506727052,1,0
1506729778,0,12
1506730640,3,0
1506732011,7,12
1506734404,38,857
1506735601,2026,2146
1506738242,749,29
1506743109,8,8
1506745077,2,0
1506746163,477,429
1506746401,1081,1092
1506748507,0,256
1506748646,1,0
1506752247,2,0
1506753377,7,4
1506753843,364,319
1506757201,1086,1090
1506759456,5,1
1506761522,243,240
1506763052,1,0
1506764242,7,5
1506766642,1,0
1506766843,1,0
1506768001,953,980
1506769379,194,201
