DateTime,Entries,UniqueIPs
1506543304,106548,9429994
1506543606,106553,9430000
1506543904,106560,9430007
1506544504,106559,9430006
1506545105,106566,9430010
1506545525,106564,9430007
1506545704,106569,9430011
1506546303,106571,9430013
1506546904,106568,9430010
1506547448,106575,9430017
1506547503,106571,9430014
1506547932,106576,9430019
1506548104,106589,9430031
1506548704,106592,9430034
1506549634,106598,9430037
1506549903,106602,9430041
1506550503,106606,9430045
1506551104,106619,9430058
1506551533,106621,9430060
1506552030,106622,9430061
1506552604,106728,9430175
1506553205,106728,9430175
1506553460,106727,9430173
1506553803,106732,9430178
1506554403,106736,9430182
1506555004,106732,9430178
1506555376,106722,9430169
1506555604,106730,9430177
1506556203,106730,9430177
1506556805,106730,9430177
1506557290,106732,9430179
1506557530,106783,9430230
1506558003,106774,9430221
1506558603,106776,9430223
1506559217,106764,9430210
1506559803,106768,9430214
1506560405,106772,9430218
1506561003,106781,9430227
1506561604,106774,9430220
1506562592,106781,9430227
1506562803,106786,9430230
1506563058,106787,9430229
1506563405,106783,9430224
1506564004,106779,9430220
1506564603,106779,9430219
1506564972,106776,9430216
1506565203,106774,9430214
1506565803,106772,9430211
1506566402,106770,9430209
1506566897,106778,9430218
1506567002,106781,9430221
1506567605,106780,9430220
1506568204,106788,9430228
1506568815,106795,9430235
1506569403,106808,9430246
1506570006,106801,9430238
1506570735,106811,9430250
1506571205,106812,9430250
1506571803,106807,9430244
1506572404,106806,9430243
1506572648,106811,9430248
1506573003,106817,9430254
1506573605,106809,9430246
1506574204,106883,9430337
1506574566,106881,9430336
1506574804,106881,9430336
1506575404,106878,9430333
1506576004,106876,9430331
1506576484,106870,9430324
1506576747,106950,9430414
1506577220,106955,9430419
1506577803,106956,9430422
1506578418,106979,9430446
1506578706,106968,9430435
1506579302,106969,9430436
1506579904,106976,9430443
1506580356,106969,9430436
1506580504,106958,9430425
1506581104,106951,9430418
1506581704,106955,9430422
1506582255,106950,9430417
1506582302,106953,9430420
1506582604,106952,9430419
1506583203,106949,9430416
1506583803,106947,9430414
1506584170,106946,9430412
1506584402,106958,9430425
1506585003,107023,9430492
1506585604,107239,9430726
1506586087,107235,9430722
1506586204,107229,9430715
1506586803,107273,9430768
1506587404,107285,9430779
1506588016,107269,9430760
1506588605,107356,9430852
1506589204,107354,9430850
1506589940,107346,9430842
1506590105,107358,9430856
1506590704,107366,9430863
1506591302,107366,9430863
1506591861,107374,9430871
1506593104,107370,9430866
1506594029,107294,9430782
1506594302,107297,9430785
1506594604,107291,9430779
1506595204,107278,9430767
1506595697,107279,9430768
1506595942,107283,9430772
1506596404,107278,9430767
1506597003,107281,9430770
1506597867,107357,9430849
1506598204,107356,9430848
1506598804,107341,9430833
1506599404,107332,9430823
1506599771,107327,9430817
1506600004,103440,9426864
1506600602,107319,9430809
1506601222,107316,9430808
1506601687,107330,9430822
1506602103,107309,9430800
1506603004,107289,9430779
1506603628,107226,9430703
1506604204,107224,9430701
1506604803,107255,9430733
1506605543,107350,9430827
1506605704,107374,9430852
1506606506,107385,9430863
1506606904,107382,9430860
1506607463,107397,9430875
1506607503,107400,9430878
1506608104,107385,9430864
1506608705,107468,9430951
1506609381,107450,9430932
1506609904,107465,9430947
1506610503,107470,9430952
1506611303,107469,9430952
1506611704,107472,9430955
1506612304,107537,9431021
1506612903,107540,9431024
1506613208,107534,9431018
1506613504,107535,9431019
1506614104,107556,9431040
1506614407,107622,9431114
1506615145,107618,9431111
1506615605,107613,9431106
1506616203,107611,9431104
1506616803,107630,9431123
1506617053,107644,9431137
1506617404,107653,9431146
1506618003,107655,9431148
1506618603,107655,9431148
1506618971,107662,9431155
1506619203,107747,9431240
1506619802,107746,9431239
1506620404,107826,9431328
1506620909,107828,9431329
1506621145,107826,9431327
1506621604,107826,9431327
1506621910,107750,9431236
1506622825,107747,9431233
1506623104,107758,9431243
1506623703,107765,9431250
1506624306,107775,9431261
1506624730,107778,9431265
1506624903,107783,9431270
1506625503,107795,9431283
