DateTime,AddedIPs,RemovedIPs
1506623285,1,0
1506624253,0,1
1506624724,10,10
1506626644,10,10
1506627124,1,1
1506627605,1,1
1506628088,3,6
1506628564,12,10
1506630007,10,11
1506630486,1,0
1506630964,0,1
1506631451,1,0
1506631926,8,9
1506632417,0,1
1506632887,2,0
1506633373,0,1
1506633850,11,10
1506634325,1,1
1506634808,0,1
1506635285,10,9
1506635770,0,1
1506636249,1,0
1506636727,0,1
1506637210,11,10
1506637689,0,1
1506638168,1,0
1506638650,0,3
1506640334,11,8
1506640805,8,8
1506641290,0,1
1506641764,1,1
1506642247,1,1
1506642965,12,11
1506643446,1,1
1506643925,1,2
1506644415,1,2
1506644898,9,8
1506645365,1,0
1506645849,0,1
1506646326,9,3
1506646823,3,8
1506647286,9,2
1506647765,4,11
1506648247,12,10
1506648732,2,2
1506649205,1,0
1506649687,0,1
1506650167,9,9
1506650651,1,0
1506651636,7,1
1506652092,1,8
1506653529,6,6
1506654016,2,1
1506654487,1,2
1506654966,1,1
1506655444,8,8
1506655928,1,0
1506657367,7,8
1506657850,0,2
1506658330,2,0
1506658807,0,1
1506659286,11,11
1506660728,6,2
1506661211,5,9
1506661692,0,2
1506662170,1,0
1506662644,10,11
1506663130,2,1
1506663847,15,1
1506664331,11,18
1506664815,10,0
1506665286,0,1
1506665772,1,0
1506666245,9,18
1506667205,0,1
1506667687,1,0
1506668648,0,1
1506669125,20,12
1506669612,1,2
1506670086,2,0
1506670566,0,1
1506671050,1,1
1506671527,11,10
1506672051,12,14
1506672056,2,0
1506672486,1,0
1506672969,0,3
1506673448,2,0
1506674405,10,20
1506674889,0,1
1506675367,1,0
1506676810,10,2
1506677291,2,11
1506677766,1,0
1506678246,0,2
1506678728,2,0
1506679225,0,1
1506679690,9,10
1506680169,1,0
1506681132,9,1
1506681605,1,8
1506682566,0,1
1506683051,9,10
1506683526,0,1
1506684023,3,1
1506684487,1,0
1506684968,10,8
1506685449,0,2
1506685924,3,1
1506686893,17,12
1506687371,7,1
1506687847,9,1
1506688325,0,1
1506688811,20,19
1506689285,1,1
1506689772,1,0
1506690246,9,10
1506690728,21,19
1506691212,0,1
1506691685,1,0
1506692165,9,14
1506692647,14,10
1506693129,1,2
1506693616,1,3
1506694087,1,0
1506694572,1,9
1506695046,12,1
1506695527,1,12
1506696005,1,0
1506696491,9,3
1506696968,10,9
1506697927,0,2
1506698408,3,0
1506698888,0,1
1506699365,11,10
1506699849,0,10
1506700327,0,2
1506700811,1,0
1506701531,9,13
1506702008,3,1
1506702495,1,0
1506702971,8,0
1506703444,9,9
1506703928,0,2
1506704419,2,1
1506704885,1,0
1506705365,10,10
1506705844,0,11
1506706328,1,1
1506706806,1,0
1506707284,1,0
1506708729,8,10
1506709209,0,2
1506709684,1,0
1506710647,0,1
1506711128,18,10
1506711610,5,0
1506714006,11,21
1506714487,4,6
1506714965,0,2
1506715447,1,0
1506715928,9,10
1506716410,0,1
1506716887,2,0
1506717364,10,2
1506717849,2,11
1506718330,1,0
1506718817,0,1
1506719286,1,1
1506719772,10,1
1506720245,11,19
1506720726,2,2
1506721205,1,2
1506721686,10,0
1506722167,10,10
1506722650,1,1
1506724088,0,1
1506724567,7,9
1506726736,13,10
1506727206,8,8
1506727713,1,12
1506728165,2,2
1506728653,1,0
1506729124,9,1
1506729614,1,11
1506731044,1,0
1506731529,10,1
1506732006,2,9
1506732487,0,1
1506732965,1,2
1506733450,1,0
1506733925,9,9
1506734414,8,3
1506734888,3,8
1506735364,0,3
1506735849,4,3
1506736330,0,1
1506736814,1,1
1506737286,10,2
1506737769,1,10
1506738249,1,0
1506738728,1,1
1506739207,1,0
1506739690,8,2
1506740166,2,8
1506740646,0,1
1506741128,1,1
1506741606,8,1
1506742334,1,11
1506742805,2,1
1506743287,10,2
1506743767,6,8
1506744726,0,2
1506745209,8,7
1506745929,2,8
1506746650,3,0
1506747124,9,0
1506747610,6,8
1506748088,1,0
1506748570,8,9
1506749045,9,16
1506749765,0,2
1506750966,20,10
1506751928,0,1
1506752410,10,10
1506752885,1,10
1506754329,19,10
1506754816,0,2
1506755286,3,0
1506756246,9,20
1506756724,1,1
1506757449,1,0
1506758164,18,10
1506758650,1,0
1506759609,9,11
1506760085,12,17
1506761046,0,1
1506761528,1,0
1506762485,9,13
1506762968,4,0
1506763448,0,1
1506763930,11,5
1506764404,3,9
1506765125,10,1
1506765852,10,11
1506766325,1,11
1506766804,2,0
1506767290,0,1
1506767764,11,10
1506769223,0,1
1506769930,10,11
1506771850,9,10
1506772324,1,1
1506773049,11,3
1506773556,11,18
1506774020,1,1
1506774485,1,0
1506774967,10,2
1506775448,2,11
1506776413,0,1
1506777133,12,12
1506777846,0,2
1506778324,2,0
1506778806,1,0
1506779769,10,10
1506780245,0,1
1506780972,3,1
1506781686,7,10
1506782164,2,2
1506782648,1,0
1506782760,1,0
1506783614,19,13
1506784085,4,0
1506785288,10,19
1506785765,0,2
1506786250,2,0
1506786968,18,10
1506787450,0,2
1506787925,2,0
1506788410,9,18
1506788888,1,1
1506789368,2,0
1506789844,0,2
1506790329,8,0
1506790826,13,11
1506791287,1,0
1506792249,10,19
1506792726,0,1
1506793206,1,0
1506793686,10,6
1506794165,4,10
1506795610,10,1
1506796334,1,10
1506797287,9,4
1506797765,4,9
1506798249,0,1
1506798727,1,0
1506799222,9,0
1506799757,1,9
1506801333,24,12
1506802130,442,344
1506802898,10,20
1506803531,1,0
1506804485,9,2
1506805225,11,11
1506805689,2,0
1506806169,1,0
1506806648,17,19
1506807124,1,26
1506807852,1,0
1506808326,10,18
1506809781,11,1
1506810487,1,11
1506810964,1,0
1506812166,16,11
1506812649,2,0
1506813369,0,9
1506814087,10,9
1506814564,1,0
1506815078,1,0
1506815528,10,0
1506816015,0,12
1506816486,2,0
1506817448,7,0
1506817928,1,11
1506818404,2,2
1506818888,3,0
1506819367,10,7
1506819854,0,12
1506820327,10,0
1506820806,4,4
1506821290,8,8
1506821765,1,3
1506822248,3,0
1506823687,6,8
1506824168,1,1
1506824646,1,0
1506825606,7,7
1506826085,2,0
1506827528,8,10
1506828004,1,1
1506828485,1,0
1506828969,8,1
1506829450,9,17
1506829925,0,3
1506830415,1,0
1506830888,8,0
1506831365,0,8
1506831848,0,1
1506832330,10,0
1506832808,0,8
1506833289,1,2
1506833765,2,0
1506834726,9,9
1506836164,17,10
1506838086,7,9
1506838569,2,9
1506840489,9,8
1506840965,1,0
1506841449,10,2
1506841926,12,21
1506842409,2,1
1506842888,1,0
1506843365,3,0
1506843845,6,9
1506843952,1,0
1506844328,0,1
1506844815,4,0
1506845285,10,13
1506846253,0,1
1506846729,10,2
1506847204,9,7
1506848652,9,10
1506849125,1,10
1506849608,0,1
1506850087,1,1
1506850567,11,2
1506851048,11,9
1506851525,0,1
1506852023,1,1
1506852487,10,20
1506852967,1,0
1506853446,0,1
1506853929,11,1
1506854405,13,19
1506854886,9,2
1506855365,2,0
1506855853,9,8
1506856325,0,10
1506856806,1,0
1506857770,12,9
1506858245,0,3
1506858743,2,1
1506859210,1,0
1506859692,10,12
1506860165,2,1
1506860658,1,0
1506861613,10,12
1506862085,2,1
1506862566,1,0
1506863051,10,0
1506863537,10,21
1506864006,1,0
1506864964,9,1
1506865449,2,10
1506866885,8,9
1506867372,0,3
1506867845,3,0
1506868327,10,1
1506868807,10,19
1506869289,1,1
1506869765,1,0
1506870247,0,1
1506870727,11,10
1506871210,0,1
1506871686,3,1
1506872164,11,1
1506872645,11,12
1506873127,2,1
1506873618,1,2
1506874087,12,22
1506874568,1,0
1506876004,10,3
1506876488,12,12
1506876967,2,0
1506877448,9,12
1506877926,22,20
1506878407,1,2
1506879364,0,11
1506879848,10,9
1506880325,0,1
1506880815,1,0
1506881286,10,1
1506881769,1,10
1506882244,1,1
1506882729,11,2
1506883207,2,10
1506884651,10,2
1506885124,11,20
1506885610,0,2
1506886085,2,0
1506886568,10,1
1506887074,11,15
1506888487,9,19
1506888968,0,3
1506889445,3,1
1506890413,9,10
1506892330,9,8
1506893764,9,1
1506895456,11,9
1506895924,0,10
1506896409,0,1
1506896886,1,1
1506897366,9,10
1506897849,1,0
1506898326,0,1
1506898807,1,0
1506899292,9,9
1506899765,1,3
1506900248,3,0
1506901207,18,10
1506901688,0,1
1506902165,1,0
