DateTime,AddedIPs,RemovedIPs
1505945055,22,27
1505947150,38,11
1505949149,30,16
1505951055,18,24
1505952970,24,35
1505954888,15,24
1505956819,17,23
1505958740,13,23
1505960655,17,36
1505962568,11,43
1505964491,22,31
1505966459,42,70
1505968357,17,36
1505970270,579,0
1505972184,13,13
1505974112,15,13
1505976033,22,15
1505977954,13,17
1505979864,18,16
1505982036,16,36
1505983928,12,14
1505985859,22,23
1505987778,13,29
1505989703,20,25
1505991629,50,25
1505993548,18,22
1505995469,22,35
1505997386,22,23
1505999293,32,19
1506001226,26,21
1506003150,26,35
1506005064,15,42
1506006991,29,31
1506008903,15,40
1506010833,28,1405
1506012750,34,35
1506014669,803,0
1506016593,31,22
1506018503,24,26
1506020420,46,43
1506022354,31,28
1506026192,85,60
1506028110,30,57
1506030025,26,25
1506031955,19,76
1506033875,24,32
1506036063,24,25
1506037930,30,23
1506039857,32,45
1506041780,19,55
1506043694,26,28
1506045641,17,22
1506047552,48,85
1506049465,23,35
1506051374,28,26
1506053303,27,25
1506055216,15,34
1506057142,767,0
1506059060,25,19
1506060970,36,25
1506062903,20,21
1506064822,19,20
1506066744,29,26
1506068653,19,30
1506070585,17,22
1506072501,27,55
1506074443,84,97
1506076334,24,32
1506078262,28,24
1506080172,22,20
1506082100,18,44
1506084257,22,54
1506086182,16,26
1506088098,21,22
1506090015,30,29
1506091934,20,54
1506093856,26,35
1506095784,22,23
1506097706,13,1126
1506099634,547,0
1506101553,23,12
1506103475,23,20
1506105373,15,16
1506107298,22,14
1506109213,21,25
1506111167,25,14
1506113063,30,11
1506115228,18,24
1506117158,13,15
1506119188,48,23
1506121481,90,49
1506123389,28,22
1506125309,20,21
1506127219,20,20
1506129144,25,33
1506131055,14,24
1506132982,33,19
1506134908,12,23
1506136829,37,28
1506138742,15,16
1506140662,24,26
1506142588,19,27
1506144494,475,0
1506146431,36,27
1506148344,22,13
1506150261,24,12
1506152436,24,23
1506154358,20,13
1506156275,17,11
1506158192,31,23
1506160100,88,15
1506162027,81,22
1506163958,46,19
1506165857,43,25
1506167776,36,23
1506169698,13,21
1506171639,28,54
1506173547,33,24
1506175710,23,19
1506177631,15,21
1506179557,22,29
1506181468,13,16
1506183396,20,1248
1506185309,22,29
1506187229,650,0
1506189153,41,29
1506191074,17,39
1506192974,17,20
1506194899,25,21
1506196845,78,53
1506198751,29,13
1506200910,17,25
1506203073,25,39
1506204979,14,49
1506206917,10,23
1506208826,12,30
1506210755,16,22
1506212652,34,27
1506214842,62,43
1506216745,33,19
1506218665,34,25
1506220572,18,26
1506222510,10,28
1506224412,9,21
1506226347,16,16
1506228258,8,28
1506230178,597,0
1506232090,9,29
1506234029,12,38
1506235944,19,18
1506238097,14,20
1506240031,31,49
1506241952,17,12
1506243862,15,24
1506245790,16,37
1506247707,11,48
1506249631,11,21
1506251555,14,29
1506253460,11,22
1506255389,22,26
1506257297,11,22
1506259223,13,17
1506261151,14,19
1506263067,28,25
1506264971,37,26
1506266911,28,25
1506268842,56,1344
1506270754,27,27
1506272660,688,0
1506274588,36,22
1506276635,36,20
1506278659,19,18
1506280605,21,24
1506282508,20,21
1506284431,43,14
1506286329,38,21
1506288261,23,35
1506290179,20,81
1506292103,15,83
1506294022,45,99
1506296199,15,33
1506298106,14,16
1506300028,14,16
1506301939,20,11
1506303866,14,32
1506305786,26,21
1506307712,16,14
1506309612,26,21
1506311549,13,13
1506313456,20,19
1506315385,13,23
1506317300,653,0
1506319225,35,34
1506321155,32,16
1506323069,33,24
1506324982,24,17
