DateTime,Entries,UniqueIPs
1505831313,2951,2951
1505833315,2989,2989
1505835158,3018,3018
1505837064,1690,1690
1505838980,1706,1706
1505840908,2370,2370
1505842830,2376,2376
1505844893,2400,2400
1505846891,2409,2409
1505848834,2374,2374
1505850756,2330,2330
1505852671,2306,2306
1505854579,2296,2296
1505856498,2291,2291
1505858448,2293,2293
1505860412,2290,2290
1505862267,2289,2289
1505864195,2305,2305
1505866114,2310,2310
1505868028,2319,2319
1505870212,2321,2321
1505872359,2316,2316
1505874272,2323,2323
1505876182,2316,2316
1505878101,2311,2311
1505880025,2279,2279
1505881953,2290,2290
1505883862,2924,2924
1505885775,2913,2913
1505887712,2910,2910
1505889862,2913,2913
1505891793,2878,2878
1505893698,2844,2844
1505895629,2836,2836
1505897787,2839,2839
1505899692,2872,2872
1505901704,2931,2931
1505903547,2943,2943
1505905503,2952,2952
1505907423,2962,2962
1505909821,2982,2982
1505911692,3017,3017
1505913634,3028,3028
1505915545,3030,3030
1505917458,3038,3038
1505919376,3070,3070
1505921301,3087,3087
1505923234,1528,1528
1505925177,1531,1531
1505927400,2189,2189
1505929620,2216,2216
1505931632,2227,2227
1505933537,2244,2244
1505935451,2253,2253
1505937368,2252,2252
1505939291,2241,2241
1505941208,2247,2247
1505943139,2225,2225
1505945055,2220,2220
1505947150,2247,2247
1505949149,2261,2261
1505951055,2255,2255
1505952970,2244,2244
1505954888,2235,2235
1505956819,2229,2229
1505958740,2219,2219
1505960655,2200,2200
1505962568,2168,2168
1505964491,2159,2159
1505966459,2131,2131
1505968357,2112,2112
1505970270,2691,2691
1505972184,2691,2691
1505974112,2693,2693
1505976033,2700,2700
1505977954,2696,2696
1505979864,2698,2698
1505982036,2678,2678
1505983928,2676,2676
1505985859,2675,2675
1505987778,2659,2659
1505989703,2654,2654
1505991629,2679,2679
1505993548,2675,2675
1505995469,2662,2662
1505997386,2661,2661
1505999293,2674,2674
1506001226,2679,2679
1506003150,2670,2670
1506005064,2643,2643
1506006991,2641,2641
1506008903,2616,2616
1506010833,1239,1239
1506012750,1238,1238
1506014669,2041,2041
1506016593,2050,2050
1506018503,2048,2048
1506020420,2051,2051
1506022354,2054,2054
1506026192,2079,2079
1506028110,2052,2052
1506030025,2053,2053
1506031955,1996,1996
1506033875,1988,1988
1506036063,1987,1987
1506037930,1994,1994
1506039857,1981,1981
1506041780,1945,1945
1506043694,1943,1943
1506045641,1938,1938
1506047552,1901,1901
1506049465,1889,1889
1506051374,1891,1891
1506053303,1893,1893
1506055216,1874,1874
1506057142,2641,2641
1506059060,2647,2647
1506060970,2658,2658
1506062903,2657,2657
1506064822,2656,2656
1506066744,2659,2659
1506068653,2648,2648
1506070585,2643,2643
1506072501,2615,2615
1506074443,2602,2602
1506076334,2594,2594
1506078262,2598,2598
1506080172,2600,2600
1506082100,2574,2574
1506084257,2542,2542
1506086182,2532,2532
1506088098,2531,2531
1506090015,2532,2532
1506091934,2498,2498
1506093856,2489,2489
1506095784,2488,2488
1506097706,1375,1375
1506099634,1922,1922
1506101553,1933,1933
1506103475,1936,1936
1506105373,1935,1935
1506107298,1943,1943
1506109213,1939,1939
1506111167,1950,1950
1506113063,1969,1969
1506115228,1963,1963
1506117158,1961,1961
1506119188,1986,1986
1506121481,2027,2027
1506123389,2033,2033
1506125309,2032,2032
1506127219,2032,2032
1506129144,2024,2024
1506131055,2014,2014
1506132982,2028,2028
1506134908,2017,2017
1506136829,2026,2026
1506138742,2025,2025
1506140662,2023,2023
1506142588,2015,2015
1506144494,2490,2490
1506146431,2499,2499
1506148344,2508,2508
1506150261,2520,2520
1506152436,2521,2521
1506154358,2528,2528
1506156275,2534,2534
1506158192,2542,2542
1506160100,2615,2615
1506162027,2674,2674
1506163958,2701,2701
1506165857,2719,2719
1506167776,2732,2732
1506169698,2724,2724
1506171639,2698,2698
1506173547,2707,2707
1506175710,2711,2711
1506177631,2705,2705
1506179557,2698,2698
1506181468,2695,2695
1506183396,1467,1467
1506185309,1460,1460
1506187229,2110,2110
1506189153,2122,2122
1506191074,2100,2100
1506192974,2097,2097
1506194899,2101,2101
1506196845,2126,2126
1506198751,2142,2142
1506200910,2134,2134
1506203073,2120,2120
1506204979,2085,2085
1506206917,2072,2072
1506208826,2054,2054
1506210755,2048,2048
1506212652,2055,2055
1506214842,2074,2074
1506216745,2088,2088
1506218665,2097,2097
1506220572,2089,2089
1506222510,2071,2071
1506224412,2059,2059
1506226347,2059,2059
1506228258,2039,2039
1506230178,2636,2636
1506232090,2616,2616
1506234029,2590,2590
1506235944,2591,2591
1506238097,2585,2585
1506240031,2567,2567
1506241952,2572,2572
1506243862,2563,2563
1506245790,2542,2542
1506247707,2505,2505
1506249631,2495,2495
1506251555,2480,2480
1506253460,2469,2469
1506255389,2465,2465
1506257297,2454,2454
1506259223,2450,2450
1506261151,2445,2445
1506263067,2448,2448
1506264971,2459,2459
1506266911,2462,2462
1506268842,1174,1174
1506270754,1174,1174
1506272660,1862,1862
1506274588,1876,1876
1506276635,1892,1892
