DateTime,AddedIPs,RemovedIPs
1499450172,6,0
1499464850,6,0
1499479711,7,0
1499494347,8,0
1499508977,10,0
1499523624,9,0
1499538314,3,0
1499552888,4,1
1499567541,8,0
1499582176,8,0
1499596835,3,0
1499611450,4,0
1499626352,8,0
1499640991,7,2
1499655729,9,2
1499670262,7,0
1499684907,10,0
1499699554,10,0
1499714177,6,1
1499728821,10,0
1499743452,7,0
1499760290,5,0
1499775186,5,0
1499789801,15,0
1499804435,4,0
1499819048,3,1
1499833707,5,2
1499848361,1,0
1499862968,11,0
1499877875,4,1
1499892516,5,0
1499907152,5,0
1499921790,8,0
1499936510,7,2
1499951075,9,2
1499965702,5,0
1499980338,6,1
1499994969,5,0
1500009636,11,0
1500024247,5,0
1500038903,13,0
1500053531,8,3
1500068188,4,0
1500082816,7,1
1500097481,9,2
1500112100,10,0
1500126990,15,1
1500141877,6,0
1500156497,6,1
1500171155,7,3
1500185779,4,0
1500200673,5,0
1500215307,11,1
1500229936,8,1
1500244589,9,0
1500259227,7,0
1500273849,6,2
1500288753,11,1
1500303377,7,2
1500318099,12,1
1500332670,1,1
1500347287,4,0
1500361958,8,0
1500376576,10,0
1500391232,5,0
1500405849,6,3
1500420521,5,1
1500435159,6,0
1500449793,3,0
1500464437,8,0
1500479318,6,0
1500493949,6,4
1500508907,8,1
1500523473,4,1
1500538359,7,1
1500552978,8,0
1500567618,8,0
1500582265,6,1
1500596912,7,0
1500611541,6,0
1500626177,7,1
1500640840,8,0
1500655459,8,0
1500670108,5,0
1500684736,9,0
1500699372,3,0
1500714079,6,0
1500728910,9,1
1500743803,8,0
1500758433,9,1
1500773069,7,0
1500787689,5,0
1500802338,6,1
1500816986,13,0
1500831629,3,0
1500846260,9,1
1500861157,6,0
1500875782,6,0
1500890523,6,0
1500905316,2,1
1500920204,5,2
1500934809,4,0
1500949453,6,0
1500964354,2,0
1500978991,3,1
1500993636,3,0
1501008250,6,0
1501022903,3,0
1501037551,3,0
1501052178,4,1
1501066878,7,0
1501081467,4,0
1501096087,2,0
1501110730,4,0
1501125404,4,0
1501140266,1,1
1501154906,5,0
1501169551,1,2
1501184190,5,0
1501198832,5,0
1501213459,4,0
1501228091,1,0
1501243350,0,1
1501257872,5,0
1501272754,6,0
1501287638,7,1
1501302247,5,1
1501316923,4,0
1501331559,4,0
1501346182,11,1
1501360811,12,0
1501375451,11,0
1501390123,198,0
1501404757,12,0
1501419370,14,0
1501434078,10,1
1501448667,13,1
1501463315,5,0
1501478196,15,0
1501492811,6,0
1501507481,8,0
1501522112,4,1
1501536757,5,0
1501551635,1,0
1501566259,3,1
1501580911,9,0
1501595545,16,0
1501610195,15,1
1501624901,15,0
1501639470,27,1
1501654106,17,0
1501668742,11,0
1501683641,4,0
1501698768,3,1
1501713407,3,0
1501728030,1,1
1501742661,3,0
1501757306,4,0
1501772209,3,0
1501786865,2,0
1501801463,2,0
1501816105,5,0
1501830769,4,0
1501845412,3,0
1501860013,5,0
1501874661,4,0
1501889316,2,0
1501904205,4,1
1501918844,3,0
1501933463,3,1
1501948371,5,0
1501962984,5,0
1501977651,4,0
1501992522,4,0
1502007144,3,0
1502022050,3,1
1502036661,5,2
1502051288,7,0
1502065940,10,0
1502080594,4,0
1502095232,2,0
1502109865,12,0
1502124493,6,0
1502139152,6,1
1502153782,6,0
1502168486,1,0
1502183307,3,0
1502197959,7,0
1502212597,14,0
1502227221,10,0
1502241858,4,1
1502256510,6,0
1502271134,9,0
1502285781,7,1
1502300441,7,0
1502315049,7,0
1502329967,8,0
1502344578,6,0
1502359304,5,1
1502374115,7,0
1502389011,14,0
1502403622,8,0
1502418275,7,0
1502433168,8,0
1502447800,8,0
1502462425,6,0
1502477064,12,0
1502491961,12,1
1502506590,17,0
1502521252,17,0
1502535882,12,0
1502550489,14,0
1502565408,10,0
1502580262,14,2
1502594906,10,0
1502609557,5,0
1502624204,4,0
1502638836,7,5
1502653468,11,1
1502668089,10,1
1502682746,7,0
1502697372,10,0
1502712119,15,0
1502726671,9,0
1502741570,9,1
1502756203,9,0
1502771085,10,1
1502785725,10,0
1502800337,3,0
1502814996,3,0
1502829643,9,0
1502844249,5,0
1502858893,6,0
1502873544,8,1
1502888170,11,0
1502903070,6,1
1502917707,2,0
1502932359,7,0
1502946973,4,3
1502961641,11,0
1502976268,5,0
1502991161,5,0
1503005802,6,0
1503020413,8,0
1503035072,8,0
1503049710,8,0
1503064361,12,0
1503079000,4,0
1503093675,5,0
1503108522,9,0
1503123407,2,0
1503138042,6,0
1503152669,11,0
1503167319,8,0
1503182203,10,0
1503196844,5,0
1503211453,12,1
1503226105,6,1
1503240757,8,0
1503255661,8,1
1503270510,8,0
1503285147,7,0
1503299784,6,0
1503314447,2,0
1503329055,6,1
1503343710,7,0
1503358346,9,0
1503372972,10,1
1503387607,10,0
1503402256,7,1
1503417152,5,1
1503431769,9,1
1503446446,5,0
1503461050,4,0
1503475706,6,0
1503490354,4,0
1503504995,10,1
1503519605,6,0
1503534497,12,0
1503549149,4,1
1503564028,5,1
1503578649,8,0
1503593315,4,0
1503607944,6,1
1503622590,6,1
1503637462,7,0
1503652101,2,0
1503666730,7,0
1503681386,6,1
1503696006,13,0
1503710658,6,0
1503725556,7,0
1503740185,4,0
1503754816,8,0
1503769454,3,0
1503784093,7,1
1503798746,5,1
1503813385,2,0
1503828022,3,0
1503842900,7,3
1503857788,6,0
1503872355,8,0
1503887119,6,0
1503901698,7,1
1503916344,7,0
1503930966,8,0
1503945626,9,0
1503960248,6,1
1503974891,3,0
1503989539,4,0
1504004185,3,0
1504018838,7,1
1504033467,6,0
1504048085,7,1
1504062749,10,0
1504077626,7,0
1504092248,7,1
1504106900,11,1
1504121543,14,1
1504136183,19,2
1504150823,10,0
1504165693,15,0
1504180339,8,0
1504194971,7,1
1504209631,7,1
1504224253,9,0
1504238899,9,1
1504253552,6,1
1504268195,9,0
1504282825,8,0
1504297453,11,0
1504312105,5,0
1504326732,8,1
1504341627,6,0
1504356248,10,0
1504370884,7,0
1504385525,6,0
1504400142,2,0
1504414825,5,1
1504429452,12,0
1504444084,12,1
1504458757,5,0
1504473619,191,0
1504488251,8,1
1504503149,6,0
1504517776,9,0
1504532412,7,0
1504547299,5,0
1504562671,5,0
1504577284,6,0
1504591945,3,0
1504606592,11,0
1504621237,7,0
1504635851,8,0
1504650633,15,0
1504665377,10,1
1504680028,6,0
1504694652,7,0
1504709665,8,0
1504724436,7,0
1504739049,10,0
1504753691,8,1
1504768337,3,0
1504782977,9,0
1504798589,6,1
1504813220,9,0
1504828105,8,0
1504842728,5,0
1504857368,4,0
1504872281,11,0
1504886899,2,0
1504901542,7,0
1504916175,9,0
1504930810,8,0
1504945451,4,0
1504960348,8,0
1504974969,6,0
1504989621,4,0
1505004251,14,0
1505018888,11,0
1505033543,6,0
