DateTime,AddedIPs,RemovedIPs
1506465904,225,222
1506466804,264,257
1506467704,1079,1129
1506468604,915,1057
1506469504,649,777
1506470403,666,764
1506471304,682,748
1506472203,457,455
1506473103,413,421
1506474003,523,498
1506474904,857,799
1506475803,1235,1132
1506476703,750,701
1506477604,964,877
1506478504,726,702
1506479404,634,943
1506480303,556,1632
1506481203,630,1296
1506482104,505,1614
1506483004,540,1058
1506483904,567,616
1506484803,1088,652
1506485703,806,590
1506486603,973,738
1506487504,769,1337
1506488403,905,1229
1506489303,861,1302
1506490203,926,1664
1506491104,1484,1121
1506492003,1258,994
1506492903,841,1249
1506493804,843,856
1506494702,745,1087
1506495603,913,793
1506496503,1047,923
1506497403,2649,1103
1506498304,9718,1534
1506499205,9825,7570
1506500104,7209,7170
1506501004,7238,7199
1506501904,6652,6632
1506502806,6726,6726
1506503706,5917,5918
1506504606,5034,5036
1506505506,4392,4392
1506506406,4755,4756
1506507307,3597,3597
1506508206,2179,2179
1506509107,168,169
1506510006,463,466
1506510905,238,240
1506511806,288,288
1506513607,9398,9397
1506514507,2229,2228
1506515406,2937,2943
1506516306,3726,3727
1506517205,3217,3223
1506518106,4020,4024
1506519007,5185,5191
1506519910,5162,5165
1506520807,5191,5189
1506521708,4229,4233
1506522607,5911,5911
1506523508,6163,6165
1506524407,6048,6042
1506525309,5205,5202
1506526208,5958,5956
1506527108,5411,5407
1506528008,3609,3607
1506528908,5583,5580
1506529808,2898,2892
1506530708,3193,3190
1506531608,3520,3522
1506532507,2765,2764
1506533408,3453,3452
1506534308,3279,3277
1506535208,3861,3859
1506536108,3186,3188
1506537008,3259,3263
1506537907,2602,2603
1506538808,2822,2826
1506539707,2319,2320
1506540607,2876,2877
1506541506,1867,1869
1506542406,2054,2054
1506543307,2825,2823
1506544206,3585,3588
1506545106,2045,2049
1506546005,2410,2413
1506546906,3716,3714
1506547806,2949,2953
1506548706,2150,2148
1506549606,2430,2429
1506550506,3118,3117
1506551406,2242,2244
1506552306,2128,2125
1506553205,2584,2582
1506554105,2198,2201
1506555006,2137,2139
1506555906,2618,2619
1506556804,2718,2721
1506557705,2749,2749
1506558604,3469,3463
1506559504,4370,4370
1506560406,3665,3663
1506561306,4882,4883
1506562206,4302,4300
