DateTime,Entries,UniqueIPs
1506352504,39863,39863
1506353404,39864,39864
1506354304,39864,39864
1506355204,39864,39864
1506356104,39825,39825
1506357003,39739,39739
1506357903,39637,39637
1506358803,39492,39492
1506359704,39320,39320
1506360604,39180,39180
1506361503,39058,39058
1506362404,39012,39012
1506363303,38845,38845
1506364203,38844,38844
1506365103,38871,38871
1506366003,38854,38854
1506366903,37765,37765
1506367802,34398,34398
1506368703,30927,30927
1506369603,28313,28313
1506370502,26887,26887
1506371403,25812,25812
1506372303,25226,25226
1506373203,23870,23870
1506374102,23347,23347
1506375002,24657,24657
1506375903,25754,25754
1506376803,26504,26504
1506377703,27241,27241
1506378603,27671,27671
1506379502,28469,28469
1506380403,29818,29818
1506381303,30496,30496
1506382203,30782,30782
1506383103,30928,30928
1506384003,30957,30957
1506384903,31617,31617
1506385803,32425,32425
1506386704,31940,31940
1506387603,32097,32097
1506388503,33440,33440
1506389404,34711,34711
1506390303,35611,35611
1506391203,37354,37354
1506392103,37787,37787
1506393004,37904,37904
1506393904,39186,39186
1506394804,39534,39534
1506395704,39863,39863
1506396604,39864,39864
1506397503,39867,39867
1506398404,39876,39876
1506399303,39875,39875
1506400204,39874,39874
1506401104,39870,39870
1506402004,39873,39873
1506402904,39872,39872
1506403804,39871,39871
1506404703,38538,38538
1506405604,38254,38254
1506406503,38142,38142
1506407404,38034,38034
1506408304,37906,37906
1506409204,37724,37724
1506410104,37423,37423
1506411004,37285,37285
1506411903,37181,37181
1506412804,37091,37091
1506413703,36952,36952
1506414604,36757,36757
1506415503,36643,36643
1506416403,36455,36455
1506417303,36093,36093
1506418204,35745,35745
1506419104,35490,35490
1506420004,35229,35229
1506420904,35390,35390
1506421804,35827,35827
1506422704,36123,36123
1506423604,36188,36188
1506424503,36442,36442
1506425404,37247,37247
1506426304,37792,37792
1506427206,37984,37984
1506428105,38009,38009
1506429006,38067,38067
1506429906,38125,38125
1506430806,38021,38021
1506431706,37964,37964
1506432606,37926,37926
1506433506,37847,37847
1506434406,37828,37828
1506435306,37761,37761
1506436205,37637,37637
1506437106,37601,37601
1506438007,36855,36855
1506438907,36371,36371
1506439807,35982,35982
1506440707,35669,35669
1506441607,35451,35451
1506442508,35286,35286
1506443407,35039,35039
1506444307,34678,34678
1506445207,34386,34386
1506446107,34186,34186
1506447006,34084,34084
1506447906,33917,33917
1506448806,33864,33864
1506449705,33863,33863
1506450606,33875,33875
1506451506,33831,33831
1506452405,33783,33783
1506453306,33743,33743
1506454206,33755,33755
1506455105,33685,33685
1506456005,33525,33525
1506456905,33394,33394
1506457805,33233,33233
1506458706,33050,33050
1506459605,32915,32915
1506460505,32834,32834
1506461406,32811,32811
1506462305,32814,32814
1506463205,32822,32822
1506464104,32827,32827
1506465003,32848,32848
1506465904,32851,32851
1506466804,32858,32858
1506467704,32808,32808
1506468604,32666,32666
1506469504,32538,32538
1506470403,32440,32440
1506471304,32374,32374
1506472203,32376,32376
1506473103,32368,32368
1506474003,32393,32393
1506474904,32451,32451
1506475803,32554,32554
1506476703,32603,32603
1506477604,32690,32690
1506478504,32714,32714
1506479404,32405,32405
1506480303,31329,31329
1506481203,30663,30663
1506482104,29554,29554
1506483004,29036,29036
1506483904,28987,28987
1506484803,29423,29423
1506485703,29639,29639
1506486603,29874,29874
1506487504,29306,29306
1506488403,28982,28982
1506489303,28541,28541
1506490203,27803,27803
1506491104,28166,28166
1506492003,28430,28430
1506492903,28022,28022
1506493804,28009,28009
1506494702,27667,27667
1506495603,27787,27787
1506496503,27911,27911
1506497403,29457,29457
1506498304,37641,37641
1506499205,39896,39896
1506500104,39935,39935
1506501004,39974,39974
1506501904,39994,39994
1506502806,39994,39994
1506503706,39993,39993
1506504606,39991,39991
1506505506,39991,39991
1506506406,39990,39990
1506507307,39990,39990
1506508206,39990,39990
1506509107,39989,39989
1506510006,39986,39986
1506510905,39984,39984
1506511806,39984,39984
1506513607,39985,39985
1506514507,39986,39986
1506515406,39980,39980
1506516306,39979,39979
1506517205,39973,39973
1506518106,39969,39969
1506519007,39963,39963
1506519910,39960,39960
1506520807,39962,39962
1506521708,39958,39958
1506522607,39958,39958
1506523508,39956,39956
1506524407,39962,39962
1506525309,39965,39965
1506526208,39967,39967
1506527108,39971,39971
1506528008,39973,39973
1506528908,39976,39976
1506529808,39982,39982
1506530708,39985,39985
1506531608,39983,39983
1506532507,39984,39984
1506533408,39985,39985
1506534308,39987,39987
1506535208,39989,39989
1506536108,39987,39987
1506537008,39983,39983
1506537907,39982,39982
1506538808,39978,39978
1506539707,39977,39977
1506540607,39976,39976
1506541506,39974,39974
1506542406,39974,39974
1506543307,39976,39976
1506544206,39973,39973
1506545106,39969,39969
1506546005,39966,39966
1506546906,39968,39968
1506547806,39964,39964
1506548706,39966,39966
1506549606,39967,39967
1506550506,39968,39968
1506551406,39966,39966
1506552306,39969,39969
1506553205,39971,39971
1506554105,39968,39968
1506555006,39966,39966
1506555906,39965,39965
1506556804,39962,39962
1506557705,39962,39962
1506558604,39968,39968
1506559504,39968,39968
1506560406,39970,39970
1506561306,39969,39969
1506562206,39971,39971
1506563106,39971,39971
1506564006,39974,39974
1506564906,39976,39976
1506565806,39980,39980
1506566705,39981,39981
1506567607,39979,39979
1506568506,39977,39977
1506569407,39976,39976
1506570307,39974,39974
1506571207,39972,39972
1506572106,39970,39970
1506573007,39971,39971
1506573908,39972,39972
1506574808,39973,39973
1506575708,39975,39975
1506576608,39977,39977
1506577507,39980,39980
1506578408,39980,39980
1506579308,39979,39979
1506580208,39976,39976
1506581107,39973,39973
1506582010,39974,39974
1506582910,39975,39975
1506583809,39975,39975
1506584709,39976,39976
1506585609,39950,39950
1506586509,39769,39769
1506587407,39272,39272
1506588306,38338,38338
1506589207,37638,37638
1506590107,37163,37163
1506591008,36851,36851
1506592808,36001,36001
1506593709,35532,35532
1506594607,36094,36094
1506595508,36573,36573
1506596408,36839,36839
1506597308,37130,37130
1506598209,37410,37410
1506599108,37558,37558
1506600008,37639,37639
1506600908,37993,37993
1506601808,37965,37965
1506602710,38112,38112
1506603610,38342,38342
1506604512,38685,38685
1506605410,38783,38783
1506606309,38829,38829
1506607210,38987,38987
1506608109,39042,39042
1506609010,38960,38960
1506609913,38747,38747
1506610812,38745,38745
1506611712,38688,38688
1506612612,38690,38690
1506613511,38658,38658
1506614410,38568,38568
1506615312,38474,38474
1506616211,38482,38482
1506617111,38479,38479
1506618011,38455,38455
1506618911,38423,38423
1506619811,38503,38503
1506620712,38589,38589
1506621610,38502,38502
1506622510,38438,38438
1506623410,38388,38388
1506624313,38502,38502
1506625214,38574,38574
1506626114,38585,38585
1506627012,38634,38634
1506627913,38611,38611
1506628813,38558,38558
1506629713,38409,38409
1506630614,38225,38225
1506631511,38064,38064
1506632411,37846,37846
1506633310,37677,37677
1506634211,37543,37543
1506635110,37384,37384
1506636010,37158,37158
1506636911,37061,37061
1506637811,36969,36969
1506639610,36711,36711
1506640510,36661,36661
1506641410,36644,36644
1506642311,36619,36619
1506643210,36682,36682
1506644110,37000,37000
1506645011,37254,37254
1506645911,37545,37545
1506646810,37943,37943
1506647712,38278,38278
1506648611,38532,38532
1506649512,38723,38723
1506650410,38789,38789
1506651312,38852,38852
1506652211,38831,38831
1506653109,38828,38828
1506654010,38793,38793
1506654910,38738,38738
1506655811,38708,38708
1506656711,38665,38665
1506657609,38537,38537
1506658509,38502,38502
1506659408,38378,38378
1506660309,38265,38265
1506661211,38251,38251
1506662111,38183,38183
1506663011,38062,38062
1506663909,38145,38145
1506664810,38139,38139
1506665710,38200,38200
1506666611,38232,38232
1506667513,38234,38234
1506668413,38195,38195
1506669314,38162,38162
1506670213,38098,38098
1506671114,37948,37948
1506672012,37865,37865
1506672912,37883,37883
1506673814,37840,37840
1506674711,37741,37741
1506675612,37638,37638
1506676510,37572,37572
1506677413,37542,37542
1506678312,37503,37503
1506679212,37551,37551
1506680112,37642,37642
1506681011,37592,37592
1506681909,37421,37421
1506682808,37261,37261
1506683709,37209,37209
1506684609,37225,37225
1506685509,37291,37291
1506686409,37249,37249
1506687308,37375,37375
1506688210,37396,37396
1506689108,37365,37365
1506690010,37373,37373
1506690911,37404,37404
1506691810,37329,37329
1506692708,37248,37248
1506693608,37226,37226
1506694508,37227,37227
1506695409,37295,37295
1506696308,37327,37327
1506697210,37233,37233
1506698109,37218,37218
1506699009,37158,37158
1506699909,36875,36875
1506700809,36583,36583
1506701710,36256,36256
1506702607,35971,35971
1506703507,35787,35787
1506704407,35553,35553
1506705308,35331,35331
1506706207,35127,35127
1506707109,34945,34945
1506708009,34599,34599
1506708909,34304,34304
1506709809,34132,34132
1506710709,33943,33943
1506711609,33820,33820
1506712508,33703,33703
1506713409,33628,33628
1506714308,33529,33529
1506715207,33394,33394
1506716107,33422,33422
1506717007,33408,33408
1506717907,33334,33334
1506718806,33194,33194
1506719705,33103,33103
1506720607,33017,33017
1506721505,32916,32916
1506722406,32830,32830
1506723305,32770,32770
1506724204,32654,32654
1506726004,32500,32500
1506726904,32465,32465
1506727804,32426,32426
1506728704,32389,32389
1506729605,32330,32330
1506730504,32041,32041
1506731404,31943,31943
1506732304,31779,31779
1506733204,31655,31655
1506734105,31818,31818
1506735003,31888,31888
1506735905,32134,32134
1506736804,32387,32387
1506737704,32572,32572
1506738604,32660,32660
1506739504,32679,32679
1506740404,32705,32705
1506741305,32871,32871
1506742205,33132,33132
1506743104,33272,33272
1506744004,33376,33376
1506744905,33513,33513
1506745804,33667,33667
1506746705,33626,33626
1506747603,33713,33713
1506748504,33958,33958
1506749405,34216,34216
1506750304,34523,34523
1506751204,34614,34614
1506752104,34789,34789
1506753004,35007,35007
1506753904,35103,35103
1506754804,35188,35188
1506755705,35304,35304
1506756606,35441,35441
1506757505,35497,35497
1506758405,35538,35538
1506759305,35541,35541
1506760205,35511,35511
1506761104,35518,35518
1506762003,35520,35520
1506762904,35469,35469
1506763804,35379,35379
1506764704,35252,35252
1506765605,35130,35130
1506766504,35023,35023
1506767404,34921,34921
1506768304,34848,34848
1506769204,34810,34810
1506770103,34777,34777
1506771004,34735,34735
1506771905,34704,34704
1506772803,34623,34623
1506773705,34563,34563
1506774604,34483,34483
1506775504,34418,34418
1506776404,34367,34367
1506777304,34313,34313
1506778203,34228,34228
1506779103,34118,34118
1506780004,33830,33830
1506780904,33427,33427
1506781804,32682,32682
1506782704,32274,32274
1506783604,31858,31858
1506784503,31327,31327
1506785404,31037,31037
1506786303,30658,30658
1506787203,30216,30216
1506788103,29753,29753
1506789004,29298,29298
1506789904,28709,28709
1506790804,28108,28108
1506791703,27439,27439
1506792603,26758,26758
1506793503,25943,25943
1506794403,24843,24843
1506795303,23915,23915
1506796202,23387,23387
1506797103,22812,22812
1506798002,22222,22222
1506798903,21771,21771
1506800703,20299,20299
1506801603,19749,19749
1506802502,19054,19054
1506803402,18384,18384
1506804302,17946,17946
1506805203,17317,17317
1506806103,16801,16801
