DateTime,AddedIPs,RemovedIPs
1499613011,267,307
1499627411,255,258
1499641812,265,259
1499656211,257,287
1499670611,279,279
1499685011,300,236
1499699411,292,296
1499713812,278,281
1499728212,259,278
1499742611,289,295
1499757011,303,256
1499771411,285,251
1499785813,294,240
1499800214,262,281
1499814612,261,250
1499829012,283,279
1499843411,256,305
1499857811,277,286
1499872385,294,283
1499886611,284,242
1499901012,231,268
1499915411,259,314
1499929811,281,287
1499944212,299,275
1499958611,274,270
1499973012,284,263
1499987412,258,285
1500001812,315,274
1500016212,284,289
1500030612,295,277
1500045011,295,272
1500059412,246,221
1500073812,253,273
1500088214,272,296
1500102612,269,300
1500117012,271,289
1500131412,258,280
1500145812,274,271
1500160213,256,291
1500174612,286,312
1500189012,257,281
1500203412,224,284
1500217811,253,232
1500232211,218,256
1500246611,228,271
1500261019,254,286
1500275410,269,267
1500289811,249,252
1500304214,301,289
1500318611,320,271
1500333011,340,274
1500347411,348,271
1500361811,341,222
1500376212,321,251
1500390611,332,238
1500405014,312,228
1500419413,314,255
1500433813,311,290
1500448212,354,246
1500462613,296,271
1500477013,266,309
1500491412,278,313
1500505812,243,301
1500520211,272,330
1500534611,274,347
1500549011,291,302
1500563412,280,334
1500577814,237,313
1500592212,239,336
1500606611,274,380
1500621012,254,297
1500635411,300,252
1500649812,269,295
1500664211,239,247
1500678611,232,242
1500693011,232,293
1500707412,244,301
1500721811,271,272
1500736211,230,237
1500750612,266,247
1500765012,261,263
1500779411,259,288
1500793811,300,298
1500808211,256,239
1500822612,236,245
1500837012,203,209
1500851411,206,242
1500865810,250,258
1500880211,272,260
1500894612,263,234
1500909011,279,269
1500923411,232,274
1500937811,244,237
1500952211,258,301
1500966611,279,249
1500981011,288,211
1500995411,256,212
1501009811,212,218
1501024211,217,265
1501038610,248,266
1501053011,258,244
1501067411,286,275
1501081810,259,243
1501096225,221,250
1501110611,229,257
1501125010,243,290
1501139410,252,299
1501153811,231,206
1501168215,232,215
1501182610,242,225
1501197012,230,252
1501211411,242,310
1501225811,240,263
1501240211,212,224
1501254615,217,236
1501269022,194,242
1501283410,189,248
1501297810,216,243
1501312211,227,250
1501326611,240,254
1501341011,240,235
1501355412,230,233
1501369812,237,221
1501384211,235,277
1501398611,276,218
1501413009,188,836
1501427411,896,163
1501441811,236,199
1501456211,226,206
1501470611,243,263
1501485011,248,216
1501499412,267,224
1501513811,261,236
1501528211,216,213
1501542611,208,233
1501557011,179,256
1501571411,279,246
1501585812,357,239
1501600211,319,236
1501614611,316,254
1501629011,291,216
1501643412,298,255
1501657811,330,264
1501672212,312,246
1501686612,348,207
1501701012,272,225
1501715412,247,220
1501729812,280,275
1501744213,303,335
1501758613,302,285
1501773011,265,318
1501787431,238,277
1501801811,248,317
1501816212,261,344
1501830611,305,330
1501845070,285,323
1501859412,226,292
1501873812,302,256
1501888211,271,293
1501902611,314,328
1501917012,271,313
1501931412,307,248
1501945812,245,244
1501960212,221,245
1501974612,254,307
1501989012,213,281
1502003412,225,266
1502017811,222,230
1502032211,236,285
1502046611,214,294
1502061010,217,296
1502075415,231,303
1502089810,266,293
1502104210,242,240
1502118610,244,236
1502133010,257,232
1502147411,226,211
1502161810,226,215
1502176210,246,247
1502190611,263,211
1502205010,247,203
1502219411,257,214
1502233811,255,221
1502248211,295,277
1502262613,314,247
1502277013,292,208
1502291410,266,280
1502305812,313,212
1502320212,295,203
1502334612,328,264
1502349012,290,256
1502363413,318,228
1502377813,334,266
1502392216,301,274
1502406611,253,312
1502421013,285,292
1502435411,275,292
1502457011,388,436
1502471412,255,283
1502485812,281,324
1502500211,300,307
1502514611,280,302
1502529011,272,320
1502543411,284,281
1502557812,250,267
1502572211,254,268
1502586611,245,263
1502601011,277,307
1502615411,250,229
1502629810,230,246
1502644211,257,299
1502658616,249,278
1502673010,234,274
1502687410,276,337
1502701811,273,260
1502716210,287,233
1502730612,321,267
1502745011,308,233
1502759412,244,312
1502773812,323,247
1502788212,302,267
1502802612,289,237
1502817012,275,265
1502831418,245,236
1502845812,247,276
1502860212,261,285
1502874612,262,276
1502889012,296,347
1502903412,282,290
1502917811,211,260
1502932214,218,289
1502946613,286,304
1502961011,271,273
1502975411,260,278
1502989811,237,248
1503004211,252,261
1503018611,239,265
1503033010,241,277
1503047411,268,278
1503061810,248,249
1503076211,232,244
1503090610,213,193
1503105010,209,321
1503119409,256,291
1503133811,208,246
1503148210,217,219
1503162609,199,266
1503177009,187,248
1503191409,187,264
1503205809,214,288
1503220210,223,243
1503234609,211,211
1503249009,201,209
1503263409,170,222
1503277812,216,246
1503292209,240,210
1503306609,255,208
1503321010,235,198
1503335410,248,194
1503349809,239,199
1503364211,220,208
1503378610,258,230
1503393009,238,207
1503407410,247,194
1503421810,232,177
1503436210,238,227
1503450611,237,244
1503465010,233,255
1503479410,266,252
1503493809,266,242
1503508210,231,218
1503522610,221,234
1503537010,220,240
1503551410,233,230
1503565810,231,244
1503580210,231,227
1503601809,317,378
1503616211,227,242
1503630610,212,264
1503645009,222,272
1503659410,257,217
1503673809,237,237
1503688209,193,232
1503702610,257,224
1503717009,228,250
1503731410,245,210
1503745886,227,224
1503760211,199,224
1503774625,222,218
1503789033,214,207
1503803425,210,244
1503817833,240,234
1503832233,224,225
1503846633,221,210
1503861013,193,232
1503875472,244,217
1503886273,205,195
1503900606,0,1585
1503915009,1870,195
1503929434,262,215
1503943809,237,228
1503958222,279,213
