DateTime,Entries,UniqueIPs
1499613011,3320,3320
1499627411,3317,3317
1499641812,3323,3323
1499656211,3293,3293
1499670611,3293,3293
1499685011,3357,3357
1499699411,3353,3353
1499713812,3350,3350
1499728212,3331,3331
1499742611,3325,3325
1499757011,3372,3372
1499771411,3406,3406
1499785813,3460,3460
1499800214,3441,3441
1499814612,3452,3452
1499829012,3456,3456
1499843411,3407,3407
1499857811,3398,3398
1499872385,3409,3409
1499886611,3451,3451
1499901012,3414,3414
1499915411,3359,3359
1499929811,3353,3353
1499944212,3377,3377
1499958611,3381,3381
1499973012,3402,3402
1499987412,3375,3375
1500001812,3416,3416
1500016212,3411,3411
1500030612,3429,3429
1500045011,3452,3452
1500059412,3477,3477
1500073812,3457,3457
1500088214,3433,3433
1500102612,3402,3402
1500117012,3384,3384
1500131412,3362,3362
1500145812,3365,3365
1500160213,3330,3330
1500174612,3304,3304
1500189012,3280,3280
1500203412,3220,3220
1500217811,3241,3241
1500232211,3203,3203
1500246611,3160,3160
1500261019,3128,3128
1500275410,3130,3130
1500289811,3127,3127
1500304214,3139,3139
1500318611,3188,3188
1500333011,3254,3254
1500347411,3331,3331
1500361811,3450,3450
1500376212,3520,3520
1500390611,3614,3614
1500405014,3698,3698
1500419413,3757,3757
1500433813,3778,3778
1500448212,3886,3886
1500462613,3911,3911
1500477013,3868,3868
1500491412,3833,3833
1500505812,3775,3775
1500520211,3717,3717
1500534611,3644,3644
1500549011,3633,3633
1500563412,3579,3579
1500577814,3503,3503
1500592212,3406,3406
1500606611,3300,3300
1500621012,3257,3257
1500635411,3305,3305
1500649812,3279,3279
1500664211,3271,3271
1500678611,3261,3261
1500693011,3200,3200
1500707412,3143,3143
1500721811,3142,3142
1500736211,3135,3135
1500750612,3154,3154
1500765012,3152,3152
1500779411,3123,3123
1500793811,3125,3125
1500808211,3142,3142
1500822612,3133,3133
1500837012,3127,3127
1500851411,3091,3091
1500865810,3083,3083
1500880211,3095,3095
1500894612,3124,3124
1500909011,3134,3134
1500923411,3092,3092
1500937811,3099,3099
1500952211,3056,3056
1500966611,3086,3086
1500981011,3163,3163
1500995411,3207,3207
1501009811,3201,3201
1501024211,3153,3153
1501038610,3135,3135
1501053011,3149,3149
1501067411,3160,3160
1501081810,3176,3176
1501096225,3147,3147
1501110611,3119,3119
1501125010,3072,3072
1501139410,3025,3025
1501153811,3050,3050
1501168215,3067,3067
1501182610,3084,3084
1501197012,3062,3062
1501211411,2994,2994
1501225811,2971,2971
1501240211,2959,2959
1501254615,2940,2940
1501269022,2892,2892
1501283410,2833,2833
1501297810,2806,2806
1501312211,2783,2783
1501326611,2769,2769
1501341011,2774,2774
1501355412,2771,2771
1501369812,2787,2787
1501384211,2745,2745
1501398611,2803,2803
1501413009,2155,2155
1501427411,2888,2888
1501441811,2925,2925
1501456211,2945,2945
1501470611,2925,2925
1501485011,2957,2957
1501499412,3000,3000
1501513811,3025,3025
1501528211,3028,3028
1501542611,3003,3003
1501557011,2926,2926
1501571411,2959,2959
1501585812,3077,3077
1501600211,3160,3160
1501614611,3222,3222
1501629011,3297,3297
1501643412,3340,3340
1501657811,3406,3406
1501672212,3472,3472
1501686612,3613,3613
1501701012,3660,3660
1501715412,3687,3687
1501729812,3692,3692
1501744213,3660,3660
1501758613,3677,3677
1501773011,3624,3624
1501787431,3585,3585
1501801811,3516,3516
1501816212,3433,3433
1501830611,3408,3408
1501845070,3370,3370
1501859412,3304,3304
1501873812,3350,3350
1501888211,3328,3328
1501902611,3314,3314
1501917012,3272,3272
1501931412,3331,3331
1501945812,3332,3332
1501960212,3308,3308
1501974612,3255,3255
1501989012,3187,3187
1502003412,3146,3146
1502017811,3138,3138
1502032211,3089,3089
1502046611,3009,3009
1502061010,2930,2930
1502075415,2858,2858
1502089810,2831,2831
1502104210,2833,2833
1502118610,2841,2841
1502133010,2866,2866
1502147411,2881,2881
1502161810,2892,2892
1502176210,2891,2891
1502190611,2943,2943
1502205010,2987,2987
1502219411,3030,3030
1502233811,3064,3064
1502248211,3082,3082
1502262613,3149,3149
1502277013,3233,3233
1502291410,3219,3219
1502305812,3320,3320
1502320212,3412,3412
1502334612,3476,3476
1502349012,3510,3510
1502363413,3600,3600
1502377813,3668,3668
1502392216,3695,3695
1502406611,3636,3636
1502421013,3629,3629
1502435411,3612,3612
1502457011,3564,3564
1502471412,3536,3536
