DateTime,Entries,UniqueIPs
1499645420,2232,2232
1499659819,2207,2207
1499674219,2202,2202
1499688620,2212,2212
1499703064,2233,2233
1499717421,2237,2237
1499731820,2245,2245
1499746221,2223,2223
1499760620,2260,2260
1499775020,2276,2276
1499789421,2289,2289
1499803822,2346,2346
1499818222,2370,2370
1499832620,2368,2368
1499847021,2413,2413
1499861421,2406,2406
1499875820,2410,2410
1499890220,2432,2432
1499904620,2480,2480
1499919019,2165,2165
1499933420,2211,2211
1499947819,2220,2220
1499962219,2275,2275
1499976622,2306,2306
1499991029,2298,2298
1500005420,2247,2247
1500019820,2244,2244
1500034221,2236,2236
1500048619,2259,2259
1500063020,2274,2274
1500077421,2406,2406
1500091820,2378,2378
1500106221,2377,2377
1500120620,2310,2310
1500135021,2322,2322
1500149421,2371,2371
1500163821,2170,2170
1500178220,2174,2174
1500192619,2207,2207
1500207024,2210,2210
1500221419,2186,2186
1500235819,2189,2189
1500250220,2207,2207
1500264619,2213,2213
1500279020,2199,2199
1500293419,2213,2213
1500307819,2215,2215
1500322219,2295,2295
1500336620,2296,2296
1500351022,2255,2255
1500365420,2248,2248
1500379820,2267,2267
1500394220,2278,2278
1500408621,2305,2305
1500423021,2299,2299
1500437420,2246,2246
1500451821,2269,2269
1500466221,2270,2270
1500480621,2270,2270
1500495021,2309,2309
1500509421,2323,2323
1500523821,2324,2324
1500538220,2322,2322
1500552621,2327,2327
1500567020,2306,2306
1500581420,2284,2284
1500595821,2301,2301
1500610220,2268,2268
1500624620,2263,2263
1500639020,2256,2256
1500653419,2241,2241
1500667819,2241,2241
1500682222,2241,2241
1500696619,2191,2191
1500711020,2154,2154
1500725420,2193,2193
1500739820,2219,2219
1500754222,2217,2217
1500768620,2245,2245
1500783020,2207,2207
1500797420,2182,2182
1500811820,2186,2186
1500826219,2208,2208
1500840619,2225,2225
1500855020,2223,2223
1500869420,2200,2200
1500883819,2186,2186
1500898220,2211,2211
1500912624,2213,2213
1500927019,2228,2228
1500941419,2268,2268
1500955819,2268,2268
1500970219,2232,2232
1500984620,2267,2267
1500999022,2307,2307
1501013421,2330,2330
1501027820,2324,2324
1501042219,2288,2288
1501056619,2275,2275
1501071019,2283,2283
1501085419,2059,2059
1501099819,2138,2138
1501114220,2116,2116
1501128619,2078,2078
1501143018,2043,2043
1501157419,2044,2044
1501171818,2092,2092
1501186219,2142,2142
1501200620,2195,2195
1501215019,2211,2211
1501229420,2205,2205
1501243819,2219,2219
1501258220,2261,2261
1501272619,2247,2247
1501287020,2255,2255
1501301420,2214,2214
1501315820,2148,2148
1501330220,2102,2102
1501344620,2088,2088
1501359021,2067,2067
1501373421,1951,1951
1501387823,1768,1768
1501402219,1796,1796
1501416619,1797,1797
1501431018,1826,1826
