DateTime,AddedIPs,RemovedIPs
1504250434,139,160
1504255834,125,140
1504260634,121,142
1504266034,103,129
1504271435,159,185
1504277434,162,214
1504282235,105,115
1504287634,171,116
1504292435,202,126
1504296635,94,57
1504302035,144,104
1504307434,251,161
1504313435,232,180
1504319434,189,174
1504324835,100,132
1504331434,175,234
1504336835,97,122
1504342237,191,230
1504347633,167,194
1504353034,150,155
1504358434,117,175
1504363834,140,182
1504368635,120,108
1504372232,127,70
1504376436,153,118
1504381235,200,125
1504386635,204,194
1504392635,197,104
1504397434,187,112
1504403437,172,138
1504409435,94,157
1504414835,176,234
1504419634,183,157
1504425035,161,170
1504431034,115,152
1504435836,347,173
1504441836,118,208
1504447834,163,238
1504454435,228,257
1504459234,128,120
1504464634,154,204
1504470035,223,245
1504475435,132,84
1504480834,164,110
1504486237,210,164
1504492235,257,220
1504497635,141,171
1504503035,150,202
1504508434,141,206
1504513835,127,122
1504519235,198,225
1504524634,146,160
1504529434,164,186
1504536034,148,226
1504540836,162,197
1504545635,135,102
1504550434,140,100
1504556435,215,158
1504561835,274,171
1504567234,244,146
1504573235,143,120
1504578634,216,188
1504584035,112,184
1504589435,112,158
1504594235,174,212
1504600235,193,220
1504605035,183,129
1504610435,164,241
1504617034,113,202
1504621834,83,155
1504627235,154,160
1504631435,223,175
1504637436,240,173
1504642236,120,84
1504647635,232,177
1504651232,115,82
1504656635,139,78
1504662635,227,196
1504668635,193,296
1504673435,144,153
1504679435,151,191
1504684836,154,172
1504690235,136,168
1504695635,127,203
1504701034,201,275
1504706434,178,167
1504711235,96,134
1504716636,175,168
1504721434,136,102
1504726834,149,79
1504729832,86,67
1504733434,187,91
1504737635,268,150
1504741232,223,136
1504747835,166,132
1504753236,217,229
1504758636,122,154
1504764036,111,149
1504770035,153,244
1504774835,168,235
1504779637,145,176
1504785635,186,191
1504791634,128,203
1504795834,79,160
1504801234,113,101
1504806035,268,191
1504811435,296,215
1504816835,171,112
1504820433,154,100
1504825834,189,128
1504831235,110,110
1504837235,209,214
1504843235,255,257
1504848635,183,154
1504854035,96,159
1504860035,147,259
1504864234,83,95
1504869634,130,129
1504876235,199,291
1504880435,153,234
1504885835,137,126
1504890635,188,150
1504896035,142,121
1504900835,119,83
1504904432,79,75
1504908035,188,106
1504915831,385,227
1504921834,197,122
1504927835,177,211
1504933235,102,155
1504938035,80,107
1504943435,194,200
1504948836,249,258
1504953635,268,129
1504961435,208,254
1504968035,131,269
1504974035,160,160
1504979436,256,216
1504984834,269,238
1504989636,186,111
1504995636,214,126
1505000435,173,100
1505007036,138,147
1505012436,147,186
1505017836,248,246
1505023235,198,180
1505028635,115,209
1505034036,143,242
1505039437,88,118
1505045435,262,196
1505052635,224,477
1505059235,149,228
1505064037,145,106
1505068836,201,116
1505072432,115,81
1505077835,116,93
1505083235,268,188
1505087435,260,180
1505093435,255,192
1505098835,127,200
1505104235,142,183
1505109635,115,124
1505115035,144,161
1505120435,285,320
1505125235,229,192
1505130635,191,143
1505137235,179,237
1505143835,137,191
1505148636,137,91
1505154035,346,223
1505159437,282,210
1505164836,166,116
1505170853,211,168
1505175636,115,121
1505182237,135,188
1505187636,275,361
1505194239,179,281
1505199636,128,190
1505203835,161,128
1505209235,159,100
1505215235,135,171
1505221835,271,402
1505229036,168,297
1505234435,152,148
1505239835,190,109
1505245835,146,118
1505251235,238,215
1505256036,345,199
1505262036,172,139
