DateTime,Entries,UniqueIPs
1504141834,1283,1283
1504147834,1277,1277
1504153834,1257,1257
1504159234,1206,1206
1504164634,1130,1130
1504169434,1113,1113
1504174834,1100,1100
1504179634,1089,1089
1504185634,1043,1043
1504190434,1028,1028
1504195834,1020,1020
1504201234,1129,1129
1504207234,1188,1188
1504212640,1207,1207
1504218035,1210,1210
1504222834,1253,1253
1504228835,1278,1278
1504234234,1260,1260
1504240235,1196,1196
1504245035,1180,1180
1504250434,1159,1159
1504255834,1144,1144
1504260634,1123,1123
1504266034,1097,1097
1504271435,1071,1071
1504277434,1019,1019
1504282235,1009,1009
1504287634,1064,1064
1504292435,1140,1140
1504296635,1177,1177
1504302035,1217,1217
1504307434,1307,1307
1504313435,1359,1359
1504319434,1374,1374
1504324835,1342,1342
1504331434,1283,1283
1504336835,1258,1258
1504342237,1219,1219
1504347633,1192,1192
1504353034,1187,1187
1504358434,1129,1129
1504363834,1087,1087
1504368635,1099,1099
1504372232,1156,1156
1504376436,1191,1191
1504381235,1266,1266
1504386635,1276,1276
1504392635,1369,1369
1504397434,1444,1444
1504403437,1478,1478
1504409435,1415,1415
1504414835,1357,1357
1504419634,1383,1383
1504425035,1374,1374
1504431034,1337,1337
1504435836,1511,1511
1504441836,1421,1421
1504447834,1346,1346
1504454435,1317,1317
1504459234,1325,1325
1504464634,1275,1275
1504470035,1253,1253
1504475435,1301,1301
1504480834,1355,1355
1504486237,1401,1401
1504492235,1438,1438
1504497635,1408,1408
1504503035,1356,1356
1504508434,1291,1291
1504513835,1296,1296
1504519235,1269,1269
1504524634,1255,1255
1504529434,1233,1233
1504536034,1155,1155
1504540836,1120,1120
1504545635,1153,1153
1504550434,1193,1193
1504556435,1250,1250
1504561835,1353,1353
1504567234,1451,1451
1504573235,1474,1474
1504578634,1502,1502
1504584035,1430,1430
1504589435,1384,1384
1504594235,1346,1346
1504600235,1319,1319
1504605035,1373,1373
1504610435,1296,1296
1504617034,1207,1207
1504621834,1135,1135
1504627235,1129,1129
1504631435,1177,1177
1504637436,1244,1244
1504642236,1280,1280
1504647635,1335,1335
1504651232,1368,1368
1504656635,1429,1429
1504662635,1460,1460
1504668635,1357,1357
1504673435,1348,1348
1504679435,1308,1308
1504684836,1290,1290
1504690235,1258,1258
1504695635,1182,1182
1504701034,1108,1108
1504706434,1119,1119
1504711235,1081,1081
1504716636,1088,1088
1504721434,1122,1122
1504726834,1192,1192
1504729832,1211,1211
1504733434,1307,1307
1504737635,1425,1425
1504741232,1512,1512
1504747835,1546,1546
1504753236,1534,1534
1504758636,1502,1502
1504764036,1464,1464
1504770035,1373,1373
1504774835,1306,1306
1504779637,1275,1275
1504785635,1270,1270
1504791634,1195,1195
1504795834,1114,1114
1504801234,1126,1126
1504806035,1203,1203
1504811435,1284,1284
1504816835,1343,1343
1504820433,1397,1397
1504825834,1458,1458
1504831235,1458,1458
1504837235,1453,1453
1504843235,1451,1451
1504848635,1480,1480
1504854035,1417,1417
1504860035,1305,1305
1504864234,1293,1293
1504869634,1294,1294
1504876235,1202,1202
1504880435,1121,1121
1504885835,1132,1132
1504890635,1170,1170
1504896035,1191,1191
1504900835,1227,1227
1504904432,1231,1231
1504908035,1313,1313
1504915831,1471,1471
1504921834,1546,1546
1504927835,1512,1512
1504933235,1459,1459
1504938035,1432,1432
1504943435,1426,1426
1504948836,1417,1417
1504953635,1556,1556
1504961435,1510,1510
1504968035,1372,1372
1504974035,1372,1372
1504979436,1412,1412
1504984834,1443,1443
1504989636,1518,1518
1504995636,1606,1606
1505000435,1679,1679
1505007036,1670,1670
1505012436,1631,1631
1505017836,1633,1633
1505023235,1651,1651
1505028635,1557,1557
1505034036,1458,1458
1505039437,1428,1428
1505045435,1494,1494
1505052635,1241,1241
1505059235,1162,1162
1505064037,1201,1201
1505068836,1286,1286
1505072432,1320,1320
1505077835,1343,1343
1505083235,1423,1423
1505087435,1503,1503
1505093435,1566,1566
1505098835,1493,1493
1505104235,1452,1452
1505109635,1443,1443
1505115035,1426,1426
1505120435,1391,1391
1505125235,1428,1428
1505130635,1476,1476
1505137235,1418,1418
1505143835,1364,1364
1505148636,1410,1410
1505154035,1533,1533
1505159437,1605,1605
1505164836,1655,1655
1505170853,1698,1698
1505175636,1692,1692
1505182237,1639,1639
1505187636,1553,1553
1505194239,1451,1451
1505199636,1389,1389
1505203835,1422,1422
1505209235,1481,1481
1505215235,1445,1445
1505221835,1314,1314
1505229036,1185,1185
1505234435,1189,1189
1505239835,1270,1270
1505245835,1298,1298
1505251235,1321,1321
1505256036,1467,1467
1505262036,1500,1500
1505267435,1491,1491
1505274035,1446,1446
1505279436,1383,1383
1505285435,1405,1405
1505291436,1364,1364
1505296835,1339,1339
1505302235,1289,1289
1505308235,1251,1251
1505315434,1070,1070
1505320837,1099,1099
1505324434,1131,1131
1505328635,1181,1181
1505333435,1235,1235
1505339435,1229,1229
1505343635,1257,1257
1505347835,1374,1374
1505353835,1529,1529
1505359836,1537,1537
1505366435,1449,1449
1505372435,1376,1376
1505377836,1301,1301
1505382635,1248,1248
1505388036,1250,1250
1505394035,1210,1210
1505399435,1129,1129
1505403636,1141,1141
1505409035,1189,1189
1505415036,1289,1289
1505420436,1364,1364
1505425235,1379,1379
1505430635,1435,1435
1505436636,1461,1461
