DateTime,AddedIPs,RemovedIPs
1500930029,79,98
1500943227,129,90
1500954028,67,97
1500966030,79,74
1500975630,36,112
1500989428,100,115
1501003827,74,91
1501018228,105,129
1501032626,163,80
1501045228,96,72
1501057230,97,59
1501068030,55,145
1501081230,81,58
1501092027,102,63
1501102828,68,109
1501117226,85,0
1501131627,86,110
1501144830,84,177
1501155629,68,136
1501167629,41,76
1501177828,74,0
1501189229,124,60
1501203627,119,210
1501218026,76,81
1501231828,120,0
1501243230,66,153
1501257629,73,52
1501268428,58,91
1501282226,136,107
1501295426,68,135
1501309826,72,128
1501324229,99,86
1501338628,79,96
1501353027,88,59
1501367427,74,120
1501378827,122,86
1501390826,77,88
1501405228,94,93
1501416029,66,88
1501428027,97,51
1501440028,103,72
1501454428,110,94
1501468827,56,83
1501482626,114,76
1501492229,50,58
1501506629,91,95
1501519228,93,52
1501530628,152,78
1501544425,94,82
1501555827,59,112
1501569025,91,32
1501583431,89,86
1501597829,93,110
1501612227,59,77
1501626627,158,99
1501636230,41,94
1501650027,62,110
1501664429,81,92
1501678828,71,73
1501692628,70,91
1501704029,53,118
1501718427,122,80
1501732825,85,140
1501747228,65,111
1501761628,85,65
1501775429,52,82
1501786227,84,65
1501797628,95,104
1501809027,99,92
1501822825,63,97
1501836628,54,88
1501851029,111,48
1501865427,70,46
1501879826,77,82
1501890625,79,98
1501903827,76,128
1501917629,57,65
1501932027,67,82
1501945826,74,80
1501957828,69,95
1501972227,63,86
1501986626,111,74
1502001026,66,95
1502014828,81,67
1502029228,95,77
1502040628,90,47
1502054427,85,64
1502066427,56,94
1502077826,107,74
1502091629,242,81
1502106029,109,105
1502119829,57,47
1502134228,122,101
1502148627,86,76
1502163027,66,97
1502173825,104,55
1502188228,66,119
1502202628,73,108
1502217027,106,67
1502228426,96,92
1502241027,87,71
1502252427,73,138
1502263829,140,86
1502273429,185,79
1502285429,134,0
1502295628,71,79
1502306428,79,85
1502316628,93,62
1502327427,122,67
1502339427,100,0
1502349029,45,169
1502360429,67,0
1502371228,92,147
1502385026,79,0
1502396428,54,214
1502406627,66,66
1502421025,125,75
1502433026,85,67
1502446230,62,94
1502458229,63,130
1502467828,87,169
1502480428,118,0
1502491827,99,84
1502505626,90,109
1502516426,81,71
1502530226,75,75
1502543428,75,63
1502553626,71,69
1502568028,101,66
1502578826,113,229
1502588427,89,94
1502599826,71,0
1502611828,92,96
1502625628,81,114
1502640028,69,59
1502650828,110,168
1502661028,68,0
1502671826,67,70
1502685626,159,120
1502697028,50,71
1502707228,61,106
1502718628,92,88
1502731826,126,81
1502742027,64,55
1502752826,62,72
1502766624,124,96
1502777426,68,82
1502790028,86,82
1502801427,73,96
1502814627,67,92
1502825425,79,86
1502838027,117,76
1502851827,84,97
1502865025,140,59
1502878828,117,172
1502889628,63,96
1502899828,92,70
1502911227,114,0
1502922028,69,48
1502935826,116,59
1502947226,84,102
1502957430,80,103
1502968829,110,90
1502979628,74,69
1502990428,103,63
1503001828,77,68
1503012027,82,99
1503022827,45,78
1503033026,36,99
1503045027,79,0
1503059426,71,165
1503073826,75,99
1503086427,101,137
1503097824,68,115
1503110427,71,90
1503124825,66,186
1503138627,91,100
1503150028,244,91
1503161427,79,94
1503171627,77,86
1503183027,335,0
1503195026,107,75
1503205226,112,82
1503216629,144,89
1503228028,84,79
1503238828,83,87
1503249627,74,74
1503261028,181,84
1503271827,119,92
1503283226,87,112
1503295227,163,116
1503300028,52,70
1503311430,83,0
1503322228,89,67
1503333028,75,72
1503343227,81,62
1503354027,75,90
1503365427,148,78
1503376229,72,149
1503387032,49,29
1503397229,119,238
1503408628,60,0
1503418828,66,57
1503429628,145,62
1503440428,104,161
1503450627,73,85
1503462027,74,0
1503473429,79,91
1503486028,64,191
1503496828,61,96
1503506428,62,109
1503517827,67,101
1503531625,86,104
1503546027,81,164
1503557426,56,100
1503567630,87,131
1503578429,80,187
1503589228,59,111
1503600028,102,91
1503614426,106,117
1503624027,61,106
1503634226,61,83
1503645029,104,94
1503655828,94,99
1503666628,64,69
1503677427,129,80
1503688828,88,78
1503702026,119,72
1503711626,117,97
1503723027,63,82
1503736829,80,63
1503748229,87,70
1503758429,47,96
1503772228,78,72
1503783026,115,84
1503796227,88,87
1503810627,316,65
1503825028,335,194
1503837028,90,71
1503848428,137,89
1503860429,172,92
1503870627,98,86
1503881427,102,148
1503892826,146,0
1503903629,91,130
1503914428,77,128
1503925228,111,112
1503935428,63,88
1503946227,66,97
1503957027,125,0
1503967826,94,252
1503978626,69,125
1503988826,102,0
1504000248,80,184
1504011028,81,130
1504021828,93,146
1504035628,151,166
1504047028,112,71
1504057227,110,126
1504069227,128,90
1504079430,69,64
1504090830,66,71
1504101029,88,65
1504111228,54,93
1504122628,58,72
1504137027,144,117
1504147827,85,117
1504159227,70,107
1504169428,98,102
1504179628,74,107
1504190428,71,72
1504201228,100,67
1504212631,104,123
1504222826,91,81
1504234226,80,0
1504245026,80,97
1504255828,60,103
1504266028,48,160
1504277428,83,0
1504287628,68,165
1504302027,114,82
1504313427,143,76
1504324826,95,102
1504336829,66,72
1504347628,99,64
1504358428,82,73
1504372226,131,45
1504386628,113,53
1504397426,89,80
1504409427,60,72
1504419626,97,79
1504431029,85,96
1504441829,284,66
1504454429,111,62
1504464628,64,104
1504475428,104,59
1504486229,76,99
1504497627,105,119
1504508429,70,98
1504519228,68,113
1504529428,88,151
1504540829,76,117
1504550428,76,0
1504561827,128,84
1504573227,115,183
1504584027,83,97
1504594226,69,0
1504605029,115,89
1504617029,53,74
1504631428,105,130
1504642229,80,97
1504656627,116,67
1504668626,93,93
1504679427,70,100
1504690230,67,86
1504701029,74,92
1504711229,58,97
1504721428,74,67
1504733427,77,91
1504747827,166,133
1504758627,79,79
