DateTime,AddedIPs,RemovedIPs
1503837031,14,10
1503843032,9,13
1503848432,6,7
1503853832,18,12
1503860433,12,11
1503865232,10,18
1503870632,14,12
1503876632,12,21
1503881432,11,0
1503888032,10,18
1503892832,13,13
1503898232,12,9
1503903632,12,8
1503909032,13,0
1503914431,9,13
1503919832,10,11
1503925232,11,14
1503930631,10,8
1503935432,11,7
1503940831,11,13
1503946232,12,12
1503951031,6,0
1503957032,14,13
1503962432,11,27
1503967832,17,0
1503973232,14,13
1503978632,12,10
1503984632,10,9
1503988832,14,24
1503994232,14,0
1504000251,7,15
1504005632,12,10
1504011032,13,12
1504016432,16,8
1504021832,13,8
1504026632,13,28
1504030229,9,0
1504035632,12,12
1504041032,10,7
1504047033,15,15
1504052432,13,12
1504057232,19,13
1504063832,9,9
1504069233,7,14
1504074032,13,11
1504079432,15,11
1504084832,13,12
1504090833,10,10
1504095032,12,10
1504101032,12,14
1504106432,8,12
1504111231,11,15
1504117232,8,22
1504122632,13,14
1504127432,12,12
1504132832,11,0
1504137031,15,9
1504141832,13,14
1504147832,14,16
1504153832,6,14
1504159232,11,12
1504164632,12,13
1504169432,11,11
1504174832,10,10
1504179632,13,10
1504185632,16,11
1504190432,9,10
1504195831,13,10
1504201232,11,11
1504207232,14,9
1504212636,10,14
1504218032,9,11
1504222831,13,12
1504228832,11,9
1504234231,8,25
1504240232,13,0
1504245032,12,10
1504250432,9,9
1504255831,13,8
1504260632,13,12
1504266032,11,15
1504271432,11,27
1504277432,8,7
1504282233,8,12
1504287632,11,11
1504292432,15,0
1504296632,5,15
1504302032,11,9
1504307431,11,12
1504313432,13,12
1504319431,10,6
1504324832,9,13
1504331431,12,13
1504336832,12,11
1504342232,12,22
1504347631,7,11
1504353032,12,15
1504358432,15,9
1504363832,8,13
1504368633,17,7
1504372229,17,0
1504376433,11,12
1504381232,17,10
1504386632,10,8
1504392633,10,11
1504397431,8,11
1504403434,12,11
1504409432,13,11
1504414832,13,13
1504419632,7,12
1504425032,9,14
1504431032,5,10
1504435833,12,15
1504441832,14,11
1504447832,15,15
1504454433,8,10
1504459232,11,29
1504464632,16,8
1504470033,14,13
1504475432,6,14
1504480832,10,12
1504486234,15,10
1504492232,14,13
1504497633,9,12
1504503032,15,9
1504508432,11,9
1504513832,9,10
1504519232,11,11
1504524632,7,14
1504529432,10,9
1504536032,6,13
1504540833,10,9
1504545632,11,0
1504550432,10,10
1504556433,13,14
1504561832,10,13
1504567231,14,5
1504573232,15,10
1504578632,11,27
1504584032,5,0
1504589433,7,10
1504594232,10,13
1504600232,15,10
1504605033,8,7
1504610432,10,9
1504617032,12,8
1504621832,7,16
1504627232,14,0
1504631432,11,19
1504637433,14,0
1504642233,7,20
1504647633,12,0
1504651229,12,12
1504656632,9,11
1504662632,14,10
1504668632,9,13
1504673432,11,10
1504679432,12,5
1504684833,8,11
1504690233,10,11
1504695632,10,11
1504701032,11,8
1504706432,11,8
1504711233,12,13
1504716634,14,12
1504721432,10,14
1504726832,15,12
1504729830,10,0
1504733432,10,9
1504737633,13,15
1504741230,8,0
1504747832,11,9
1504753233,7,11
1504758633,12,14
1504764033,9,12
1504770032,12,16
1504774832,12,11
1504779634,11,11
1504785633,11,12
1504791632,12,9
1504795832,10,8
1504801232,9,12
1504806033,10,8
1504811432,10,9
1504816832,10,24
1504820430,11,11
1504825831,19,21
1504831233,11,0
1504837232,10,15
1504843232,8,11
1504848632,8,5
1504854032,9,14
1504860032,6,11
1504864232,10,14
1504869632,7,8
1504876232,14,12
1504880432,8,11
1504885832,10,13
1504890633,13,8
1504896032,10,8
1504900832,5,14
1504904430,8,0
1504908032,14,19
1504915829,11,18
1504921832,17,9
1504927832,15,9
1504933232,10,13
1504938032,8,11
1504943432,18,12
1504948833,14,10
1504953632,15,10
1504961433,16,12
1504968032,11,8
1504974032,9,22
1504979433,9,9
1504984832,12,11
1504989633,11,24
1504995633,11,12
1505000432,12,16
1505007033,15,0
1505012433,9,13
1505017833,12,18
1505023232,9,13
1505028632,14,8
1505034033,15,16
1505039433,12,10
1505045432,13,13
1505052632,14,9
1505059233,12,11
1505064032,10,9
1505068833,11,15
1505072430,10,0
1505077833,10,23
1505083233,9,12
1505087432,4,13
1505093432,15,8
1505098832,10,12
1505104232,14,0
1505109633,11,16
1505115033,16,22
1505120433,12,14
1505125232,14,0
1505130633,11,13
1505137232,12,9
1505143832,12,14
1505148633,9,11
1505154032,12,9
1505159434,12,20
1505164833,14,11
1505170848,15,10
1505175633,11,11
1505182233,14,14
1505187633,12,13
1505194233,9,11
1505199633,13,12
1505203833,14,14
1505209232,13,11
1505215232,12,13
1505221833,9,9
1505229033,11,12
1505234432,11,10
1505239833,9,13
1505245833,8,13
1505251232,17,11
1505256033,14,31
1505262033,16,0
1505267432,13,24
1505274032,9,0
1505279433,9,24
1505285432,14,0
1505291433,11,12
1505296832,12,28
1505302233,11,13
1505308232,16,10
1505315432,11,0
1505320835,14,9
1505324432,11,11
1505328632,5,8
1505333432,13,11
1505339433,7,11
1505343633,14,12
1505347832,11,13
1505353832,7,0
1505359833,9,23
1505366433,14,0
1505372432,9,24
1505377833,15,14
1505382632,14,0
1505388033,10,11
1505394032,10,6
1505399433,11,14
1505403634,9,9
1505409032,11,21
1505415033,12,0
1505420433,15,20
1505425232,12,14
1505430632,14,0
1505436633,10,27
1505442632,12,11
1505448032,17,10
1505453432,6,9
1505458833,13,11
1505463632,9,0
1505470233,10,14
1505476232,9,18
1505482232,12,13
1505487632,16,13
1505492432,13,8
1505497833,13,14
1505502637,10,13
1505508633,11,15
1505513433,16,15
1505520033,9,13
1505525432,10,12
1505531433,12,12
1505538033,10,11
1505542833,9,10
1505548832,10,14
1505553633,13,11
1505559033,15,13
1505564433,15,13
1505571032,15,8
1505575236,11,11
1505580632,11,10
1505586033,15,15
1505591432,9,10
1505596233,8,6
1505602234,13,11
1505607032,20,15
1505613036,13,10
1505618433,11,9
1505623832,14,13
1505629833,17,0
1505635832,13,26
1505640632,13,15
1505645432,13,16
1505651434,12,14
1505656834,11,7
1505661633,11,0
1505667033,6,22
1505672433,13,17
1506079232,15,256
1506090033,25,0
1506094832,18,0
1506100232,24,0
1506105032,10,0
1506112230,18,0
1506115833,15,0
1506120033,19,0
1506126033,18,0
1506131434,16,0
1506138032,10,0
1506144633,11,0
1506149432,15,0
1506154832,13,0
1506160232,15,0
1506165632,13,0
1506171036,10,0
1506176432,9,11
1506184229,13,26
1506187832,8,0
1506191429,11,10
1506195032,13,7
1506199232,14,27
1506204033,7,0
1506207630,11,0
1506211232,10,10
1506215432,13,10
1506222034,13,12
1506226832,11,10
1506231632,13,7
