DateTime,AddedIPs,RemovedIPs
1503837031,26,23
1503843032,22,26
1503848432,18,21
1503853832,23,18
1503860433,25,24
1503865232,22,23
1503870632,24,24
1503876632,25,24
1503881432,25,25
1503888032,23,23
1503892832,20,23
1503898232,21,19
1503903632,25,24
1503909032,24,25
1503914431,22,22
1503919832,24,24
1503925232,21,21
1503930631,20,22
1503935432,22,21
1503940831,22,21
1503946232,23,23
1503951031,19,21
1503957032,23,20
1503962432,23,22
1503967832,23,24
1503973232,23,24
1503978632,24,21
1503984632,23,27
1503988832,23,21
1503994232,24,23
1504000251,22,26
1504005632,21,20
1504011032,26,23
1504016432,25,25
1504021832,26,26
1504026632,22,24
1504030229,21,23
1504035632,24,22
1504041032,23,22
1504047033,22,24
1504052432,26,22
1504057232,25,26
1504063832,21,23
1504069233,20,22
1504074032,22,20
1504079432,22,22
1504084832,24,23
1504090833,23,23
1504095032,22,23
1504101032,24,23
1504106432,23,24
1504111231,23,24
1504117232,21,21
1504122632,24,21
1504127432,21,23
1504132832,22,22
1504137031,23,23
1504141832,24,22
1504147832,24,25
1504153832,23,25
1504159232,21,21
1504164632,22,23
1504169432,24,22
1504174832,23,20
1504179632,23,27
1504185632,26,22
1504190432,22,26
1504195831,22,20
1504201232,23,24
1504207232,26,24
1504212636,21,23
1504218032,24,23
1504222831,25,25
1504228832,21,25
1504234231,21,18
1504240232,24,22
1504245032,23,24
1504250432,23,24
1504255831,25,23
1504260632,23,24
1504266032,23,23
1504271432,21,24
1504277432,22,20
1504282233,23,23
1504287632,25,23
1504292432,24,25
1504296632,22,25
1504302032,24,21
1504307431,24,24
1504313432,22,24
1504319431,21,21
1504324832,21,22
1504331431,23,21
1504336832,26,24
1504342232,22,25
1504347631,22,22
1504353032,23,21
1504358432,23,23
1504363832,23,24
1504368633,25,23
1504372229,23,24
1504376433,24,25
1504381232,26,24
1504386632,22,23
1504392633,23,23
1504397431,21,23
1504403434,25,22
1504409432,22,22
1504414832,20,23
1504419632,20,20
1504425032,21,21
1504431032,21,21
1504435833,23,21
1504441832,24,24
1504447832,24,23
1504454433,20,24
1504459232,22,19
1504464632,27,25
1504470033,26,27
1504475432,20,24
1504480832,23,21
1504486234,26,24
1504492232,25,26
1504497633,24,25
1504503032,25,23
1504508432,24,26
1504513832,19,21
1504519232,24,22
1504524632,21,22
1504529432,18,21
1504536032,25,20
1504540833,21,23
1504545632,24,23
1504550432,22,21
1504556433,22,24
1504561832,23,22
1504567231,23,23
1504573232,25,23
1504578632,23,24
1504584032,20,25
1504589433,19,18
1504594232,21,19
1504600232,26,22
1504605033,24,27
1504610432,25,24
1504617032,24,24
1504621832,24,24
1504627232,26,24
1504631432,23,25
1504637433,25,25
1504642233,21,25
1504647633,22,20
1504651229,24,23
1504656632,22,22
1504662632,25,23
1504668632,22,25
1504673432,25,21
1504679432,25,26
1504684833,23,25
1504690233,24,24
1504695632,25,24
1504701032,20,22
1504706432,25,22
1504711233,24,24
1504716634,25,25
1504721432,22,24
1504726832,24,22
1504729830,22,25
1504733432,22,21
1504737633,22,22
1504741230,23,24
1504747832,23,20
1504753233,23,25
1504758633,23,24
1504764033,25,23
1504770032,25,25
1504774832,22,21
1504779634,21,23
1504785633,22,23
1504791632,23,21
1504795832,26,24
1504801232,20,24
1504806033,22,22
1504811432,23,21
1504816832,25,25
1504820430,25,25
1504825831,25,23
1504831233,24,26
1504837232,22,23
1504843232,23,22
1504848632,20,24
1504854032,23,20
1504860032,21,23
1504864232,20,19
1504869632,24,22
1504876232,23,23
1504880432,24,25
1504885832,22,23
1504890633,21,19
1504896032,25,25
1504900832,24,24
1504904430,21,23
1504908032,25,23
1504915829,23,24
1504921832,25,24
1504927832,26,25
1504933232,24,26
1504938032,22,23
1504943432,26,22
1504948833,23,26
1504953632,21,21
1504961433,22,23
1504968032,20,20
1504974032,21,22
1504979433,21,19
1504984832,23,23
1504989633,25,24
1504995633,26,25
1505000432,25,26
1505007033,26,25
1505012433,24,26
1505017833,25,24
1505023232,24,25
1505028632,24,23
1505034033,25,25
1505039433,25,25
1505045432,25,25
1505052632,25,24
1505059233,24,26
1505064032,23,22
1505068833,20,22
1505072430,21,21
1505077833,23,22
1505083233,22,23
1505087432,18,18
1505093432,25,22
1505098832,24,25
1505104232,21,22
1505109633,22,22
1505115033,24,24
1505120433,23,24
1505125232,24,22
1505130633,21,23
1505137232,24,22
1505143832,22,25
1505148633,22,21
1505154032,23,21
1505159434,21,24
1505164833,25,22
1505170848,25,25
1505175633,24,25
1505182233,26,24
1505187633,23,22
1505194233,23,25
1505199633,21,22
1505203833,26,24
1505209232,24,26
1505215232,24,23
1505221833,24,25
1505229033,21,23
1505234432,23,21
1505239833,23,24
1505245833,25,23
1505251232,25,24
